닉네임,댓글,좋아요수,날짜
서울리안,"여러분! 대박사건  Dockcase에서 연락왔어요! 서울리안 구독자분들께 15% 할인코드를 드리고 싶다고 합니다 흐흐흐흐흐
DockCase 제품 구매하시려는 분들 꼭 할인코드 SEOULIAN 적용하셔서 15% 할인받으세용~ 
* DockCase 100W Power Bank : https://www.dockcase.com/products/100w-26800-power-bank-for-laptops-space-gray",20개,2020. 5. 17.
pororoharry,2:58 심쿵 ㅠㅠ 힝힝,19개,2020. 5. 17.
이한별,아니 보조 발전기를 들고 다니시네 ㅋㅋㅋㅋ,27개,2020. 5. 17.
윤천,2:58 누가 힝힝 1시간 버전 좀 만들어주세요.,11개,2020. 5. 17.
푸우작가PB,웃..! 이건 사야겠군요..,14개,2020. 5. 17.
Nesffer,1:52 Razer Core X가 100W 충전 가능하지 않나요? 충전용은 아니긴 하지만.,3개,2020. 5. 17.
맹찬열,"호신용쓰다가..
뼈나가겠어욬ㅋㅋㅋㅋㅋㅋㅋ",2개,2020. 5. 17.
fumi,2:58 오늘 영상 요약,1개,2020. 5. 17.
대영,사랑해여~~~ 힝 힝 ㅋㅋㅋ,0개,2020. 5. 17.
도매니저,와 저정도면 흉기인데 ㄷㄷ 😮,3개,2020. 5. 17.
파인애플피자위에민트초코올려먹는찬구,아니 누낰ㅋㅋㅋㅋㅋ 인트로 이렇게 상큼해도 되냐구옄ㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 17.
구정모,"와 진짜 지를뻔...
배터리 4개나 있어요 ㅠㅠ",0개,2020. 5. 17.
PM04,진짜 대박이다!!,1개,2020. 5. 17.
kartdb,"Excelente vídeo como siempre, saludos conejita! 🐰🤘🖥️",1개,2020. 5. 17.
애니멀리에,"부피가...너무 커요....ㅠㅠㅠ
저렇게 크면 클러치에 아예 안들어가요ㅠㅠㅠㅠㅠ",1개,2020. 5. 17.
호우시절화양연화에,서울리안님 건강ㅎㅏ세여,1개,2020. 5. 17.
underyoonY,"진짜...노트북까지 충전 가능하겟네요,,",0개,2020. 5. 17.
김로켓,도시락폭탄인데 거읰ㅋㅋㅋ,0개,2020. 5. 17.
SuhoHan,2:58 ???,1개,2020. 5. 17.
2510박민규,대단해요~~~ 매번 이런 리뷰 해주셔서 감사합니다.,1개,2020. 5. 17.
손강무,참 이런거 잘찾아내서 신기방기  잘봤습니다~~,1개,2020. 5. 17.
새우깡유,2:58 힝힝,0개,2020. 5. 17.
정헌티,오와~~~ 서울리안 님 보관함들 구경 하고 싶어요!!! 굉장히 많네요😲 IT기기들이....ㅎ,0개,2020. 5. 17.
소울뮤직,0.5K면 2개 사서 아령으로 써도 괜찮겠네요~ㅎㅎ,0개,2020. 5. 17.
이종민,파키즈 몬스터 100w도 리뷰좀 부탁드려요 ㅠㅠ 100w중에는 저려미인데 성능이 어떨지 궁금해서요,0개,2020. 5. 17.
정해령,잘 봤습니다.. 흥!흥!,0개,2020. 5. 17.
YoungSangCho,애플 충전기 2배 무게네요...ㄷㄷ,1개,2020. 5. 17.
손준현,1빠!!! 하이염!!,0개,2020. 5. 17.
PLUTUSCHART,xps15 2020 xps17 2020 한번 리뷰해주세용^^,1개,2020. 5. 17.
박인호,와 이 보조배터리는 진짜 너무 좋은데요 ㄷㄷㄷ,1개,2020. 5. 17.
정경민,"저도 100W 출력이 가능한거 가지고 있긴한데, 배터리 잔량이 숫자로 안써져있어서 아쉬웠는데
고장이 나면 이것으로 갈아타야겠네요.",0개,2020. 5. 17.
