닉네임,댓글,좋아요수,날짜
JanghoYun,바람막이만 눈에 들어오네 ㅋㅋㅋ,10개,2020. 4. 28.
후니님,1:20 원래 남자는 덜렁 거려야 정상인데...,7개,2020. 4. 28.
coadna,0:15 형 그럼 3번째 다리는...,4개,2020. 4. 28.
자현,옛날 재미어트시절 보고싶다 미 빡 조 알 뻘,2개,2020. 4. 28.
카트라이더선물교환소,"힘콩에 변명과핑계를 아주잘들었습니다!






다음핑계도 부탁드려~ㅎㅎ",1개,2020. 4. 28.
지환,힘콩형은 귀신을 보면 바지를 풀고 풀업을한다~,1개,2020. 4. 28.
JHL,그냥 샴푸 챌린지로 증명해줘요,1개,2020. 4. 28.
안남현,형 나 형한테 운동 배우고 싶어,0개,2020. 4. 28.
박도형,바람막이만 눈에 들어오네요~^^ ㅋㅋㅋㅋ,0개,2020. 4. 28.
김신일,이쁘다ㅠ,0개,2020. 4. 28.
나노미,잘생겼어요 형,0개,2020. 4. 28.
김진우,힘콩형 저 기억해줘요 잊지말고,0개,2020. 4. 28.
곤충이,필콩,0개,2020. 4. 28.
ScottPark,"잘봤습니다. 다리나 팔 등은 두껍다, 얇다가 아니라 굵다, 가늘다라고 말해야 맞는표현입니다. 두껍다, 얇다는 종이같이 납작한것의 두께를 나타낼때 쓰는 표현입니다. 잘 모르시는 분들이 많은 것 같아 말씀드려요",1개,2020. 4. 28.
3417양재윤,"힘콩힘콩형 너무 좋아요
뭐든지 완벽한 힘콩씌
저번에 페이스북메신저 드린적있는데 답이 안오겠지 하며 까먹고있었는데 몇일전 바쁜데도 댓글을 읽어주시는 모습  존경해요👍🏽 읽었는데 다시 답하면 바쁜데 귀찮으실것
 같아서  답은 안했어요😅😅  일단 영상 잘보고 이써용",2개,2020. 4. 28.
수박,형잘생겼어,0개,2020. 4. 28.
이동찬,상체 문도 하체 피들스틱,0개,2020. 4. 28.
김건희,형님 3년전에 페이스북부터 영상 챙겨봤는데 점점 잘생겨지시네요,0개,2020. 4. 28.
구름위의달,별로 전문가가 튼실해보이지않는데,0개,2020. 4. 28.
뻘컵,아지니당 내친구당😆🤟🤸‍♂️,8개,2020. 4. 28.
우랴강dlcjdd,"키 172
몸무게 78 
남자입니다 맞는 운동법 부탁드립니다형",0개,2020. 4. 28.
