닉네임,댓글,좋아요수,날짜
Cookingtree쿠킹트리,"*자세한 레시피 설명은 유튜브 자막 기능을 켜서 확인해주세요~
높은 온도에서 구워 풍미가 더 좋은 바스크 치즈케이크를 만들었어요~
모든 재료를 섞어 굽기만 하면 뚝딱 만들 수 있는 정말 간단한 치즈케이크 인 것 같아요~
높은 온도에서 타면서 구워지는데 정말 군고구마 향 같이 진하고 달콤한 풍미가 나더라구요~
겉은 살짝 꾸덕하고 가운데 부분은 아주 촉촉한 편이에요~
지난번에는 양을 더 많이해 도톰하게 구웠었는데 이번에는 양을 줄여 얇게 구우니 풍미가 훨씬 더 깊은 것 같아요~
냉장실에 넣었다 차갑게 드셔도 좋고 실온에서 완전히 식히고 드시면 부드럽고 촉촉하게 즐기실 수 있을 거에요~
 
시청해주셔서 감사합니다~♥
Thank you for watching~
 
▶영상을 좋게 봐주시고 좋은 마음으로 제안을 주시는 건 감사하지만
   자유로운 영상 제작을 위해 광고와 협찬 등은 받지 않고 있습니다~^^
 
▶Community Subtitles
 
If you can translate into another language,
I would appreciate it if you could use the video Settings subtitle add-on to add subtitles to this video~^^
다른 언어로 번역이 가능하신 구독자님들께 도움을 요청드립니다~
비디오 설정 자막을 추가 기능을 통해 자막을 추가 해주시면 감사하겠습니다~^^
 
▷인스타그램 : https://www.instagram.com/cooking_tree/
▷블로그 : http://blog.naver.com/winterhaha",23개,2020. 6. 4.
NAMJOONFORPRESIDENT,Terrible cookers RISE our time has come to finally burn something intensionally,36개,2020. 6. 4.
wrongcalculation,when i saw the title and thumbnail i was like: oh this must be a failed cheesecake that Cooking Tree decided to upload but nope i think it’s actually a thing 😂,54개,2020. 6. 4.
BoBoCooking,"this is so encouraging~
no longer worry about burning my cake~
thank you Cooking Tree lol",83개,2020. 6. 4.
M5ccy,I thought you burnt the cheesecake-,20개,2020. 6. 4.
WineStory,It looks sort of like Portuguese giant egg tart. yummy!,7개,2020. 6. 4.
HastaCook,The sound when you open the paper cake that sound so nice!,14개,2020. 6. 4.
SarahLim,I feel like I would burn a normal cheesecake anyway...,48개,2020. 6. 4.
MayaMcLane,In Istanbul we call this „San Sebastian Cheesecake“ it’s gorgeous!,3개,2020. 6. 4.
HowToCuisine,Whoa! This is looking incredibly creamy and delicious! 🤩 Really excited to try to make our own and maybe add it to our videos collection on youtube 😋❤️,3개,2020. 6. 4.
지니어스민트바닐라,어머 바스크 치즈케이크 예쁘게 구워졌네요 😍😍 금손 쿠킹트리님 🤭🤭,12개,2020. 6. 4.
BeckyLondon베키런던,I’m totally psychic! I have cheesecake in front of me and about to watch this video! Pretty proud of myself 😂😂😂,12개,2020. 6. 4.
냠냠World,윗부분이 약간 탄것같은데 진짜 맛있어보이네요ㅜㅜㅜㅜ,2개,2020. 6. 4.
뭉개moonggaerecipe,"ㅠㅠ안 그래도 바스크 치케 먹고 싶었는데ㅜㅜㅜ
알람 보고 바로 왔써여ㅠ",4개,2020. 6. 4.
남편의식탁HusbandsCuisine,"구워진 느낌의 치즈케익이라~
촉촉하면서 더 고소한 맛!!",2개,2020. 6. 4.
정아garden,"이미 구독중이지만 썸넬이랑 영상 미친거 아님? 침ㅈㄹ고여ㅡㅡㅡㅡㅡ 아😭😭😭😭먹고 싶어 쿠킹트리님 ㅠㅠㅠㅠ 저도 만들어주세엽ㅎㅎ 똥손이라서,ㅎㅎㅎㅎ제발요ㅠㅠ",2개,2020. 6. 4.
왈왈왈,와 팔아주세요 제발ㅠㅠㅠㅠㅠㅠㅠ,5개,2020. 6. 4.
초코바,너무너무 쉬워서 내일 재료 사서 따라해봐야겠어요~ 항상 힐링되고 좋은 영상 감사드려요ㅎㅎ,2개,2020. 6. 4.
노피곰,저 궁금한게 있는데요 완성된 케이크를 예를들면 아이싱 하고나서 포장상자나 접시로 어떻게 옮겨야 모양이 안흐트러 지나요? 매번 그게 너무 어렵더라구요 ㅜㅠ,1개,2020. 6. 4.
콩이먹방Tv,와 ㅜㅜ 완전 꾸덕하니 ㅜㅜ맛나겠네여,2개,2020. 6. 4.
베이킹슈,"요즘에 치즈 케이크 너무 먹고 싶었는데ㅜ
대리 만족 하고 갑니다ㅜ 감사해요🙇",1개,2020. 6. 4.
ChristinaL,쿠킹트리님 가족하고싶어여 ㅠㅠㅠㅠㅠㅠ너무 부러워 ㅠㅠㅠ,1개,2020. 6. 4.
BTSARMY4LiFE,you guys neeeeed to try this its so goood!!,2개,2020. 6. 4.
이희민,이거 진짜 맛있어요 저 최애 케이크에요..아마도?,1개,2020. 6. 4.
신경화,저는 굽고나서 식히면 푹 가라앉는데 왜그럴까요 ㅠ,1개,2020. 6. 4.
작은행복,영상 퀄이 더 좋아진거같아요💕,3개,2020. 6. 4.
notsxnni,i wanna cook :”(,2개,2020. 6. 4.
dlwrlua,the easiest recipe ever 😭,2개,2020. 6. 4.
팜프엉안,바스크 치즈 케이크 맛있을 것 같아요~ 오늘도 영상 잘 보고 갑니다💜,0개,2020. 6. 4.
나이쑤잔,오마이갓... 😯  진짜 맛있을 것 같아요💛,2개,2020. 6. 4.
LovelySalmon,와 꾸덕촉촉이라니 이건 꼭 먹어보고 싶네요🥺 엄청 달꼼한 향이 나는 것 같아요💕 저도 도전해보렵니다!!,0개,2020. 6. 4.
하찮은vlog,크림치즈뭐쓰셨나요ㅠ 만들때레몬즙생략가능한가용?,2개,2020. 6. 4.
수민sumin,냉장고에 넣을 때 랩으로 씌워도 되나요? 냉장고 냄새 배일것같아서..,1개,2020. 6. 4.
GorettiAbascal,This is the typical La Viña cheesecake from San Sebastián. The fact that I am from the Basque Country and this has become a thing now is crazy to me! Thank you so much!,11개,2020. 6. 4.
HazelRatna,Wow! I end up making this every time I make a cheese cake,0개,2020. 6. 4.
주족,오븐 대신 에어프라이어로도 가능할까욤?,0개,2020. 6. 4.
JoanBuyayo,English translation please~~😍😍,0개,2020. 6. 4.
NajisimahAmisaj,Maybe I'm just weird but I like eating this while it's hot.,0개,2020. 6. 4.
KanchareeTreetantipakorn,Thank you for always sharing great recipes  ❤️❤️❤️❤️,2개,2020. 6. 4.
Roman,Cooking tree 쿠킹트리   Nice!! video,0개,2020. 6. 4.
ChoChoCooking,어머 🤤🤤🤤❤️,0개,2020. 6. 4.
JhovanaZapata,Omg Jericallas son ustedes??? 😱💕✨🤤,0개,2020. 6. 4.
AnnaKent,Who's going to try this?,2개,2020. 6. 4.
Bizcochobizcocho,"Hi, fantastic, eggs size L or M?",1개,2020. 6. 4.
다현,탄맛 안나나요?,2개,2020. 6. 4.
CindyMoralesMartinez,Burnt you say?? My specialty.,1개,2020. 6. 4.
숨니,우와 감사해요😊,1개,2020. 6. 4.
AnastasiaPurr,In Russia we call this zapyekanka. It’s really good,0개,2020. 6. 4.
민블리,제과제빵을 언제 배우셨나요?,0개,2020. 6. 4.
AliKut,Can i use whipping cream instead of heavy cream??,0개,2020. 6. 4.
홍이지hongisy,생크림대신 우유 넣으면 안되겟죠,0개,2020. 6. 4.
GillianChia,Can I substitute heavy cream to natural set yogurt?,0개,2020. 6. 4.
galaxygirl1337,I love your Channel Cooking Tree you make really recipes,1개,2020. 6. 4.
cherryday,"Seeing this makes me really want to film a mini basque cheesecake video in little diy cans, I think if you’re not living with lots of people it might not be practical to make a huge cheesecake because you might not finish it alone - so personal cheesecakes would be v cute hehe",8개,2020. 6. 4.
AishaSailaubekova,Love u❤️,0개,2020. 6. 4.
ThoNguynNguyn,Can I bake this using an air fryer at the same temperature?,0개,2020. 6. 4.
냠냠보이YumYumBoy,"If you eat one after exercise, it will be completely heaven",1개,2020. 6. 4.
panduki19,Can you make another nutella cake? 'Please,0개,2020. 6. 4.
HassanHussain,Amazing 👌,0개,2020. 6. 4.
itslixinnn,Gonna try thisss,0개,2020. 6. 4.
SusieBooth,Thank You,0개,2020. 6. 4.
fatyadam,Bonne recette ♡,1개,2020. 6. 4.
GothicKittyMadness,do you eat the burnt bit?,0개,2020. 6. 4.
JessChen,What's the difference of this and the one you posted a year ago? the texture is different?,0개,2020. 6. 4.
F,🤞Woah🙂,4개,2020. 6. 4.
coconutvanilla,Is that bitter?,1개,2020. 6. 4.
HobbyQ,Delicius..,2개,2020. 6. 4.
CarlosCastellsSomoza,I'm from Spain and I already know how to bake this cake. Why exactly am I watching a Korean baker teach me how to do it? 🤔,4개,2020. 6. 4.
FC,Anyone likes cheesecake?🤞🤞,1개,2020. 6. 4.
SonuVj,Luv the way u cook,0개,2020. 6. 4.
HelenHai,Such a satisfying video,0개,2020. 6. 4.
김다연,"생크림은 동물성인가요? 식물성인가요?
옥수수전분 대신 감자전분 된나요?
가능한 빠른답변 부탁드려요~><",1개,2020. 6. 4.
Robert,What's the size of the cake tin? Is it 6 inches?,0개,2020. 6. 4.
Juliette,Im drooling,0개,2020. 6. 4.
AboniEBeat,This doesnt look very healthy to eat...,0개,2020. 6. 4.
PuiMun,whats the difference between this recipe and your previous basque burnt cheesecake recipe?,0개,2020. 6. 4.
BabyGirl,😳💖,0개,2020. 6. 4.
KhasabimaBouzid,Merciiiii,0개,2020. 6. 4.
GailDinkel,DUZ THE BURNT TASTE LIKE ???,0개,2020. 6. 4.
CoolGuy,22.comment,1개,2020. 6. 4.
VideoRicetta,Buonissima!,0개,2020. 6. 4.
BabyGirl,😳💖✊,0개,2020. 6. 4.
박수진,옥수수전분 대신 감자전분 사용해도 되나요?,0개,2020. 6. 4.
BubbleGum,I love it 🥰,2개,2020. 6. 4.
RecipesHoThoAisi,"nice video 
 #recipeshothoaisi",0개,2020. 6. 4.
AlexanderBolton,This is a real dessert that is supposed to be burnt translated as tarta de queso. It looks delicious anyways.,0개,2020. 6. 4.
