,youtube_id,comment,like_num
0,Ocean,여자는 예쁠 이유가 없다.,16개
1,이게너와나의차이다,왜 굳이 꼭 ‘예뻐’야 할까 나는 나인 것을,223개
2,독사,외모지상주의에 짓눌려 고통받는 여성들이 없길 바랍니다. 모두 내려놓고 이제는 행복하게 지내길!,567개
3,남편을잃은자,늘 남들에게 예뻐보이고 싶다고 생각이 들기 시작한 시점부터 여자는 점점 망가지는 것 같아요.스스로를 옥죄이고 스스로를 자책하며 채찍질 해요.그게 반복되다보면 자기 자신을 혐오하고 싫어하게 되죠.다또아님의 1년간의 휴식기간이 결코 헛된 시간이 아닌 본인을 알아가고 사랑하게 되는 삶에 꼭 필요했던 과정이었던 것 같아요.늦게 나마 돌아와줘서 고맙고 모두 이겨내줘서 고마워요.,1개
4,천국의간낭,마지막에 웃는 모습이 이제껏 구독이래 봣던 영상중 가장 아름답고 예쁜 모습으로 보여요 외적인 아름다움보다 내적인 아름다움이 더많은 사람으로 커 나가길 바래요 ㅎㅎ,484개
5,서지니,인간이 100년 살다보면 폭식증도 오고 하는거지 어케 내내 날씬한상태로 사냐.. 별걸다 악플을 달어.. 또아님 그런새키들은 아무리 늘씬해도 기어코 결점 찾아서 악플달겁니다 .. 애초에 정상적인 사람은 악플 안달아요. 살빼면 또 성형했네뭐네 난리칠겁니다 걍 지인생 노잼이니까 남 인생 간섭하는거 즐기는거임 또아님 안티와 팬은 빛과 어둠같은거 아시죠?? 그만큼 또아님 진정한 팬도 는 걸 겁니다  파이팅!,382개
6,함냐함냐,"세상의 미의 기준에 당신이 맞지 않는다면, 당신이 또 하나의 기준이 돼 보세요. 제 마음이 당신에게 닿길 바라요. 응원하고 있겠습니다. 😊",122개
7,abstory,"I've always wondering, where've u been... I'm so sorry that u have suffered like that 😢
Please stay strongggg because there's a lot of people that love u and always waiting for ur comeback ❤❤❤

Love from Indonesia ❣",153개
8,초아롱,"영상보다가 웃겨서 이야기하는데
폭식증이 의지 박약이라고? 내 생각에는 다또아 언니거 폭식증 걸리신거에는 악플들이 한몫 한거 같은데?. 안보이는 온라인 상이라고 막말 하지마 앞에서 얼굴 보고 말도 못할것들이 개웃기네 의지박약이네 원인은 지들이면서",22개
9,eh,인신공격하는 악플러들 꼭 고소해주세요 그런놈들 콩밥 맥이는거 아무도 뭐라 할 사람 없어요또아 언니  힘들어도 다시 일어나는 모습 정말 멋있어요  항상 응원해요 ♡,236개
