,youtube_id,comment,like_num
0,오라잇스튜디오AllRightStudio,"우리, 여름 같이 준비해요~
제가 했으면 여러분도 집에서 쉽게 관리 하실 수 있습니다!",3개
1,izone,1빠다 ㅋㅋㅋ,0개
2,봄언제나,"안정성을 신경 썻다고 해서 더 사용해보고 싶어요😍💕
늘 여름마다 걱정인데 그 걱정 덜어버릴 수 있는 좋은 제품같아여",0개
3,백원일,안녕하세요! 항상좋은정보힐링방송 감사합니다! ^^,0개
4,sejoung세정,2등!!,0개
5,펭수코인,레이저를 집에서 한다는 게 신기하긴하네요 ㅋㅋㅋ아프진 않은가요?,0개
6,김선명,제가 원하던  그런 제품이네요 수염 기르는데 볼에 털은 너무 지저분해 보였는데 이걸로 관리하면 좋겠네요 ~^^,1개
7,세모네모,우리 서이누나 월급 제대루 안주시나여? 점점 말라가는거같은데 월급 인상해서 포동포동하게 만들어주세요 오라잇님들,2개
8,상추,집에서 편하게 관리하는것도 좋아보이네요,0개
9,Michaelkim,안전함만 보장된다면 써보고싶어지네요,1개
10,YgK,얼굴 수염제모도 가능한가요,0개
11,재미진당,남자얼굴 사용안된다던데 상관없을까요 ㅠㅠ,0개
12,아카페라,가정에서도 간편하게 제모를 할수가 있겠어요 리뷰 잘봤어요,0개
13,설레이는,솔직히 레이저제모 해봤는데 무섭기도 했는데 집에서 일주일에 한번 관리할 수 있으니 편할꺼 같아요~ 소형이고 안전하고 제 피부에 맞게 조절할 수 있으니 올 여름 산뜻하게 보낼 수 있는 제품이네요~ 좋은 제품정보 감사드려요~^^,0개
14,식은널보내,어! 이걸로 음모나 겨털 제모 되는건가?,0개
15,믜뫄,"진짜 효과가 있는지
효과가 있다면 미미한지 효과가 좋은지 궁금하네요
고가일것같은데",0개
16,냥냥,브라운 일본 회사임,0개
17,김미소,가격은요?,0개
