닉네임,댓글,좋아요수,날짜
tzuyang쯔양,"일일 매니저님 채널>>>https://m.youtube.com/channel/UCXttFLujQG4SKZKi1pT3rnQ

일일 매니저로 고생해주신 권재관님 재관둥이 채널도 많이 사랑해주세요🥰🥰🥰

항상 사랑합니다 여러분💕💕💕",912개,2020. 5. 9.
BrightAnniethebestYtChannel,"These videos are addictive who thinks to
|
|
|
V",8개,2020. 5. 9.
4SORDevieIkaAngelina,"Tzuyang sister,.. are u sick? Like a cold? Your voice buzzed a little. Or because of the mic??🙄😶",5개,2020. 5. 9.
edsoncleiton,Bom dia coloca legendas em português.,14개,2020. 5. 9.
MahiBae,"Watching till the end as if I understand korean
🤘🤘🤘🤘🤘
Going to rewatch when eng sub are available",33개,2020. 5. 9.
sungmic,"선한 사람에게는 선한 평가가 뒤따른다.
난 쯔양이 어마무시하게 먹는만큼 기부 및 좋은 영향력도 어마무시하게 행한다고 생각한다. 그래서 결론...
더 흥해버렷.........",713개,2020. 5. 9.
Washingmachine,imagine u met IU there,13개,2020. 5. 9.
김알렉스,뭐지 권재관... 굉장히 호감영상이네..,355개,2020. 5. 9.
TWISTOLV,"재관이형 진짜 사람 좋아보임
아침 일찍 저렇게 해주기 쉽지 않은데 
옆에서 멘트도 잘 쳐주고, 에피소드 얘기할 때 보면 정말 팬인거 티 남 ㅋㅋ",304개,2020. 5. 9.
피스키퍼,재관이형한테는 죄송하지만 첫 인상이 세보여서 좀 성격이 안좋을거 같다라고 생각이 들었는데 라디오 진행이나 방송을 많이 봐왔는데 새삼 저렇게 친절하신 분이더라고요 ㅋㅋㅋ 말투만 그냥 웃기려고 틱틱대시지 뭔가 츤데레 느낌도 나고.. 암튼 재관이형 악플에 일일이 신경쓰지 마세요~ 파이팅!,46개,2020. 5. 9.
SumiGrg,I watched this whole video without a sub and only understood half of what they were saying 😕,3개,2020. 5. 9.
hsKyung,재관이형 진짜 좋은사람같다...ㅋㅋㅋㅋㅋ 선한 사람은 선한사람을 알아보는법...!!! 서로 윈윈하면서 좋은 관계유지했으면 좋겠당ㅎㅎㅎㅎ,207개,2020. 5. 9.
wookyunChoi,"권재관님이 애기하는데
쯔양은 ㅋㅋㅋㅋㅋㅋ

먹는거뒤지고안듣고있는거
대개웃기네 ㅋㅋㅋㅋㅋㅋ",489개,2020. 5. 9.
가마,"근데 이분 방송 처음할 때
밥값이라도 벌자 수준 아니셨나.. 몇 년 사이에 방송도 나가고 ㅋㅋㅋ 구독자도 엄청나고 
쯔양님 이참에 노후식비도 많이 저축합시다",40개,2020. 5. 9.
승준,진짜 악플은 왜다는지 모르겠음 잘 못한 사람한테나 욕하지 아무 잘못 없는 사람한테 욕하는건 진짜 볼때마다 개발암이다ㅋㅋ,347개,2020. 5. 9.
WigaFasyarurySiregar,"I want to ask her, how did she come home after eating that much? Hmmmzzzzz",2개,2020. 5. 9.
SURA수라,쯔양님 진짜 말잘하심 기분나쁘지 않게 조곤조곤 남 배려하면서 말씀하시는 게 회면밖으로도 느껴짐 적게 일하고 많이 버세요,155개,2020. 5. 9.
사복이,권재관님이 옆에서 부연설명 참잘해주신거같아요 ㅋㅋㅋㅋㅋㅋ 보면서 말해줬으면 하는 일화를 딱딱 말해주시네요 👍,179개,2020. 5. 9.
권채은,와 일일매니저가 개그맨 권재관이구나ㅋㅋ 쯔양이 이젠 라디오까지 나오고 성공한 유튜버이자 먹방BJ,150개,2020. 5. 9.
ArtDTei,쯔양을 보고있는 기간이 길어질수록 뿌듯해지누,10개,2020. 5. 9.
참치마요,"재관이형 월클이네
쯔양 매니저도 다 하고",40개,2020. 5. 9.
Kamilleclaire,When you're to early for the subs gotta comeback after a few days 😟,21개,2020. 5. 9.
eunhwapark,박명수씨 말대로 다음에도 쯔양님과 박명수씨 두 분 같이 또 보는날이 오길 바랄게요~,134개,2020. 5. 9.
이유진,권재관씨....아주 매력있네...?,18개,2020. 5. 9.
우대균,먹는걸 봐주는 사람이 있고 그걸로 돈 주는 것도 신기한데 먹는 사람도 기부도 하고 착하당,3개,2020. 5. 9.
124,와 나도 피자 몇 판 사서 먹어보고 싶다 위가 작아,9개,2020. 5. 9.
Wd70,"왜 많이 먹냐뇨!
일반인한테 하루 세 끼 왜 먹냐고 하는 거랑 같은 겁니다 ㅋㅋㅋ",65개,2020. 5. 9.
YoungChanSeo,"먹방 싫어하던 나를 먹방을 그냥 미소 지으며 볼 수 있게 만드신 쯔양님 오늘도 웃고 갑니다. ㅋㅋㅋ
뭔가 쯔양님 채널영상을 보면 그냥 바보같이 웃으면서 보게 되는 저를 발견하곤 합니다.",44개,2020. 5. 9.
MajestyXOXO,TZUYANG💕,10개,2020. 5. 9.
이한샘,쯔양님은 살이 안찌셔...좋겠똬....글구 보조개 넘모 좋돠....ㅎ,89개,2020. 5. 9.
달장구mua,"권재관님 같은 스타일이 
현실에서 진짜 웃김 ㅎㅎ
재미있게 잘 봤습니다~",42개,2020. 5. 9.
AnotherOne,롱런이 제일 좋다 보통에 길게가자 짧고 굵은 사람들은 너무 봤다,72개,2020. 5. 9.
바김정TV,권재관이 매니저라니 ㅋㅋ,58개,2020. 5. 9.
최지영,"와...재관님..먹을걸미리준비하시다니
센스가~~~~아주그냥!!!어!!!뭐이건뭐!!
어어!!!감사합니다~ㅋㅋㅋㅋ근데
화내시는거 ㅋㅋㅋ너무웃겨욬ㅋㅋㅋ
저기서외내모습이보이지..너만먹냐?!!
내껏도샀는데!!할때ㅋㅋㅋㅋ특히내가보였다.
와..난줄 ㅋㅋㅋㅋㅋㅋㅋㅋ역시개그맨님들은
웃기기에달인이시네요 ㅋㅋㅋ입담이아주그냥!!
어!!!어어!!아주끝내줍니닼ㅋㅋㅋㅋㅋㅋㅋㅋ

이만큼했으면됬다^^(매니저님치켜세워쥬깅끝.)

자~~이제라디오보까아?^^",79개,2020. 5. 9.
쯔사랑,쯔양은 사랑입니다 ❤,4개,2020. 5. 9.
눈감으면상상,쯔양님 진심으로 웃낀가보다 내가 다 기분이 좋아지네,3개,2020. 5. 9.
귤은맛있어,와.와?...와!!!!!!,13개,2020. 5. 9.
JaypeeBalsamo,Looking forward for some guesting mostly in variety show..,1개,2020. 5. 9.
펭구,권재관 ㅈㄴ웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,20개,2020. 5. 9.
쩡이와댕댕이ZengandDaeng,오늘은 메밀국수랑 우동을 먹게 되서 보기 좋네요♡,8개,2020. 5. 9.
김재선,유튜브계의 유재석이되오 문제없이 롱런 기원합니다..ㅋㅋ,19개,2020. 5. 9.
tonekim,"초밥 240개 ?
치즈볼 100개? 에...
할 말 잃고...
진행을 잠시 못하는 명수옹~~ ㅋㅋ
쯔양님~ 
항상 건강하시길~ 🤗",27개,2020. 5. 9.
KaiIzumi,Hope tzuyang will be famous worldwide soon lol,42개,2020. 5. 9.
Dybala10,쯔양도 재관이형도 롱런하세요.✨,5개,2020. 5. 9.
WinniLucy,"와 ㅡ 나 쯔양님 20만때부터 봐왔는데
이제 연예인이야?ㅎㅎ
너무좋다",73개,2020. 5. 9.
김대한,쯔양님도 다른 유명 유튜버처럼 이제 방송계 타면 좋겠다 요즘 몇몇 1인 개인방송 하는 사람들 방송 타던데 솔직히 쯔양님 인지도도 높고 착하시고 예능감도 있고 클린하고 팬도 많고 많이먹고 방송계 타지 못할 이유가 없음,73개,2020. 5. 9.
허빈,박명수형 이렇게 봐서 너무 좋다,11개,2020. 5. 9.
김성진,진짜좋다,9개,2020. 5. 9.
기현호,와 바로왓는데 늦엇네..,8개,2020. 5. 9.
TV수니eatfriendly,"쯔양님은 원래 좋았고
권재관님 호감이네요",19개,2020. 5. 9.
김우식,오늘 방송  유독 많이 귀엽네,7개,2020. 5. 9.
김민석,이제는 라디오까지 ㅋㅋㅋ 대단하십니다,7개,2020. 5. 9.
김민재,진짜 쯔양 점점 더 월클되가네,31개,2020. 5. 9.
