,youtube_id,comment,like_num
0,도히,언니 진ㅁ자 일자뱅 완전 잘어울리는거 알죠 완전 부러운거 알죠,329개
1,홍시,"진짜 이 언니는 화장을 어떻게 하느냐, 머리를 어떻게 하느냐에 따라서 이미지가 싹싹 바뀌는데 또 그게 다 잘어울려ㅠㅠㅠㅠ 부러워유ㅠㅠㅠㅠ",192개
2,EMElva,"여기도 슬슬 영어 댓글이... 뭔가 기분이 좋으면서도 영어댓글들만 배댓 될꺼란거에 쫌 음...아쉽다. 

아무튼 언니 너무 예뻐영 ㅠㅠ",7개
3,MarinaAmurova,"There's no subtitles, but I'm still watching 😁",8개
4,LolV,The magic of make up. She literally looked 5 years younger! Wow,2개
5,이민주,00:23 갑자기 장르 바뀌는 거 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,65개
6,Hana,This is what you called catfishing y'all.,2개
7,CharmaineYu,unni!!!! wat is 렌즈 :: 렌시스 루나 그레이?? I was wondering if it is brand of contacts you are wearing? ? I want to buy them :(,2개
8,유이,피부관리하시는 법 유튜브에 올려주실 수 있나요? 언니 피부가 너무 부러워요.. 저는 여드름이랑 모공 각질 등등 너무 많아요..ㅠㅠ,71개
9,Pluhmm,언니... 언니가발 따라서 매번 이미지가 확확 바뀌는 게 너무 잼써여.... 그래서 말인데 혹옥시 지금까지 사용했던 가발정보 영상은 어떠실까여.... 따라하고 싶어요♥,38개
10,LSMFV,Wow ~ So beautiful ❤️,7개
11,Vanila,She’s so pretty like whatttt 🥺🥺,1개
12,호로롬록롱,"미쳤다 미쳤어 언니 청순이 사람으로 태어난다면 이런 모습이지 않을까요 청순빛깔 조!효!진! 아니냐믄서,,,, 언니  백만년동안 유튜바 해주세요,,,,",39개
13,YANG재은,원래 댓글 진짜 안쓰는뎈ㅋㅋㅋㅋ 전 구독한지 얼마 안됐지만 3개 영상보고 아 진심 이 언니한테 메이크업 받아보고 싶다 라는 생각이 계속 드네요😭. 존경합니다💜 저도 언니처럼 이쁘게 잘하고 싶어요! 제 소원이 언니한테 한번 메이크업 받아보는거예요 🤪 .앞으로 더 좋은 영상 제작해주세요! 감사합니다!❤,0개
14,성유나,"앞머리 진짜 찰떡 ㅠㅠ 진짜 이뻐여😍😍😍 목소리도 좋고,,,, 넘 재밌어요 참고도 많이 하고 있습니다!!",2개
15,똥놩꿩,효진님 가발 정보도 부탁드려요ㅠㅠ,6개
16,민지,아 진짜 이게 뭐예요 사랑해요 정말로 진짜 이러시면 어떡해요 너무 사랑스럽잖아요 언니 사랑해요,2개
17,으악,이언냐 처음보는데.. 인트로 노래 내가 짱짱 좋아하는 노래네요ㅠㅠ 여기서 센스 인정 이마 탁치고 구독하고가요❤❤,1개
18,ssongma,헐랭구 벌랭구 피부표현 무슨일...❤,2개
19,SocialBountyMoneyMakingApp,hey man I like what you are doing here MtYe,1개
20,Kunkuk쀼깡,"아니 이 언닠 볼때마다 진짜 매력 쪄러부러💖
예쁜척 찰칵찰칵 포즈잡고 갑자기 경상도 화장쟁이 💖 이래서 너무 조아💖",1개
21,ShieunPark,0:24 오호... 하고 보다가 갑자기 반갑ㅋㅋㅋㅋ,9개
22,아이린엄마투유Irenemom45toyou,일자뱅도 넘 잘어울리는 효진씨~ 오늘 뽀쏭한 피부표현도 넘 이쁘네요💕💕 스킨푸드쿠션 사봐야겠어요~,1개
23,히히히,"쌩얼도 예뿌고 화장한것도 예쁘고 
오늘도 좋은정보 잘 얻어가용🤟 
우리 효진엉니~ 행복한 일만 있으시길🤍",24개
24,나은,언니... 내가 언니 일자뱅 좋아하는 거 어떻게 알구ㅠ 너무 임브다ㅠㅠ,20개
25,LilyPetunia,Hye huojin 💕could u pls show us how u take care of yr skin... it’s soooo fresh and glowing 😘,0개
26,물결,"매일 기다려지는 효진쓰,,💙",2개
27,neri,"basically can't understand anything, but still watches",0개
28,정다솜,"와 언니 너무 예쁜데요 천사야ㅠ,,,,, 🍀🍀렌시스 착용감 어떠신가요 알려주세요 너무 예뻐서 사고싶어,,,,,,,,,,,,",5개
29,예담,렌즈 모에영,18개
30,챙,헐!!!!! 화면 새로고침했더니 영상이 떴어요..ㅠㅠ 행복 얼른 보고 올게요,3개
31,JK,헐 뭐야 울 언니 왜 이렇게 청순해 ... 언니 일자뱅 진짜 잘 어울려여 ㅠㅠㅠ,0개
32,이렇게예쁘다고,"진짜 오늘 메컵 찰떡 일자뱅 찰떡 음악 찰떡 ㅠㅠㅜ 
사랑해요 효진언니 ( ˃̣̣̣̣o˂̣̣̣̣ )",0개
33,밥,와. 진짜 인형 같은거 알죠,1개
34,서수진하세요,꺄ㅑㅑㅑㅑㅑ일찍왔따 언니 사랑해요💖,2개
35,민서minseo,하 진짜 언니 존나 이뻐..🤍💙,1개
36,김희재사랑해,아 예뻐 ㅠㅠㅠㅠㅠㅠㅠㅠ언니 내 최애 유튜바😭❤️,1개
37,글귀러,헐ㄹㄹ저 오늘 일자뱅했는데 이번 딱맞는 녕상을!!!💕💕💕,2개
38,김담이,"13분전 실화..ㄷㄷ 이와중에 언니 겨☆랑☆씨는 깔꼼하시네요 ㅇ.ㅇ 한올한올 뽑은듯한 깔끔함..!
오늘 메이크업 딱 요즘 하고싶은 글로우하면서도 청순한 ㅠㅠㅠ 너무 이쁘네요 현실은 뭐 마스크때문에 파우더 떡칠이지만 머.. 전 언니만 볼쑤있다면 만..줙해여..☆",25개
39,이수연,ㅁ...뭐야 이 언니 왜케 이뻐...,1개
40,랄라룰루,언니! 담엔 갈색머리나~머 금발이나~ 아무거나 다른 머리색 여름메이쿠업 부탁드려도 될까요?!!!🌝,7개
41,yuvely,아니 처음에 인사하는거 왤케 귀여운건데에에엑!!! ㅠㅠㅠㅠ 나만 계속 돌려봤나요...? 0:23,0개
42,이슬지,언니 화장 하는 것마다 이미지 완전 바뀌는 거 아시죠ㅠㅜㅠㅠ 대박이에요ㅠㅜㅠ,0개
43,대리초,언니언니만큼 일자뱅 잘 어울리는 사람 없어여..,1개
44,DeaSun,언니는.. 어떤 스타일링이든 너무 찰떡같이 착 달라붙어서 진짜 너무 많이 정말.... 완벽해요.. 사랑해요,0개
45,김담이,썸넬 약간 흑발 조이서 늒힘.. 나만 느끼나..?,7개
46,나꾸,효진님 메이크업이랑 상관없는 질문인데... 인트로 보다가( 나시입고 팔들기) 겨... 관리? 어케 하시는지 공유해주세여... 하하... 제모의 계절이 오네요 😭,0개
47,raneean,ㅠㅠ 사용하신제품 진짜 다 사고싶어요 너무예뻐요 ㅠㅠㅠ 렌즈 진짜 뭔가 청순청초함 개이쁨 ㅠㅠㅠㅠㅠ,3개
48,joanne,"진짜 다 잘어울림💕
부럽따😆",1개
49,양제티jetty,헐 썸넬부터 너무 이뻐요ㅜㅜ,1개
50,원지WONJI,파란 나시 어디꺼에용...넘나 예뽀요..,2개
51,김서연,나 진짜 언니처럼 화장잘하고시퍼ㅠㅠㅠ,0개
52,70,"썸넬 진짜 그렇게 만들면 내가 좋아할줄 알았어요????









극호입니다",1개
53,Choigeung초이긍,나 언니 영상보고 앞머리 잘랐다가 개망했어 어떠케 책임져ㅠㅠ 물론 내얼굴 잘못한거 아는데 우짜노ㅠㅠ,0개
54,륙꾸,렌즈 몰까요..오늘도 이쁜 그녀.....효진언니ㅠㅠㅠㅠ,1개
55,유승연,"진짜 조녜 ,,, 언니 사랑해여,,,💗",0개
56,KanekiKun,You looked like vivi from loona in the thumbnail,0개
57,0119이윤주,효진 언니 머리 긴 것도 넘무 예뻐요ㅠㅠ😍☺️👍,1개
58,3윤지니,아뉘 저 일자뱅으로 자른건 또 어케알고 제가 이런 청순청순한거 좋아하는건 또 어케알고 정말 언니를 안좋아 할수가 없어,0개
59,고냥이,와...나도 언니처럼 입술 이쁘고 싶다...(이뻐봤자 지금시기엔 마스크때문에 보여주질 못하지만...ㅠ),0개
60,포키포키,약간 바다에 달려가야 할것 같은 메이크업이에요^^너무너무 예뻐요😊😊,1개
61,미니니민,아앙우ㅏㅇ 개이뻐요 언늬 🤍,1개
62,LyricsWorld,"Watching even though there are no subtitles. 
Love you 😘",0개
63,김꼬맹,"퇴근하면서 보는 효진언니 영상 힐링쓰,,❤",1개
64,향향,효진 언니 넘 예뻐요 ㅠㅠㅠㅠ 💖,1개
65,임원정,평소 댓글 안남기는데 썸넬 보자마자 헉햇어용 넘나 이뻐서 댓글남겨영♡,1개
66,김정음,썸넬이랑 갑자기 인사할깨 텐션 갭차이 ㅋㅋㅋㅋㅋㅋㅋㅋ넘 기엽뽀짝,0개
67,HaeYou,오늘도 사랑해요 언니,2개
68,열정,언니 진짜 너무 예쁘다 인트로 보고 이건 사람이 아니라 요정이다 이러고 있었어...,0개
69,ClaraKwak,항상 잘 보고있오요~ 스킨푸드는 사랑입니당 헿 love from Australia 🇦🇺🇦🇺🇦🇺,0개
70,hyemilee,아 ㅠㅠ오셨어,1개
71,육태균,녹음해서 목소리 따로 넣어준거 되게 새롭다.. 근데 이것두 좋다....❤ 언니 화장 언제 봐도👍🏻🧡💜💛,0개
72,오이,언니 릴바레 쿠션ㄴ도 써주세용리뉴얼되서 이뻐요😍,1개
73,Silver하,언니 항상 볼때마다 느끼지만 항상 예뻐요 오늘도 빛나네요 빛이나 빛이나 ✨ 오늘 영상도 너무 재밌게 잘 보고 갑니다 항상 응원해요 !!! 💕💕 눈 호강 하고 가요 😊,1개
74,완유WanYu,"첨에 더빙 영상인 줄 모르고 언니 복화술까지 마스터하는 줄 알았쟈나여,,ㅎㅅㅎ
오늘도 영상 잘봤어용❤️",0개
75,나이스데이NICEDAY,항상 영상보면서 느끼는데 피부가 진짜 엄~청 좋으신 거 같아요,0개
76,햄뽁,"효진언니 맨날 잘보구있어용 증말 메이크업방송은 효진언니거만 보고있어용
피부타입도 저랑 같아서 보는데 더 좋구 무엇보다 성격 넘좋ꌩ‑ꌩ♡̣̣͚  파우더브러쉬 혹시 정보 알수있을까용",0개
77,moa,"本当に綺麗かわいー🥺🥺🥺
ウイッグはどこのだろ",0개
78,선지원,언닝..가발 너무 궁금해용🥺❤️,1개
79,purple해BTS,학생이 쓰기 정말 좋은것 같아요! 너무 튀지도 않고 적당히 자연스럽고... 근데 저희학교는 완전 금지라..ㅠㅜ,0개
80,이유진,아 흑발뱅 조효진 누가 말려 ~~ ! 개이쁘잖아 ㅠㅠㅠㅠ,0개
81,탄방,놀면뭐하니에 나온 이효리 메이크업 해주세요~,1개
82,달통HAYLEY,매번 스타일링이 찰떡이야....... 미챳서 ㅠㅠ,0개
83,유빈,언니는 화장을 하면 더 예뻐진다는 느낌보단 더 어려진다는 느낌이 더 센거 같아요...❤️ 진짜 다른 유튜버에서는 날수 없는 느킴,0개
84,김윤지,아 진짜 너무 이뻐요ㅠㅠ❤❤❤,0개
85,나소은,아 진짜 너무 예쁘다ㅡ,0개
86,루피,영상 이렇게 자주 올려주시면 전 너무 행복합니다🥰언니최고❤,0개
87,규미,"피부 착색 관리 법 좀 알려주세요ㅠㅜ 입술이랑 입 주위, 눈 주위가 착색되어서 고민이에요ㅜㅜ 알아보니 손으로 많이 만지고 화장을 하면서 착색된거라 하는데 오히려 뷰튜버 분들이 피부가 착색이 없고 좋더라고요ㅠㅠ",0개
88,먐먐,아니 효진님은 크게 화장 찐한 것도 없는데 전후 차이가 크게 날까.. 매번 궁굼해ㅜㅜㅜ 코덕들 답을 얼료줘!!!!,0개
89,뽕돌이,"효진님 메이크업 보고나서 완성된걸 보면 난왜 새로운 쿠션 스티커 땔때 그 머라해야되지 아 그 느낌잇는데 ㅠㅠ  
난왜 왠쪽눈썹 왠손으로 그리는거지...   다른사람들은 왠쪽도 오른쫀으로 그리든데",0개
90,333,지하철에서 보니까 덜컹덜컹 거리는게 언니가 지하철에서 화장하는 개고수처럼 보여요,0개
91,서블리CarpeDiem,"와 진짜 일자뱅 너무 잘어울려요!!!
예뻐요❣️❣️❣️",0개
92,공민정,"아 영상 넘 짧아서 아쉬워요 언니,,, ㅠㅠㅠ 더 더 길게 티엠아이 가지는 메컵도 얼렁 올려주세용❤️",0개
93,Meredith,언니는 오늘도 아름답네여 ..ㅂ💖💖,1개
94,jjungyou,"머선일이야 얼굴광. 대박스 
콧볼 옆 팔자주름 시작 지점 차올라 보이고 싶은 한사람으로서 부럽네요",0개
95,계란찜,와... 진짜 예쁘다..,0개
96,공주공주,"언뉘 시간 되신다면 세로컷 모음집 or 자연광 모음집 해주세요 ㅠㅠㅠㅠㅠㅠ 언니 세로컷만 보면 진짜 육성으로 와,, 하게 되는 것 같아요 ㅠㅛㅠ",0개
97,유나이,"2뿌다,,,",2개
98,베이비젤,헉조회수없데 ㅋㅋㅋ이건첨보넹,0개
99,다자이에죽음,영상 너무 짧아 언니를 오랫동안 볼수없어 무한반복이다 ㅠㅠㅠㅠ,0개
100,예송,와우 앞머리 당장 박.제.해,1개
101,이해솔,언니 진자 너무 이뻐요...ㅠㅠㅠㅠㅠ 언니 사랑해요...♥️♥️,0개
102,하설,언니 입술 너무예뻐요ㅜㅠㅠㅠㅠㅜㅜㅜㅜ,0개
103,조혜원,"저 진짜 인스타도 팔로우하고 지금 존버타다가 이렇게 댓글 남겨요 홍홍 효진님 덕분에 구입한 메이크업 제품만 세어봐도 12개가 넘는다는 ,,ㅎㅎㅎ 오늘 영상도 재밌게 볼께용 사랑하구 흥하셍용",0개
104,LEE도라미,"썸네일봤을 땐 ㅅㅣ크작렬
입 열면 부산 아가씨 줌마.완전 냐스턀 ♡♡",0개
105,정예진,언니 이 메이크업 완전 취처 ...⭐️🥺🥰❤️,0개
106,최선아,오늘 올리브영에서 배달와서.. 스킨푸드 쿠션 왔는데.. 건성인데 ... 모르고 샀네요..띠로리 ㅠㅠ,0개
107,공주,밀크터치쿠션 써주세요ㅠㅜㅜ,0개
108,,나 울어 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0개
109,만두,언니 저 언니한테 영업당해서 보타니티 세트 바~~~로 구매쓰 해버렸자나여🔥 진짜 딱 여름템 어쩔겨,0개
110,청혜,이거이거 완전 학생 메이크업 아니냐구 🤍🤍,0개
111,cefms,앞머리 스타일링 영상 보구시퍼요ㅠㅠㅠㅠ,0개
112,이주은,언니 개이뻐....,1개
113,린희,ㅠㅠㅠㅠㅠㅠㅠㅠ,0개
114,밥치냥,언니 오늘 레전드 ㅠㅠㅠㅠㅠㅠ 너무 예뻐,0개
115,까탈레나,"피부 왤케 좋아요..? 코모공 다 어디갔어요..?
무슨 관리를 받길래ㅠㅠ 넘나 부럽ㅠㅠㅠ",0개
116,카드값줘췌리,헐랭 ㅠㅠㅠㅠ,0개
117,권상우,언니 너무 이뻐❤️,0개
118,앞머리,언니 파우더브러쉬 뭐써요 너무 보들보들 푸슝푸슝해요ㅠㅠ,0개
119,jumi,어째서 언니는 코옆끼임이 없는 거죠...?,0개
120,yml,언니 한번 가발 추천 영상 찍어주세용 ㅜㅜ,0개
121,고쿠우자응,방금 까지 언니랑 쨔미스 언니들 브이로그 보다가 왔는데 언니의 메이크업 영상 올라와서 저는 행복합니다❤️,0개
122,차영CARZERO,와 사람이 억덕케 이렇게 옉브냐 진작.,0개
123,나영김,증명사진 메컵해주세요ㅠㅠㅠ,0개
124,땅땅,언니 저 언니 인스타보고 마몽드에서 체험하는 크림 신청해서 써보고 있는데 요즘 마스크 때문에 얼굴에 홍조있는 것 마냥 그랬었는데 크림 쓰면서 진짜로 별로 안썼는데도 효과가 있더라구요 언니 덕분에 좋은 제품 만나서 너무 감사하구 좋은 것 같아요💕💕( 다쓰면 크림사러 갑니다 총총..),0개
125,지수,"이분 영상은 인트로는 항상 무표정에다가 도도한 느낌인데 인트로 끝나자마자 경상도 화장쟁이 조효진임니다 라고 하는거 
너무웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌ",0개
126,딸기케잌,음... 요즘에 마스크땜에 화장 안하니깐 왜이렇게 화장하고싶지? 미취겠넼,0개
127,뀨뀨,아진짜 너무 예뻐요,0개
128,권필상,인트로 영상 아는 노래 나와서 기분 좋다 ^_^... 오늘도 미모 열일하시네요 썸네일 넘모 사랑스러우💋💞,1개
129,빉,매번 영상 때마다 어떻게 점점 예뻐지시는지❣❣,0개
130,뉴누슴,"언니 너무 청량해서 오늘 겨울 이불 덮고 잘거야 
올 여름 이 영상으로 존버한다",0개
131,이지윤,언니 너무 예뻐요..... 진짜 닮고싶다...,0개
