,youtube_id,comment,like_num
0,이동욱,타이슨이 위빙하면서 전진압박하면 질질싸겠는데...,66개
1,Roze8026,와 서바이벌 아니라 중간 중간 태그된다면 난리나겠다,9개
2,IFOnePiece,다른건 몰라도 라운드걸은 ufc보다 한수 위다,41개
3,maipiucosilontano,"참 다양한 사람들과 단체 참으로 다양한 선수들 많구나...
근데 이거는 복싱과 킥복싱 선수가 무조건 유리하겟는뎅
치는 척 하면서 뒤에 대기 선수 팰수도 잇겟는데
..    경기장 세로 길이가 좀더 길어야 할듯",2개
4,sshssh,먼 태권도여 ㅋ  발차기쇼하다 맞아 뒈질일 있나 . 주먹이 안되서 절대 안됌.,3개
5,매국노척살,"태권도는 절대 무리! 일단 복싱이 안되니...포인트 따기 시합이 아닌이상 태권도 보다는 극진카라데가 더 맞을듯,,,,,",5개
6,조성환,"태권도 보다 저는 복싱베이스가 오히려 더 좋아 보이네요 앞으로 기대됩니다!
1자리 남았다는데 한국에서 채웠으면 하는 바램이!",25개
7,허미남,진짜 인기오르는건 시간 문제인듯..지립니다..,7개
8,박준영,16:45 진거 왜 화풀이냐ㅋ,7개
9,홀리쉬이이이잇,이건 진짜 재미있음 이거 월드컵이나 올림픽나오면 진짜 흥행쩔듯,29개
10,Dragonov,택견 황인무 선생님 도끼질이 보고 싶다...,20개
11,항상노력,재미난 경기이지만 한편으로 블라인드 같은거 쳐놔서 상대가 누가 나올지 모르는 상태에서 경기해도 재미나겠네요 ㅎ 서바이벌 식으로 추첨해서 상대방 한명씩 나오는것도 재미지겠네요 ㅋㅋ,4개
12,보리굴비,"태권도 ㅋㅋㅋ
사망하는 태권도 선수 속출 하겠네요",4개
13,,우츠커 : 사실 그 녀석은 우리중에 가장 약한 녀석이었다. 진짜로.,2개
14,녹턴,16:45 와 펀치 오졌다,7개
15,SSongSsssong,은가누 나오면 붕붕붕붕 게임끝,5개
16,자기합리화,16:47 여신,12개
17,이승진,이 형 오늘 고백받았나?ㅌㅍㅋㅍㅋㅋㅋ 기분이 좋아보이시네,2개
18,둘리의혀놀림,엄청 재미있는데?ㅋㅋㅋㅋ,7개
19,이승진,미친 저기서 택견 도끼질이면 다 이기는거 아니냩ㅍㅋㅍㅋㅍㅍㅍㅋㅍㅌㅍㅋㅍㅍㅌ,8개
20,아부라카부랄,0:23 콧물 무엇;;,4개
21,,이거 개꿀잼ㅋㅋㅋㅋㅋ,2개
22,두부아빠,태권도 선수가 복싱 스킬을 올릴 수만 있다면 가능성 있어 보이네요.,4개
23,주스TV,우츠커 4번선수 개꿀~,2개
24,1eoksuhite,꿀잼ㅋㅋ,2개
25,최배달,겁나 화끈함 ㄷㄷ,1개
26,하나비,택견선수가 유리할듯~,6개
27,양치후귤드셈,"16:46
ㅈㄴ 이뿌다",1개
28,김원석,진짜 재밌는데???,2개
29,이호준,이형 오늘 텐션왜이러냐,6개
30,우끼,개잼있네 ㅋㅋㅋㅋ끝까지다봄ㅋㅋㅋㅋ,1개
31,c,겟앰프드 원형인줄 ㅋㅋㅋ,1개
32,박영진,진짜 싸움이네요ㅎㅎ,1개
33,GT훈craft,라운드걸 도데체 언제...?,1개
34,PeNNyWisE,"존나재미있네 ㅋㅋ 우리나라도 정통 mma 보다 이런쪽으로 발전해야할듯

나중되면 밴픽도하고 ㅋㅋ",0개
35,돌이깐,역시 차도르 잼나네요. ^^,1개
36,운동중독자똥배,오예~~,2개
37,소심한투자자,링걸 피지컬도 굉장하군요!,0개
38,홍황표,완전 개쌈~~~ㅋ,1개
39,hsl,와~! 재밌네요!!  선수들은 죽겠지만...ㅋ,1개
40,태양같은너에게로가는길,뒤에 선수들 지루해함 ..,0개
41,리치맨,TTC 와이거  대박치것다^^ 연타로 이어지는 화끈한 난타전!!!  굿,0개
42,TV김성도Steven,"하다 하다 이젠 별걸 다 하네요
펀치만 통해서 킥복싱 선수들 많이 나올듯...",0개
43,matsuta,근데 무에타이 클린치도 안되는건 너무 오바같은데 ㅋㅋㅋㅋㅋ,0개
44,psychopitbull,진짜 화끈하네요 ㅋㅋㅋㅋ,5개
45,김씨,남자라면  저런승부가 잼나지 암바니 머니 드러누워서 싸우는게 싫어서 ufc싫어하던 1인이었는데  게임 재밌네,1개
46,로빈후드,이 경기ㅔㅇ 절권도선수가 나가면 절권도선수 혼자서 다 해먹는다,0개
47,금성제,"뭐야 최근에 시작한줄 알았는데
공식 유튜브 가보니 1년전부터 했었네",6개
48,싱그러운6월,진짜 재밌네요,1개
49,욜망,헤비급 4대4 하면 원펀치 박터지겠는데 ㄷㄷ,0개
50,김도형,격투기가 전세계적으로 더 유명해지면 이 형도 유명해 지겠지?,8개
51,이동재,우와~ 멋진 경기네요~ 진짜 남자다운 격투기 게임이네요~ 앞으로 인기 상승하겠습니다. 차도르님 좋은 영상 잘 보았습니다. 감사합니다.,0개
52,yoo깡깡,화끈하다,0개
53,jshdhjdbcuusududjdjishdgeyheudhdnncgcyy,"08:34 코치도 바보가 아니겠죠? 했는데
카메라 코치진을 비추니 맹구가 똭!",0개
54,한번도경험해보지못한나라에삽니다,꿀잼,0개
55,정근수,"이 단체가 더 많은 선수층을 보유하려면 체급을 나눠서 운영해야할듯 안그래도 관절기 아니면 체급 극복이 힘든데 관절기도 금지면 낮은체급 선수가 이 단체에 오겠냐고...
체급을 여러개로 나눠야 선수층도 두꺼워지고 팬층도 같이 두꺼워질듯",3개
56,택,"와..
Ufc 보다더 박진감있어요..
대박 재미나요.",0개
57,오리아빠,대박 재밌다,0개
58,나만의하루,"재미난다!
신난다!
ㅎㅎ",0개
59,FrankKang,♠️♠️♠️,0개
60,TheHermit,라운드걸 몸매가 예술이네,9개
61,남성문경원,복성선수가유리할듯요  맷집쎄고~,0개
62,더벅머리,"10년만 젊었으면.
(농담) 남자들의 경기 ^^",0개
63,욜망,국내 선수팀 꼭 보고싶다!!!!/,0개
64,곰곰냥곰곰냥,대박이네,1개
65,귀여운배,재밌당.,0개
66,sippinh2o,와 이런게 나오다니 너무 고맙네요 ㅎ,0개
67,김재현,썸네일 사진 300대신 16:47초 변경하면 대박날듯,0개
68,JohnKim,와우. 타격의 넥스트 클라스,0개
69,성민아빠,헐. 진정한 입식 타격 게임인가,0개
70,el,"저거 어제 추천영상에 나오길래 봤는데 정말로 후덜덜 하던데 

링 사이다가 좁아서 사이드 스탭이 안되고 인앤아웃만 가능하다보니까 리치빨이 좀 있을듯",0개
71,moungkim,1탄은 어디있나여..ㅡㅡ,0개
72,TV선우,태권도 팀 나가자~~,0개
73,SILVERSAINT,이거 진짜 잼잇네요 ㅋ ufc보다 잼잇음,0개
74,구민욱,단백질 쉐이크 운동에 미치는 영향 부탁드립니다,0개
75,주스TV,뜰거같다,0개
76,원춘일,겁나 재밌네요,0개
77,성민아빠,"좁은 데선. 오히려 킥을 피할 곳이 없죠.

킥 잘 사용하는 사람이 짱 먹을 수 있는 링인 듯.",2개
78,파리도새다,타투 vs 비타투,0개
79,이청춘,룰 괜찮네 ㅋㅋㅋ결국 마지막사람 남을때까지.,0개
80,문응식,진짜 여기는 태권도선수나 황인무선생님이 제격이다,0개
81,대령통,쌈코 불러,0개
82,ERIKKorean,은가누 4대1 가능?,0개
83,임종윤,젤 잘하는 선수가 첫번째와 마지막에 배치될듯.,0개
84,제2ReformationEvajohn,흥미롭네요!,0개
85,bink,극진공수도랑 태권도랑 연맹으로 팀짜서 나가세요,5개
86,엘벧,솔직히 영상속 선수분들의 기량이 어느정도 수준인지 모르겠지만 수준급의 선수들이 나와서 시합하면 엄청 쫄깃하긴 하겠네요,0개
87,내가젤잘나가,신선한 경기이네요,0개
88,IlSangMo,복싱이랑 차이궁금해요.,0개
89,나야나,밀어내기 매치,0개
90,whanK,겟앰프드 생각나네,0개
91,Ite이떼,이런 단순한 룰에서는 항상 꼼수가 나오던데 어떤게 나올지 궁금하네요 ㅋㅋㅋ,0개
92,지리산작두,라운드걸도 조11빠지네,0개
93,박용진,이거 최고네요. 앞으로 경기 기다리게 될듯.,0개
94,와딩와딩,이거 ufc보다 잘됐음 좋겠다ㅋ 예쁜여자도나오고ㄷㄷ 태권도진출 춪천!!,0개
95,z7271z,"매력있다  우리나라도 도입하자.
빠른 경기룰이 좋네",0개
96,ilkwonjeong,국가대항전 진짜인기많을거 같은데요 흥미진진함,0개
97,쵸비,이거 본능적으로 클린치가 안나갈수가 없겠는데? ㅋㅋ,0개
98,지금일단달려,몸매죽이네 사랑해 자기야~,0개
99,하늘수야,진정한 타격 싸움이네,0개
100,아는남자,타격 격투기가 제일 재밌지. 암바 같은거 개인적으로 별로.,0개
101,Frostkang,재미지네...^^,0개
102,StephenHong,굿,0개
103,장우혁S,니킥 허용되어야함,0개
104,류용식,"이건 타이슨이랑 홀리필드가   붇어야 되는  룰이네
양아치  홀리필드 귀  뜯길새도  없이  드러 눕겠지",0개
105,닥킨슨,국가별로 하는것도 재밌겠지만. 인종별로 하는것도 보고 싶다,0개
106,백년만년스튜디오,3빠,0개
107,복복,택견도 가능성 있어보이는데 ? 택견 룰도  거의 초근접 파이팅 아닌감,0개
108,김경한,유럽 킥복서들이 쌈싸먹겟네,0개
109,악력왕이되는그날까지,킥복싱 이나 무에타이 등이 좋을거같습니다,0개
110,김두한,저기 나오는 사람들은 선수인가요 일반인인가요,0개
111,버블,옛법 택견 하시는분이 여기 나가면 대박 날것 갔아요,0개
112,최성훈,이거 골때리네ㄱ,0개
113,현민,"하여튼 러샤애들..
 희안하고 참신한걸 잘 기획하는",0개
114,둘리,태권도 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ   복싱에 태권도 발차기라고 하면 납득이 간다만 태권도는 아니지않나 ? 양심적으로 ? 님도 잘 아시면서,1개
115,백상우,정말 잼있긴하네,0개
116,이쁜모찌,도끼질 달인 나가면 되자나 ㅋㅋ,0개
117,이쿜나,"플라잉 니킥 2타중에 첫타가 가슴에 
제대로 걸려서 폐쪽에 무리간듯;;;",0개
118,이학재,"두분싸우면서  고의로뒤에  서있는선수를
한방에기절시키면   심판어떤반응할가",0개
119,나귀,무조건 인파이팅복싱이다. 태권도 나오면 음... 야유나올듯,0개
120,뱅방뱅방,재미있습니다,0개
121,주택튜브tv궁금한집끝까지찾아간다,"차도르님 즉각해설력 엄청나네요
마치대본 있는줄 ㅋㅋㅋ
와 긴박감넘친다 넘쳐",2개
122,포비,07:00,1개
123,청개구리,연속 니킥 안되는거 빼면 킥복싱,0개
124,초심TV,흰색 팬티팀 두번째 주자가 절반을 해줬네요 ~ 작은 선수가 아주 야무진게 기본기도 탄탄해 보입니다^^,0개
125,백골,현실판 킹오브네,0개
126,임종윤,세계적인 흥행이 될 격투기 입니다.,0개
127,간지의제왕,전통 태권도가 증명해주면되겠네 포인트만 따는 무술이 아니란걸  ㅋㅋ,0개
