닉네임,댓글,좋아요수,날짜
애주가TV참PD,같이한잔 시리즈는 녹진이들과 라이브방송에서 편하게 같이한잔하는 컨텐츠로 평소와는 다른텐션일수있습니다♡ 굿나잇,76개,2020. 6. 4.
와인마마Winemama,다른 사람들과 비교하지말고 참피디님 말씀한대로 정말 내가 즐거워지면 되는 거죠!!  ㅎㅎㅎㅎ정말 같이 한잔 하면서 끄덕끄덕 하면서 보고 갑니다!.....,6개,2020. 6. 4.
류은영,"아효.. 우리 남편이 매번 참피디님 드시는거마다 다음날 먹자고 난리에 밤마다 잠못드는데 오늘은 갑자기 굴보쌈 굴보쌈 하길래 설마 하고 들어와보니 혹시나가 역시나네요ㅠㅠ,, 내일 차돌박이 먹고싶었는데 굴보쌈 먹어야함.. 둘이 짠할 때도 무조건 참참참임..",52개,2020. 6. 4.
제알두제주도를알리는두남자이야기,와...김치 보는데 순간 침이 싹 고였다 ....야밤에 넘 고통스러워요ㅜㅜㅜ,9개,2020. 6. 4.
구지Back굳이해주는광고,형님 한달전에 올리셨던 오크리에이터스 지원영상 보고 바로 지원했는데 합격했어요!!!!! 멘토링 받을때 형님이랑 같이 참참참 해보고싶어요.....어제 곱창 영상 보고 바로 시켰더니 운이 터진거 같아서 오늘 보쌈도.....바로 가겠습니다 형님!,6개,2020. 6. 4.
MoonKim,참이슬 프레쉬 200ml용기를 디자인한 디자이너 입니다 그걸 드셔서 너무 뿌듯하네요ㅠㅠㅠㅠ,78개,2020. 6. 4.
laurentiuschoi,이 시간에 이걸 본 내가 죄다....,31개,2020. 6. 4.
쨔니두니tv유쾌하게살자,항아리보쌈인거 같네요.ㅋ 제가 생각하는 보쌈 원탑 입니다 ㅋ,6개,2020. 6. 4.
쌉따라따라뚜잇,짜겟지?  고기를 더 넣으면 되지 ㅋㅋㅋㅋ,10개,2020. 6. 4.
핫시,공부하다 지쳐서 왔는데 9:07 보고 힘이 나네요. 감사합니다!,13개,2020. 6. 4.
김진환,3:40 크.. 배우신 분,7개,2020. 6. 4.
정성현,"조언해주시는 말 하나하나가 주옥같네요
말 진짜 잘하십니다..
혼술컨텐츠 볼 때 마다 마음에 위로받네요
항상 감사합니다.",2개,2020. 6. 4.
시골님TV,이시간에 봐버렸네......ㅠ.ㅠ,3개,2020. 6. 4.
김용,사람마다 다르지만 알콜 니코틴 카페인ㅜㅜㅜㅜ 공감합니다,12개,2020. 6. 4.
치자두,5:00 아휴 틀린소릴 안하시네.,2개,2020. 6. 4.
nilname,"6:06 인생은 고양이다 cat
caffeine
alcohol
tobacco",11개,2020. 6. 4.
조재우,이형 옷 프린팅 다지워졌는데도 입고다니네 ㅋㅋㅋ,2개,2020. 6. 4.
무릿님,0:49 소중한 의견 잘들었습니다,2개,2020. 6. 4.
