,youtube_id,comment,like_num
0,Onedouble,옷 꺼낼때 읭? 하는데 입은 사진 보면 와,778개
1,Hyeoni혜오니,옷방도 부럽지만 저 옷방에 있는 수많은 옷들을 소화하는 비주얼이 제일 부럽다...💓,341개
2,,진짜 이 언니 먼가잇는듯.. 다른 사람 옷소개 영상 보면 누구나 입는 그런 평범한 옷들이 많은데 언니는 평범한 옷도 포인트를 진짜 잘주고 색감도 넘 좋아서 진짜 먼가 잇는거 같애.. 언니 진짜 개멋잇다.. 남들과 다른 제일 패션 여자 로즈하🌹,417개
3,귤무죠,"아예 공주거나 아예 츄리닝이거나
아예 짧거나 아예 롱스커트거나
공통점은 알록달록🌈🌈",160개
4,로즈즐넛,하루종일 일상이 똑같고 지루한데 언니 영상은 내 삶의 낙,639개
5,말하는껌,"와 나진쨔 옷장소개 영상 스킵한번도안하고
처음부터 끝까지 본거 처음이야..🤭
옷 구경하는데 정신팔려서 25분이 진짜 순식간에 슥 지나가버렸어요😆❤️",359개
6,가현gahyun,"저런 옷들은 내가 입으면 그냥 튀고 싶은 관종 같겠지만 언니가 입으니까 완전 여신이 따로 없네여,,,",139개
7,SeaWoo,옷이 다 언니빨 받는거였어 언니가 명품이네..인간 명품이야..❤️❤️,188개
8,박나연,아니 이정도면 발렌시아가는 로즈하를 모델으로 영입해라! 영입해라! ✊🏻 #발렌시아가 #발렌시아가모델 #로즈하,159개
9,비보벳따우나,원피스 입고 피씨방 가는 당신은 대체..피씨방이 로얄 호텔이 됬잖아요....,25개
10,since314,26분짜리 영상에 광고하나 넣지않는 당신은....천사💜💜💜언니 사랑해요ㅠㅠㅠ 옷들도 하나같이 다 언니한테 잘어울리는것들!! 드레스룸 정리된거도 진짜 깔끔하고 무엇보다 언니 너뮤 예뻐요💜💜💜💜💜💜안예쁜날이 없자나ㅠㅠㅠ제 롤모델 언니에요ㅠㅠ 언니같이살아야지!!,154개
11,한서진,"옷장소개 같은거 아예 안보거나 스킵하거나 보다끄는데
이건 다봤다ㅏ옷장소개가 재밌을 줄이얌👍",10개
12,이혜인,언니 목소리들으면 그조곤조곤한 목소리가 힐링되는 느낌이에용💕ASMR하기 좋은목소리인것같아용🔥👍,10개
13,장미언니때문에전쟁났어요아름다war,꺄 매번 느끼지만 언니 취향=내 취향 💖 옷 하나 하나 소개해 주시는데 그동안의 언니 영상이 다 기억나여 🥰,5개
