,youtube_id,comment,like_num
0,회사원A,"차이님이 코디 해 준 홍대 힙스터룩 코디가 움직이기 너모나 편한 것...
커플룩으로도 입어 봤어요!
변신한 여자친구를 본 승범이의 반응 : https://youtu.be/MAjFX7FF7bY


회사원 채널 보고 왔다고 하면 할인 해 준대요!! 두번 째로 간 테크웨어 옷집 [식코] 인스타 : http://instagram.com/sickokr
차이님이 선물 해 주신 핸드메이드 키링 15wol : https://instagram.com/15wol_?igshid=1vp8y6xus2uwa
위에 구경하시는 김에 팔로우 해 주면 땡큐한 회사원 인스타 : https://www.instagram.com/calarygirl_a/",47개
1,서윤이,머리 잘리고 충격받아서 그러시는 줄....,910개
2,서윤채,"제목보고 밀크코코아 호갱 울 언니가 그럴 리가 없어 하고 달려옴ㅋㅋㅋㅋ
언니의 귀걸이와 화장이ㅋㅋㅋㅋㅋ딘드밀리를 있는 힘껏 거부중임ㅋㅋㅋㅋㅋㅋㅋ",12개
3,다솜,"와 저분 근데 코디 내공이 장난 아니시네,, 분명 하나씩 집으실땐 엥...? 저걸 어케 코디하냥.. 이랬는데 척척 코디하시더니 결과물이 너무 괜찮아서 놀라울뿐,,",378개
4,김하경,이 언니 요새 극한체험 많이 하시는듯. 44만원 머리가 아직 역대급임.,747개
5,,진짜 회사원님 평상시 복장이랑 상극ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ딘드밀리로 갖춰입어도 삐져나오는 천생 겅듀느낌의 회사원님ㅋㅋㅋㅋㅋㅋㅋㅋ,374개
6,예영,회사원님 옷만 보면 저 가게 인수하실 것 같은데....,297개
7,선희,부잣집 아가씨가 학교에서 힙스터 미대생 친구랑 친해져서 반항아된 아가씨같다,842개
8,Chai,"안녕하세요 chai입니다! 
영상 출연은  처음이라 많이 어색하네요 ㅠㅠ  
초대해주셔서 너무 감사하고, 
회사원 A님이 차고 계시는 키링은 
핸드메이드로 만들어 팔고 있는 
15wol 제품입니다!
혹시나 궁금하시다면 구경오세요!❤️   
https://instagram.com/15wol_?igshid=1vp8y6xus2uwa",895개
9,이호,누가 곤듀 회사원이 지겹대!!!!!!,433개
10,햇살,한가지 취향만 고수하는 회사원이시니까 다른 스타일로도 이런거 해주시면 좋겠어요 힙사원 완전 멋지네요,427개
11,,머리랑 화장 스타일링만 어울리게하면 의외로 잘어울것같은데요?! 저런 옷 입어본적없는데 괜찮아보여요!! 머리랑 화장 스타일링까지 맞춰입은 영상도 올려주세요!!,369개
12,잊누너미래와이프,5:42 417000원.......빈티지샵이 싸다구요???,338개
13,HappySo,저 분 옷 진짜 잘골라주신다...같이 쇼핑가고싶음,128개
14,박웬디,아니 제목보고 공듀공듀 회사원님이 이게 무슨일인가 싶어서 달려왔습니다,235개
15,박아림,난 아직 멀었는갑다... 정말 옷잘주운 거지룩같은...,157개
16,YENAKIM,"이쁜 룩이긴 하지만 저런 룩을 연출하려면 옷이나 악세서리가 비싸더라구영...? 그냥 겅듀는 원피스!귀걸이!목걸이!인데 저건. 티 니트 조끼 점퍼 귀걸이 목겅이두세개 마디마디반지 바지용 엑세사리 등등....돈 많이드는 룩이라서 쉽게 도전되지않는룩!
가격 사이즈도. 배려없움",104개
17,EUNE은혜,낯설지만 뭔지모르게 잘어울리는...,154개
18,석에몽Seokemong,"🦁 스트릿 패피들을
위협하는 초신성 등장...🦁
'못' 하던게 아니라 '안' 하던 것일뿐...
🐎이 필요없다... 영상봐주세요",166개
19,정수빈,내가 저 유행을 이해하려면 100년은 이르다...,78개
20,쁑데헷,음.....요즘은 저렇게 입는구나...저는 잘모르겠어요....그리고 옷들이 생각했던것보단 값이 나가네요?,129개
21,김현정,두번째 옷은 잘 어울리시는 것 같기도ㅋㅋㅋㅋㅋㅋㅋ 많이 사셨는데 왠지 이번 영상에서 보는 게 마지막일 것 같아요ㅋㅋㅋㅋㅋ,80개
22,권민지,"회사원님의 도전에 박수를 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 중간중간 춤인지 꿀렁꿀렁 거리는가 너무 웃겼어요 ㅋㅋㅋ 웃어서 미안하지만 ㅋㅋㅋ아윽 진짜 구매하신건가요? 다시 안 입으실거같은 느낌이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
전 핑꾸핑꾸 샤랄라 회사원님이 더 좋아용❤️",71개
23,서윤채,보다보니깐 차이님이 회사원님 옷장에서 꺼낸 원피스 입는 컨텐츠도 재밌을거같은데ㅋㅋㅋㅋㅋㅋㅋ,54개
24,이옴짝달싹,아웃곀ㅋㅋㅋㅋ머리 잘리고 흑화한 버전같음ㅋㅋㅋㅋㅋㅋ재밌,34개
25,ezK,6:10 회사원 b채널 의상이라 함은 a.k.a.잠옷 (속닥속닥),69개
26,오단비,뭔가 평소스타일이랑 짬뽕이아니라 대놓고 힙이라서 너무 좋아요ㅠ 시도하시는 모습 멋있어요!,66개
27,상추,심플한 내 관점에선 뭔가 맥시멀리스트....... 진짜 마른 사람 아니면 부해보이고 소화하기 힘들듯ㅜㅜㅜㅜㅠ,74개
28,LisaKim,언니 그 랩퍼손만 안하시면 나름 갠춘할것같아옄ㅋㅋㅋㅋㅋㅋㅋㅋ,15개
29,안녕하세요,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ스타일도 스타일인데 편집이 너무 웃겨ㅋㅋㅋㅋㅋㅋ 세상 어색하게 포즈잡는데 귀여운데 웃겨요 언니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠㅠㅠ,54개
30,소금소금,영상하고는 상관없는 얘긴데 개인적으로 빈티지샵은 구멍나도 갬성이라그러고  사이즈 배려없고 명품구제인지 짝퉁구제인지도 모르겠고 빈티지샵=중고구제샵이미지라 음...구제샵은 안가는데 빈티지샵 가는사람은 이해안됌... 거기도 똑같이 명품구제있을껀데 빈티지샵이라는 감성이 좋은건가하는 생각이 든다.,25개
31,hhy,3:18 보부상같아요 언니,59개
32,wuneee,저 가방이 진짜 샤넬일거라 전혀 생각하지못했는데,58개
33,로지팔레트,6:15 이 옷 왠지 모르게 잘 어울려요!!!,36개
34,정주리,ㅋㅋㅋㅋ이런 룩 처음이셨을텐데ㅋㅋㅋ 초반부터 하드하게 가신거같아요ㅋㅋㅋ 그런데 정말 편할것같아요,49개
35,유갱,44만원 커트의 위기를 기회로 만들어 극복하는ㅋㅋㅋㅋ,18개
36,,언니를 사랑하지만... 차마 저 낙엽은 사랑하지 못할 것 같아요,43개
37,호이호잇,"어색한데 자연스럽게 행동하려 하는게 넘 귀여움😏ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
인터뷰할 때도 살짝 죽인 자세가 씹덕포인트 ㅠㅠㅋㅋ 치인다😊💕",35개
38,김미래,6:15 편집 뭐에여ㅋㅋㅋㅋ 언니 오늘 진짜 약빨았떠,32개
39,노들,아 이번편 편집 미쵸따리 ㅋㅋㅋㅋㅋㅋㅋ진보하는 회사원님 항상 잘 보고 잇읍니다 멋져요 멋져,26개
40,정재재,6:40 뭐야 이 막걸리 같은 흥은 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,30개
41,현주,9:05 ㅋㅋㅋㅋ 약간 개구리 중사에 나오는 기로로가 생각나네요,13개
42,고우니수연,미안해여언니 돌아와줘여,13개
43,민카,ㅠㅠㅠ썸네일부터 느껴지는 역대급 영상,36개
44,신지민,언니.. 바로 배틀로얄 뛰어도 되겠어.. 빨리 삼뚝 가져와..,19개
