,youtube_id,comment,like_num
0,ShaNyahJones,To whoever is reading this. .......... I hope you have a very successful life and I hope you and your families stay safe during this difficult time,311개
1,Nadia,"You need a onsie that says ""I MADE IT MYSELF"" for your BABY AHAHAH",378개
2,mingggu밍꾸,"미니님 영상 볼때마다 임산부인데 그런거 먹어도 되냐, 인스턴트 먹지마라 오지랖 댓글 볼때마다 같이 기분 안 좋아지는 임신 7개월 임산부입니다...;;먹고 싶은거 먹는게 좋아요...다른때 잘 관리하실거고 본인 몸이신데 어련히 잘 하실까...특히 임신도 안해본 사람들이 미니님 먹는거 가지고 왈가왈부 하는거 보면 같은 임산부로서 매번, 많이 불편해요...님들은 한마디일지 몰라도 미니님은 수십, 수백번 듣는 오지랖이에요. 보는 사람도 좀 생각하셨음 좋겠어요. 특히 임신하면 더더욱 예민해져서 별거 아닌 일에도 속상하기도 하고 마음상하기도 하고 그렇거든요ㅠㅠ그리고 미국은 한국이랑 식생활 많이 달라요...저정도면 건강식입니다ㅠㅜ한국 정서 알지만 너무 오지랖 같아서 불편해요. 한두번도 아니고 매 영상마다 같은 댓글 달리니 더더욱이요.",70개
3,10번박호준,"햄버거 먹을때 아래 빵보다 위쪽 빵을 더빨리먹는건...
나만 그런건가....?",204개
4,ASMRVibes,"That lettuce looks so perfectly green. I can't even-


Edit: omg guys thxs for 119 likes. I never had this much uwu.",138개
5,김감자,양상추가 완전 찐한 연두색이어서 ㅋㅋㅋㅋㅋㅋㅋ 색종이 인줄 알았어요! 너무 맛있어 보이네요 🤤🤤 잘보고갈게용 ❤,143개
6,먼치킨,뱃속의 애기가 행복할거 같아여! 엄마가 맛있는 음식들을 많이 드셔서ヽ( ᐛ )ノ,117개
7,AngelWinter,"hii mineeeee it's good to see that ur eating so well, wish for u and ur baby to be healthy <3",95개
8,HelplessBunny125,This is the juiciest burger I've ever seen😍,121개
9,Sahashi,"Haha tony is a sweet husband ;) , and also I'm sure little minee would also love food a lot",74개
10,뿌딩첼,"남편분이랑도 한 번 같이 찍어주세용
남편분 궁금해용
다음엔 탕수육이랑 짬뽕 혹은 짜장면이랑 먹어주세염ㅎㅎ0",156개
11,떡쑤니,저는 미니님이 다른 도구 안쓰고 손으로 음식먹는 먹방할 때가 정말 좋아요!!,50개
12,현미,"오늘 영상엔 임신중일땐~하면 안돼요!, 임신중인데~먹어요? 이런댓들이 많은것 같아요..ㅠㅠ 미니님 걱정되는건 알지만 다들 선은 지킵시다! 미니님이 알아서 하시겠죠 오지랖 노노",13개
13,찐빵,"출산하시면 미역국먹어주세요 한국은 출산하면 미역국먹어요
+한국인이신거 알아요 걍 알려드리는겁니다",210개
14,OwoTsu,"Definitely watching this during ramadan when I'm really hungry

This actually help me a lot",5개
15,쿡준sCookjunASMR,0:51 Start Eating!!❤❤ 햄버거 짱 맛있게 생겼넴...ㅜㅠㅠ 맛있겠다ㅠㅠㅠ,42개
16,수진더빙,"뱃속애기:우와 엄마 사랑해욤....맛있눈고 많이 드시궁!! 너무 좋아
이럴것 같아요ㅋㅋㅋ 엄청 행복해 할걸요?!",10개
17,09꾸꾸,"미니잇님 Q&A영상 보다가 왔는데 Q&A영상 다시 해주실수 있나요?ㅠㅠ
이번 Q&A영상은 과자,초콜릿 그런 간식들 드시면서 자막쓰시면서요ㅠㅠ묻히겠지만 한번 써봅니다ㅠ",12개
18,바이,미니님 손이 예전보다 쫌 통통해지셨어 ㅋㅋㅋㅋ임신하다보니 몸이 붓나보네여ㅠㅠ,7개
19,이가림,빵 위에 깨가 없넹,27개
20,Blaiirdays,Me watching this while doing the cloe ting abs workout smh,18개
21,그저빛,저는 모짜렐라 인 더 버거에 해쉬브라운 추가된 거 좋아해요! 치즈가 쭉 쭉 늘어나서 완전 맛있어용,28개
22,TOGA,"I used to eat the burger first then the fries, now I eat the fries first then burger. I never eat them together idk why lol",10개
23,JIJIGG,"Question of the day

Answer me: burger King",10개
24,MinminGii,It's been a long time since I've seen you eat a burger LOL😂,21개
25,달달꿀봄,남편분이랑 같이 치즈피자 먹방해주세여,9개
26,BeardedWhispererASMR,I wish this was mine! 🙌😊,23개
27,김시은,"와,, 햄버거가 무슨 그린 것처럼 되게 이뻐요",3개
28,해남이나라,한국인 여러분 분발하세요 분발하려면 댓글 plz,2개
29,ZoFurlow,Me liking the comments that have 0 likes,13개
30,EricaLi,"I wish I can eat cheese since the doctors told me i cant eat cheese anymore.
I loved cheese when i was little and I still love it 😍🧀🧀🧀🧀 the burger and fries look good too 🍔🍟❤",3개
31,용맹한루랑이,헐...안그래도 안그래도 수제아보카도버거 먹고싶어서 아보카도 후숙중인디 ㄷㄷ 미니님 대박!!!!,10개
32,유애나이설주,완전 맛있을거 같아요..ㅠㅠ 미니잇님 코로나 조심하시고 영상 찍으시는거 힘드실텐데 ㅠ 💖 힘내세요! [ 다음엔 한식 드셔주실수 있나요 ?,15개
33,불닭덕후,미니님..! 전부터 궁금한거 질문드려요 매 영상마다 급하게 혹은 빠르게 드시던데 빠르게 드셔서 미니별들이 보기엔 편하고 좋지만 미니님 속 괜찮으신가요..? 걱정되네요ㅠㅠ 몇번 씹고 그냥 삼키시던데 배속에 아기도 있는데 꼭 빠르게 안 드셔도 돼요!!,4개
34,웅이여요,"미니잇님은 늘 복스럽게 드시는것 같아요 ❤ 미니별으로 , 항상 곁에서 응원하겠습니다❤
사랑해요 ⭐",2개
35,Beloved샤문,"미니잇츠님!제기 정말좋아하는 asmr유튜버세요❤걱정되어 댓글 달아봅니다.지금 미국인 코로나19확진자가 어마어마 하다내요 ㅠㅠㅠ그런거 사실때 좀 걱정이된답니다..항상잘드시고 웃으시는 미니잇츠님을 보면 덩달아.기분이 좋지만 밖에서 사신음식을 드시는거보면 너무나도 걱정이됩니다ㅠㅠ꼭 마스크 쓰시고 손소독하시고 30초이상 손 씻으시고 밥도 잘챙겨드세여 ㅠㅠ너무 배달음식만 드시지말구용!❤


(Dear Minutes! Jegi is my favorite Asmr Youtuber.❤ I'm worried so I'm leaving a comment.There's a lot of American coroner 19 now. I am a little worried when I buy such things.When I see Minnie Itz who always eats well and laughsI feel good, but I'm so worried when I see you eating your food outside.Make sure to wear a mask and wash your hands for more than 30 seconds and take care of your food.)",5개
36,미래tv,"오늘부터 미니별!인데 침나온다.....
앞으로 이 채널 많이 봐야지
( It's a mini star from today, and I'm drooling. I'm going to watch this channel a lot from now)",2개
37,ZehraKozanli,I'm craving for a burger right now🤤🤤🤤🤤❤❤❤,18개
38,이세영,"와..!미니잇님 제 위장 책임질 거에요?
Omg french fries dipped in cheeeese...
My mouth is dripping wild!",7개
39,늄뇨,"흐아아악 지금 이 영상을 봐버렸다 ㅠㅠㅠㅠㅠ
미니님이 드시니까 더 맛있어 보여요😭 마침 오늘 햄버가 땡긴 날이었는데.. 내일 점심은 햄버거로 정했다!!

+ 오늘도 소리 너무 좋고 침고여요ㅠㅠㅠ",4개
40,FrancesW,"I love this channel because a lot of the food is home made❤️! My favorite burger is a chicken burger from Chick-fil-A, or a homemade hamburger 🍔.",3개
41,,"당연히 파는 건줄 알았죠,,,,? 할 줄 아는 요리는 계란후라이와 라면밖에 없는 나는 여기 타자로 박수를 친다👏👏👏👏👏👏👏 




소리는 뭐 말할 것도 없구여",4개
42,CrunchyASMR,"Happy Easter, Minee! I hope your pregnancy is treating you well ❤️",1개
