닉네임,댓글,좋아요수,날짜
SomiFit,"안녕하세요! 여러분 소미핏 미서원 입니다. 
묵혀뒀던 치앙마이 헬스장 영상 이제서야 편집하기 시작했어요 ㅋ 
참고만 해주시고 보시다시피 저도 배우는중이라 전문가와 함께 하고 있어요.
영상은 치앙마이 1-2월에 촬영한거라서 헬스장에 마스크 착용한 사람이 한명도 없어요. 
영상 재미있게 봐주세요.",19개,2020. 4. 30.
KBK,이렇게 같이 운동할 사람 있으면 한개라도 더 들게 되는데 혼자 하니까 그만할 핑계만 찾게되요,11개,2020. 4. 30.
Myo,"미서원님 구독한지 2년쯤 된 것 같은데요. 그동안 운동도 따라했다가, 잊고 살다가, 그냥 눈으로 구경만 하기도 하고... 그렇게 시간이 흘러 흘러~ 가장 큰 변화를 꼽자면... 덕분에 운동이 재미있어 졌어요. 매일 하진 못하지만, 할 때 마다 즐겁고 더 하고 싶고 운동의 매력을 알게 되서 행복해요. 늘 고맙습니다. ^^",4개,2020. 4. 30.
무릎석탄,정말 멋있으시네요 미서원님 하지만 이걸보면서 꾸이맨 먹고 있는 내 인생이 레전드...ㅋㅋㅋㅋ 골프 양심추적 최재원?씨 닮았어요 ㅋㅋㅋ,4개,2020. 4. 30.
HaileyhyeriYun,"♡미서원님 진짜 팬이에여...알라뷰 ㅠ 
저 진짜 운동이란걸 안하던 작자인데... 선생님 영상덕에 운동 매일매일 하며 인간답게 살고 있습니다... 
언제 어디서나 건강하세여! ♡",3개,2020. 4. 30.
카페다방,와 미서원 누나 힘 대박~ 열심히 운동하시는 모습 아름다워요!,3개,2020. 4. 30.
SomiFit,"*가슴, 삼두 운동루틴
1] 0:18  (덤벨) 숄더프레스 + 벤치 프레스
2] 1:23 (인클라인) 덤벨 플라이 + 덤벨 프레스
3] 1:17 딥스
4] 2:07 니 푸쉬업
5] 2:29 케이블 체스트 플라이 + 체스트 스퀴즈
6] 3:14 라잉 바벨 트라이셉스 익스텐션
7] 3:46 트라이셉스 익스텐션 머신
8] 4:23 벤치딥스",1개,2020. 4. 30.
이예엔,딘짜 운동하는 모습 겁네 멋있어요 미서원님 진짜 개멋있어요 ㅠㅠㅠㅠㅠ,0개,2020. 4. 30.
김경진,헬스장 운동 브이로그 넘 재밌어요 ㅋㅋㅋㅋ 코로나 때문에 헬스장 입구 근처도 못가는데 대리만족도 되고 운동 뽐뿌도 오고 ~..~,0개,2020. 4. 30.
애용,미서원님에게 늘 좋은 영향력 받아요!! 감사합니다 😍 5월도 행복하세욤 ㅎㅎㅎ,0개,2020. 4. 30.
유튜버사관학교,"오늘도
영상통해 도전받습니다.
감사합니다",0개,2020. 4. 30.
피지컬업데이트HOMETRAINING,"오 보디빌딩 !! 
더 몸짱이 되시겠는데요 !! 
홈트도 헬스장에서 하는 웨이트 트레이닝도 
화이팅 하시길 바랍니다 ^^",0개,2020. 4. 30.
이수진,으이.... 눈으로 봐도 소미님의 타는 근육들이 느껴지네요🔥 뿜뿜!!🔥,0개,2020. 4. 30.
빨강머리앤,오~궁금 해지네요!3대 몇 인가요? ㅋㅋ,0개,2020. 4. 30.
jieunkim,매끈하고 착색없는 겨드랑이 부럽습니다😭,0개,2020. 4. 30.
sunggyusim,잘보고갑니다,0개,2020. 4. 30.
홍길동,대회나가서 경력도 쌓고 자격증도 땁시다 요즘 여자운동유튜버 저격많아요,1개,2020. 4. 30.
일상생활아재,굳이 태국?? 그냥 너 거주지서 열심히 운동해!! Ok?? Haha 너 거주지가 태국이면 많이 오래 걸리겠다 ㅋ,0개,2020. 4. 30.
