,youtube_id,comment,like_num
0,다또아Daddoa,"안녕하세요! 다또아입니다 ❤️
오늘의 영상은 홀리님과 재미지게 찍었던 겟레디 !
즐겁게 봐주세요! 진짜 즐겁게 찍었어요 :)
저의 뉴또아 모습도 적응해주시구요 (ㅋㅋㅋㅋ)
마지막으로 저의 쥐잡아먹은립은,,애써 모른척,,ㅎ 부탁드려요
진짜 맨날 바르는건데 저날따라 저렇게 씨게 발릴줄 몰랐지 나눈,,,?",114개
1,홀리holy,또아<~~~~,166개
2,AfnanM,I can’t understand Korean BUT I watched it till the end 💕💕💕🌸🌸🌸☺️,4개
3,달지,또아님 밝은 모습 보니까 제가 다 행복하고 웃음이 나는 것 같아요 :) 언제나 또아님의 내일 내일이 진심 가득담은 웃음이 어제보다 더 가득한 날이 하루라도 더 많은 하루이길 바랄게요 🙏 늘 응원하고 있어요,6개
4,세계를여행하는오늘우리,와우 이건 최고의 조합 띠용 😍,12개
5,이선우,홀리님 영상 뒷부분에 나온 시코르 제품 궁금해요~~ 어떤 제품 인가요??,15개
6,이와이,다또아님 진짜 오랜만이다ㅜㅜㅜ홀리랑 조합좋ㅎ아여..,4개
7,승짱,다또아님 진짜 옆집언니 같아요ㅋㅋㅋㅋㅋㅋ,1개
8,LEEBIE이비에,"또아님 귀여운 머쓱타드 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
영상 올라오는거 보면 너무 좋아용",2개
9,김성은,ㅜㅠㅠㅠㅜ또 봐서 너무 젛아용♥️,2개
10,SestunaAmsterdam,ダトアちゃんお肌ツヤツヤ✨,1개
11,lovelyjju,운동을 하면서 먹으면 건강한 돼지가 됩니다ㅠㅠㅎㅎ,4개
12,3101강민서,헐ㅠㅠ 홀리님이랑 다또아님 콜라보ㅠㅠ 진짜 너무 좋아요ㅠㅠ 사랑합니다ㅠㅠ❤️❤️,0개
13,홍시,"또아님 너무 귀엽고 웃기세요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
저도 속눈썹이 엄청 직모라서 혹시 사용하신 뷰러나 추천해주실수 있나요??
언제나 응원하고있어요 ♥",0개
14,재윤,언니 정말 세상 편해보여요ㅠ 너무 귀여워ㅠㅠㅠㅠㅠㅠㅠ❤️🥰 이런 언니 편한모습 너무 좋다 맨날 보여줘용❤️,0개
15,HANNARAE한나래,와 또아님하고 홀리님하고 겟레디윗미라니💗 최고에요 진짜,12개
16,YoungsilJi,홀리님 채널보다가 넘어왓어여~~ 그전부터 보고 있었는데 구독을 안했었네요 ㅠㅠ 영상 잘 보고 갑니당 밝은 모습 보기 좋아여~~ 구독 누르고 갈께여 :) 다음 영상들도 기대할께영 ㅎㅎ,1개
