,youtube_id,comment,like_num
0,로즈하ROSEHA,"가발 넘모 부끄럽다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ..하..
기타 정보는 더보기란 클릭해주세요💜💜
내일 저녁에는 우리 마리들이 엄청엄청 요청 해주신!! LA 브이로그!! 올라갈거예요ㅎㅎ😳
그럼 내일 또 만나용🌸🌸🌸",514개
1,연희제YHJ,광고좀 넣어요 그대...,62개
2,흐흫,2:23  언니..우술라 노출됬ㅅ,200개
3,김습습DoubleSoup,즈하님하면 봄이 바로 떠올랐는데 보라 섀도우에 핑쿠 가발도 넘나 잘 어울리는 것 ㅠㅠ ♡♡♡ 비욘드 크림도 넘 귀여워요 ㅠㅠㅠㅠㅠ 사러갑니다 총총 ♡♡,392개
4,,찐로즈마리는 아는 뽀인트 🌟 장미언니는 항상 인트로마다 두손을 모으고 나긋나긋하게 카메라를 보며 이야기한ㄷr💖💖,181개
5,언니타지에서왔다면서요판타지,빨리 해명해요 사람이 아니고 요정이라고,125개
6,랄라라,미미미미ㅣ미미미미ㅣ친 디즈니 공주 한명이 사라져서 찾고 있었는데 여기 있었네요 로즈하 공주,119개
7,말하는껌,"언니 머리위에 있는 사자인가 호랑이녀석이
자꾸 거만하게 처다봐요😠😆",131개
8,sudal,"언니에게 좋은 글귀 하나 남겨요ㅎㅎ 힘들고 지쳤다는것 노력해따는 증거, 슬럼프가 왔다는 건 열정적이였다는 증거, 긴장 되는건 그만큼의 진심인 증거, 그만둘까라는 생각이 드는건 지금까지 희망을 버리지 않고 있다는 증거...       화이팅!",70개
9,KimZoe,와 편집장인 진짜 고민해서 완벽하게 하려는게 모든 영상에서 다 느껴짐,16개
10,,당신.. 제발 중간에 광고좀 많이 넣으세요 ㅠㅠㅠ 난 언니 쇼핑 하울을 더 많이 보고싶으니까 .. 💖,9개
11,만배,언니보다가 입꼬리가 올라갔는데 안내려와서 조커역할 캐스팅 당했어...,22개
12,핑구,"와 언니 넘 하얘서 보라색 섀도우가 그냥 발색이 온전히 다 되는 피부톤 무엇이에요,,?..",88개
13,yenathestar,"공주님 오늘도 너무 예쁘세요 제가 좋아하는 소녀스러움과 블링블링함과 예쁨이 공존하는 언니는 완벽한 롤모델이십니다 ㅠㅠ 디즈니 공주 st 메이크업 나중에 꼭 한 번 시도해보고 싶네요!! 이런 메이크업 너무 찬성입니다 딱 제 취향을 저격해버렸어요...🙈 디즈니덕후로써 정말 언니 같은 분이 계셔서 행복합니다,,, 항상 좋은 꿀팁과 정보와 메꾸영상 감사하고 앞으로도 늘 언제나 응원합니다 사랑해요 💗🌈💖✨💕❤️",101개
14,불낙지,미쳤나봐 우리 언니 예쁜거 세상사람 다 알아야함...!!!,76개
15,312,"와.. 언니 그거알아요? 언니는 경마장 못가는거




경마장에가면 말이 안나와서 ㅎㅎ
너무 예뻐욘❤️❤️❤️❤️",4개
16,LykaMaeEsmea,I badly wanna have a face like yours. I'm too ugly for this. 😢,2개
17,이포크,바비인형이 따로 없다라고 밖에 표현하지 못하겠습니다.💜💖,4개
18,나은,앞머리 풀뱅 가발이지만 진짜 완전 찰떡이다 ... 이 언니 안 어울리는게 뭐야,7개
19,로즈즐넛,언니 로즈마리들은 엘레베이터에 혼자 타도 만원이래요 마음 속에 장미언니로 가득차서..❤️,48개
20,688,"언니는 진짜 청순한화장부터 이렇게 펄뿜뿜 화장 웜톤 화장 쿨톤 화장 다어울려서 부러워요😳💕도화지처럼 멀해도 챱챱 찰떡꾸,,,",23개
21,03intj,내가 디즈니라면 이 영상 보고 로즈하 공주 만들었다...,11개
22,이경희,"언니 브이로그 많이 올려주세요!! 스트레스 받으면 언니 브이로그 보는데 진짜 힐링 많이 됐어요!!! 노래도 좋고 편집도 이쁘고 언니가 너무이뻐서 힐링되요💖
언니도 로즈마리 댓글보고 힐링했으면 해서 이쁜댓글 많이 쓸께요!! 장미언니도 좋은 영상찍어주세용🌹😍
글구 언니 곧 생일 축하해요💕🎁🎉",34개
