,youtube_id,comment,like_num
0,진자라,조파파님 완전 머시썽.. 이런말 해도 괜찮은건가 완전 멋지게 나이 드신가 같아요 저도 나중에 그러고 싶어요,515개
1,JayKim,목욕을 거의 ‘모욕’으로 발음하는 그녀는 어쩔수 없는 부산사람ㅋㅋㅋㅋㅋㅋ,413개
2,콘오알바,"브이로그 편집자님이 편집하시는거죵..?
편집 진짜 너무 재밌게살하셔유ㅜ
놀랠노자일정도ㅋㄱㄱㄱㄱ
덕분에 더 보는맛나요ㄱㄱㄱㄱㄱㅋ ㅋ",166개
3,LubiKim,강아지가 옷입으면 안움직이는게 옷이 불편해서 싫어 그런거 아닐까요? 전에 강아지 영상중에 옷만 입히면 움직이지 않는 강아지 동물 농장인가? 본거 같은데 강아지가 옷이 싫어서 굳는거라고 그러던데...,80개
4,뀨르,이사하신 거 맞죠?? 저번 집보다 더 커진 거 같아서요... 효진님은 인테리어 관심 없다 하셨지만 뭔가 랜선집투어(?) 해도 재밌을 거 같아요!,47개
5,쭈니쭈니,조파파님 수트핏 무엇...원래부터 멋있다고 생각했는데 너무 멋있으세요 항상건강하세요❤️,112개
6,뭉순이엄마,으와 대박대박 조파파 키도크고 완전 멋있으세요 😍👍 스윗남♥,111개
7,가리의일상Garisdaily,3:58 화방 안가본 사람 눈에는 그저 렌즈가게 언니들이 빼주는 렌즈통같다며..........,104개
8,원주,조파파님 메이크업이랑 헤어 다 받으니까 완전....!! 미국 캘리포니아에서 2층 대저택에 사는 성공한 교포느낌나요.....,41개
9,RAYCHEL레이첼,14:09 와 여기부터.... 대박..... (입틀막) 아버지... 진짜 멋있으세요... ❤️🙊❤️,87개
10,HYK,"얼음 갈아서 유자슬러쉬로 먹어도 맛있어요! 나중에 한 번 드셔보세용. 그나저나 조파파님 나이가 드실수록 점점 더 멋있어지시네요 ㅠㅠ 키도 크시고, 풍채도 좋으시고, 성격도 좋으시고, 유머감각도 있으시고 ㅠㅠㅠㅠ 조파파 포에버!!! ♥♡ 건강하세요!!",5개
11,빈초,"7:13 복도가 끝이 없어,,,,",52개
12,다람진DARAMJIN,우리 딸이 역시 막내입니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제 웃음포인트 건드려버리심 ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,8개
13,깡나,"으앙 효진언니다ㅠㅠㅠㅠㅠㅠ 조있그브가 온세상 브이로그중에 제일 힐링이고 제일 재밌어,,, 언니 사랑해요💓",5개
14,콘오알바,조파파님 넘 멋있어여ㅠㅠ 근데 왜 눈물이 나죠.. 효진님이 너무 멋진딸 같아서 보는제가 눈물이나네요ㅜㅡㄹ,37개
