닉네임,댓글,좋아요수,날짜
GoAle,"💥댓글 이벤트💥
댓글을 달아주신 분들 중 추첨을 통해 한 분에게 고알레 7부팬츠를 선물로 드립니다!
당첨자 발표는 6월12일 고정 댓글을 확인 해주세요ㅎㅎ
 
감독님들이 입은 유니폼이 궁금하시다면!
고알레 스마트스토어 https://bit.ly/39WB3xM",23개,2020. 6. 5.
이지민,"1.공을 잘 밀어놓기
2.디딤발의 위치
3.임팩트 때 시선
4.슈팅 후 몸이 앞으로 나가기

역시 믿고보는 고알레! 고알레 항상 응원합니당 영상이 나올 수록 제 실력도 나아지네요 ㅎㅎ",18개,2020. 6. 5.
tvpark,저도 슈팅중에 감아차기를 제일 좋아하고 잘 쓰는데 힘이 안쓸려서 고민이 많았는데 이 영상을 보고 힘쓰는법을 알게 됬어요 연습을 많이해서 고체티노님처럼 감아차기 하고싶습니다!!카카PD골 많이 넣을 수 있을것같네요!!ㅎㅎ,5개,2020. 6. 5.
심판,"고알레 하루도 빠짐없이 시청합니다.
아마추어 축구인들의 길라잡이라할까요?
고알레만의 고급정보 항상 감사합니다.
고알레 시청하면서 즐거움과 내자신이 많은것을 바꾸어가면서 실력향상이 되는듯하네요~언제나 유익한 내용과
실전영상 많이올리시길 바랍니다.
고알레 화이팅!",3개,2020. 6. 5.
김지윤,"고체티노가 알려주니까 카카pd가
잘차네..",7개,2020. 6. 5.
변기커버,확실히 왼발은 고체티노가 잘찬다.,5개,2020. 6. 5.
신민기,저는 거의 슛팅을 감차로 차서 항상 고체티노님 영상 보면서 슛팅을 연습하는데 오늘도 슛팅 연습에 유용한 영상 감사합니다,5개,2020. 6. 5.
김동찬,"ㅎ 역시 감차는 고체티노네요 
감차의 교과서 같습니다 ㅎ
항상 재밌는 영상 올려주셔서 감사합니다~",4개,2020. 6. 5.
방성훈,체중이동을 앞으로!!영상을 통해 저도 많이 배웠습니다 ㅎㅎ오늘도 좋은영상 감사합니다,5개,2020. 6. 5.
daehno,고체티노 생각하면서 차바야겠다 원래 잘차시는거아니조?,3개,2020. 6. 5.
김건희,이걸 봐도 변하지 않는 나.....,4개,2020. 6. 5.
이관형,"고알레영상항상
재밌어서꾸준히보게되네요
배울점과느낄점도
좋은영상많이부탁드립니다!",5개,2020. 6. 5.
fixx,1등 처음해본다 오.......,7개,2020. 6. 5.
김주영,카카님의 저번영상보고나서 발전을 기원했는데 역시나 고체님의 1대1 레슨으로 인해 슛팅 궤적이 후덜덜하네요!! 발전성이 더욱더 보여지네요~ 고체님 강의 재미있고 유익하게 배우는사람들도 낙심하지않도록 칭찬과 열정을 같이 알려주시니 더더욱 빨리 성장되겠네요^^.카카님 화이팅입니다^^,8개,2020. 6. 5.
김태원,진짜 감차달인 고체티노!! 자세히ㅜ강의 되있어서 너무 좋았습니다!!! 좋은영상 많이 올려주세요~,4개,2020. 6. 5.
이하윤,"이렇게만 하면 나도 왼발을 잘쓸수있을까??
고체티노 넘 잘가르치신다.
파이팅!!",2개,2020. 6. 5.
다둥,이거 믿어도됨니까 사기아님니까이거?ㅜㅜ저렇게 향상되다니... 갑자기 저도 선천적으로 슛쓰인데 희망이보이기시작됩니다ㅎㅎ,3개,2020. 6. 5.
김도현,카카 PD 뭐야?!!!진짜 잘찼다,7개,2020. 6. 5.
강민준,"보는중:와 (고체티노 너무잘참 나도할수있을겄같음
하는중:와..(내실력에 감탄 ㅆ..)",6개,2020. 6. 5.
동꾸준,고체티노 티칭 아주 조아,5개,2020. 6. 5.
이수민,와 진짜 궤적이 엄청 나네요 ㅎㄷㄷ 저도 오늘 축구하러 가는데 이 방법대로 해볼게요,6개,2020. 6. 5.
김더덕,"역시 왼발은 고체티노님이죠!!
슈팅만 잘 하시는줄 알았는데 강의도 잘 해주시니 확실히 전문가라는 생각이 더 듭니다.
카카님도 고체티노님도 화이팅!!",2개,2020. 6. 5.
동꾸준,고체티노 카카 합방은 뭐다? 고 카 인!,3개,2020. 6. 5.
데스나이스,"진짜 나한테 필요했던거네요
슛팅연습때 진짜 못차는데...
실전할때는 슛팅이 괜찮게 나와서 연습을 안한다는 약점이 ㅎㅎ",2개,2020. 6. 5.
김건우,"근데 카카PD가 이해를 진짜 잘하는것가틈 솔직히 이건 ㅇㅈ해야됨 
가르치는 사람도 힘이 날듯",2개,2020. 6. 5.
김준우,"나도 고알레멤버였으면 좋겠다ㅋㅋㅋㅋ개인강의 완죤부럽네
제가 골키퍼인데 골키퍼팁도 한번 해주시길 바랍니다!",2개,2020. 6. 5.
박지우,반대발을 잘못찼는데 이거보고 연습해야겠어용 ㅎ,3개,2020. 6. 5.
JaewonBoo,고체티노 감독님이 4가지로 잘 정리해줘서 이해하기 너무 좋네요👍 준비동작 후 임팩트때 150% 힘 주는 것도 꿀팁🍯🍯 고알레 항상 고마워요😍,2개,2020. 6. 5.
묵직이,내왼발은 거들뿐,3개,2020. 6. 5.
KiWoonSong,"나이가 51인데 자주 들어와서 보고 배웁니다. 
주로 미드필더에서 뛰거나 윙으로 뛰는데
슛챤스가 날때는 사실 머뭇거리게 되는데
오늘 배운대로 경기때 해보겠습니다.
코로나로 2주간 경기장을 못가서 아쉽지만 
볼로 연습많이 하겠습니다.",2개,2020. 6. 5.
최명진,고체티노~행님~디딤달강의 잘 봤습니댜~~,4개,2020. 6. 5.
이연주,"저도 왼발감차는 이상했는데 이 영상을 보니까 더
잘 슈팅이 됩니다.매일매일 좋은 영상 감사합니다.",2개,2020. 6. 5.
나이쑤잔,저도 꼭 슈팅 연습 열심히 해서 좋은 궤적과 파워를 만들 수 있도록 노력하겠습니다,2개,2020. 6. 5.
김의민,"고체티노 교육론에 감명받았습니다.
오늘도 많이 배웠다...",2개,2020. 6. 5.
지포레,발목이 아작났지만  빨리 회복해서 한번 해볼게요!!,2개,2020. 6. 5.
관종떡,확실히 끝까지 몸을 앞으로 밀어주는게 좋은거같아요 힘이 그대로실려버리네요,2개,2020. 6. 5.
moonsik,고체티노 그의 능력이란... 진짜 슈팅 많이 좋아졌네요,3개,2020. 6. 5.
박건우,11:02분 카카PD눈빛ㅋㅋㅋㅋ,4개,2020. 6. 5.
이류빈,"고감독님이 알려주고 카피디가 됐으니 나도 읍읍,,",2개,2020. 6. 5.
이동현,저는 윙인데 드리블만 잘 하고 슛팅은 자신감이 없습니다.하필이면 연습할기회가 있는 축구시합인데 요즘코로나때문에 축구하지도 못하고 하지만 이 꿀팁영상보고 힐링하고 갑니다.,2개,2020. 6. 5.
ssimwallssimwall,지린다 약발러들에게 희망을,2개,2020. 6. 5.
바보멍청이,왼발은 역시 고체티노,3개,2020. 6. 5.
WH,"고선생님 핑크가 잘 어울리시네요 
역시 남자의 색깔",2개,2020. 6. 5.
행복,재밌고 쉽게 알려주셔서 따로 학습하기에도 충분할 거 같아요!,2개,2020. 6. 5.
슈팅10000개차는중,0:50 레전드,9개,2020. 6. 5.
인디요치모,3:02 고채티노 다리에 자국무엇ㅋㅋ,2개,2020. 6. 5.
꽃미남현,고체티노 ㄷㄷ,5개,2020. 6. 5.
김하영,감아차기가 잘 안되는데 이 영상 보면서                              많이 연습 가야겠네요 좋은 영상 감사합니다,2개,2020. 6. 5.
기버지,항상 자세하고 재밌고 유쾌하게 알려주셔서 감사합니다.,2개,2020. 6. 5.
