닉네임,댓글,좋아요수,날짜
젤좋아노는게,언니 임신하신 뒤로 진짜 먹고싶은거 엄청 열심히 드시는거같아서 너무 귀여워요오 ㅠㅜㅠㅠㅠ,253개,2020. 5. 7.
proplayer,I like how you always try different things and not just fast food.,277개,2020. 5. 7.
witt,일본애들 넘 싫다 남 먹는데 말이 넘 많아 그냥 아닥하고 봤으면..  미니님이 일본사람도 아니고 맨날 문화의 차이 문화의 차이 이지랄 응 끄져~ 문화의 차이면 걍 가만히 있던가 핑계는 오지게 대요~~ 합리화시키는 단어= 문화의 차이,150개,2020. 5. 7.
토끼웅냠냠,소스통을 좀만 더 큰걸로 준비했다면...편하게 드실 수 있을텐데...ㅜ,64개,2020. 5. 7.
mnsoon,"""Made it myself""
Me who overcooked my water: I wish I could do that",171개,2020. 5. 7.
음미하는시아SiaEnjoyEating,"0:57 차가운 것도 불어서 먹게 되는 거 저만 그런 거 아니었군요🙆😁
 메밀국수의 시원함이 여기까지 느껴지는 듯해요♥
 더울 때 먹음 더 맛있다는 거 격공이요👍💕",48개,2020. 5. 7.
오리가뭐징먹는건갑,아닠ㅋㅋ 언니 저도 항상 메밀국수나 콩국수먹을때 차가운데 불어먹어욬ㅋ,13개,2020. 5. 7.
hello,"메밀국수 후루룹 촵촵 먹다가
얼굴에 갈색국물 다 튀김..",16개,2020. 5. 7.
MelanyDosSantos,"When i read BIG BITES...

Let's goo",73개,2020. 5. 7.
fabihaamin,I like how she makes everything please do more recipe videos !,5개,2020. 5. 7.
aestheticassbiss,"""have you tried buckwheat noodles?""
Me: i dont even know what that is lol",22개,2020. 5. 7.
IAMJUNGSHOOKKOOKIE,Still buzzing about what the food sound is in the intro music,55개,2020. 5. 7.
한유아,미니님 ㅠㅠㅠㅠㅠㅠㅠㅠ제가 미국을 갖다 욌는데 takis와 매운 치토스가 너무 맛있어서 혹시 드셔주실 수 있나요ㅠㅠㅠ??,28개,2020. 5. 7.
JeniferEsmenda,who never tried this before  😋😋😋 it looks sooooooo delicous help meeeeeeeeeeeeeeeeeeeeeeee i want them😭😭,2개,2020. 5. 7.
PrincetonPlummer,"MINEE EATS: MADE THEM MYSELF
ME: WHAT HAVE I DONE!? BURNED THE HOUSE DOWN",7개,2020. 5. 7.
다주이면,"면을 수제로 만드셧다는 건 아닐테고 ... ㅎㅎ 소스 만든거죵 ,,,??",19개,2020. 5. 7.
SevgiYusibova,Hi Minee❤ a lot of kisses from Azerbaijan❤i love u so much❤,3개,2020. 5. 7.
SummerCold,This looks so interesting!,1개,2020. 5. 7.
LydiaAssan,Can't wait to see mini MINEE😍❤️,22개,2020. 5. 7.
문유경,0:57 eating start!,17개,2020. 5. 7.
ItsMitha,"Minee: I MADE IT MYSELF
Me:uhh,of course.What food that you can't make?",12개,2020. 5. 7.
김수민,"차가운데 불어먹는거 볼때마다 너무 공감해요ㅋㅋㅋㅋ
오늘도 즐거운하루되셔요😆❤!!!!",4개,2020. 5. 7.
MariaRahman,Omg this is my first time to be early!!!!!!!!💖💖💖💖,2개,2020. 5. 7.
송송,내가 진짜 미니님 영상에 악플다는 놈들 쥭여버린다,18개,2020. 5. 7.
Sam,Uh since I never heard of them.. I guess I never tried them then so no LOL,15개,2020. 5. 7.
EnyuZeeMukbang,"Those sure are some big bites, soba look so yummy! 🤤🙏",2개,2020. 5. 7.
UrkaNemec,Hello Minnie Kim!like mum baby will be gurmet Hope everything will turning up ok ❤ ❤ ❤ ❤ ❤ from Slovenia,1개,2020. 5. 7.
,한인마트 진짜 한번 가보고 싶닼ㅋ,8개,2020. 5. 7.
MahrukhSohailMalik,"0:26 the noodles are not stuck, according to minee they're sutck 🤣",23개,2020. 5. 7.
EatwithMohsin,"What A Delicious Noodles 🤤
Look Soo Good 😋
Love Your Videos ❤️😍",2개,2020. 5. 7.
KeiraHome,"0:58 start eating
9:30 question of the day! 🙃",8개,2020. 5. 7.
ZaneDita,I see notification I click ❤️,2개,2020. 5. 7.
세은,우오ㅏ 진짜 맛있겠다 ㅋㅋ,3개,2020. 5. 7.
밥해누Bobhaenu,0:58 Start eating ❤️,5개,2020. 5. 7.
WoveeFemeHaya,"4 views
49 likes 
17 comments


Youtube is drunk again",39개,2020. 5. 7.
책읽어주는유니,"빨리와따
진짜 음식넘 잘만드세용!!",3개,2020. 5. 7.
권이설,저 메밀국수 최애음식이라 요즘 계속 먹고 싶은데 미니님 영상보고 대리만족 했습니다요,1개,2020. 5. 7.
청월,미니잇님 불어먹는거 너무 귀엽자나요ㅜㅜㅜ,1개,2020. 5. 7.
나비nabisvlog,"0:57 start
요즘 진짜 더워서 시원한거 땡기는데
아...내일 점심 메밀국수 ㅠㅠㅠㅠ",2개,2020. 5. 7.
taehyungie3,so are there 20 ppl that have watched it first?,2개,2020. 5. 7.
네닉넴봤지,흐어.....ㅠㅜ...이거 보니까 메밀국수가 급땡겨요....ㅠㅠㅠㅠ,1개,2020. 5. 7.
mschery98,"Love your content ❤️🙏, have to ask, I have noticed that you always wear white in your videos, any reason?",0개,2020. 5. 7.
티엘,제가 진짜 조아한는 음식중 하난데ㅠㅠ 진짜 맛있어 보여요,1개,2020. 5. 7.
뜽희다,그 맛과 시원함이 여기까지 느껴지는것같아요❤,1개,2020. 5. 7.
NighterWolfie,The thumbnail made me think that it was soba and then i thought of todoroki.. 😂,9개,2020. 5. 7.
또뽂이,입만 봐도 진짜 이뿌시다ㅜㅜㅜ,3개,2020. 5. 7.
FIRSTARMY,0:58 start eting ....yummy 😍,0개,2020. 5. 7.
움쪽,허어엉 미니님 면요리 너무너무 조와요... 근데 그와중에 불어먹으시는 거 너무 귀여우신ㅋㅋㅋㅋㅋㅋㅋㅠㅠㅠ,1개,2020. 5. 7.
깜찍한예린이,언니 아기 출산하면 아기 너무너무 행복할것 같아요♡ 저도이런 손재주많은 엄마가 있었으면 좋겠네염,2개,2020. 5. 7.
toxischesblut,2nd day of requesting to eat oven baked potatoes with sour cream🙏,1개,2020. 5. 7.
곽두팔,와 일찍왔다 ㅠㅠㅠ미니님 ㅜㅠㅠ저의 다이어트를 도와주셔서 감사합둥 ㅜㅠ,1개,2020. 5. 7.
flagmidnight,そば美味しそう！🧡,1개,2020. 5. 7.
상추싸미너무나달아,"와아.. 소리는 물론 겁나 맛있어보인다...
사실 메밀 싫어하는데 괜히 맛있어 보이는..ㅋ
침넘어간다♡ 그리고 한국인 소온!!~",11개,2020. 5. 7.
코3코,나 너무 늦게왔당...ㅠ😭😭😭,1개,2020. 5. 7.
우마UMAASMR,0:58 start eating 🍴♥️,0개,2020. 5. 7.
주미,면 영상은 무조건 미니님,1개,2020. 5. 7.
름가,님들아 17 초 전에 올렸는데 맛있게 먹는걸 보는게 당연한거냐,3개,2020. 5. 7.
센스,진짜...못하는게뭡니까ㅠ못하는거 똥이죠?,1개,2020. 5. 7.
ABIDALI,"Minee eats I want you post a video when your cute baby comes
I want to see him/her

I know she/he will be cute as you are I don't know about the dad
I think Dad is also cute
Isn't it? 😄😄",16개,2020. 5. 7.
ProfessorASMR,"That is some good Mukbang! Thank you for the tingles, Minee!",1개,2020. 5. 7.
YukiSaito,style of eating Soba is sipping noodles and feeling delicious in our throat👍️👄🥢✨,0개,2020. 5. 7.
장미자,언니 하아~하면서 먹는거 너무 귀여웡><,0개,2020. 5. 7.
카드값줘체리,헝 미니님이 드시는 건 항상 먹고싶어지네오 😭❤️,0개,2020. 5. 7.
xXKayVibezzxX,Omgg ur so pretty hows ur baby doing btw luvv uuu ur doing great,2개,2020. 5. 7.
BintangBintang,I'm waiting for the birth of your little iron man🤗,2개,2020. 5. 7.
입벌려음식들어간다,0:58 Start eating,16개,2020. 5. 7.
