,youtube_id,comment,like_num
0,문복희EatwithBoki,"자막은 설정에서 활성화 해주세요 💗

안녕하세요 복희예요 🥰
오늘은 유튜브 시작한지 1주년을 기념하기 위해 푸짐한 한 상을 차려봤습니당 🎉✨
잡채랑 미역국은 만들었고 고추잡채도 같이 먹고싶어서 주문했어용 
La갈비 양념에 자장자장 잘 재워뒀다가 구워먹으니까 완조니 부드럽고 단짠단짠한게 너무 맛있었어요 🤭
미역국은 직접 만드니까 소고기도 듬뿍듬뿍 마음대로 넣어서 소고기반 미역반으로 ^^
잡채랑 고추잡채랑 같이 먹어도 너무 맛있고 겉절이김치 하나 얹어 먹으니 꾸르맛!👍🏻
먹으면서 너무너무 행복했고 이자리에 있게 해준 복덩희들에게 더 감사한 시간이었습니당 😘
항상 사랑과 응원 감사합니당 🙏🏻💕

Hello everyone ! This is Boki 🥰
Today, I brought a generous table to celebrate the first year of YouTube.
I made japchae and seaweed soup and ordered red pepper japchae !
La Galbi was very soft and delicious because it was marinated well and then grilled.
The soup was made by myself, so I could put a lot of meat in it 🙃
I was so happy while eating and it was a time to thank the fans 🙏🏻
Enjoy your meal too 💕

🍎복희 daily instagram🍎 @_luvmun
🍒Mukbang instagram🍒 @eatwithboki",12개
1,,"Лайк, кто залипает на ASMR во время карантина",7개
2,은은,진짜 왜 인기많은지 알겠다.. 계속 조회수 잘 나오는것도 많이 좋아해주는지도 이유를 알겠음 ㅠㅠ 항상 음식이 뻔하지가 않고 보통 1주년하면 뭐 먹고싶은 음식 모여라나 조회수 제일 잘 나왔던거 아님 케이큰데 역시 울 복희언니 누가봐도 잔칫상.... 대박이에요 언니 사랑해 롱런해줘요 😍😍😍,244개
3,배고픈쮸,문복희님인성이 한눈에보이는게 다른분들은 인기많아지면 광고엄청늘리는데 복희님은 유지하거나 더 줄어드는것같아요 보는데방해도안되고 너무잘먹고 예쁘고 안좋아할수가없어요ㅠㅠ오늘도감사합니다,229개
4,달보드레,메뉴선정 미쳤음 그냥...저 조합이면 밥 두공기 뚝딱일 듯,169개
5,루니,와 보통 1주년이면 백타 케이크인데 보키님은 역시 남다르다 토종 한국인이시네 누가봐도 한국인 잔치상,824개
6,Sabrina,"While Boki is going to finish most of her platter, I'm still struggling with my 8th Har Gow and untouched Ramen.",28개
7,이하,"와,,,, 진짜 나도 한국 사람인가보다 ,, 면도 물론 맛잇어 보이지만 .. 밥이랑 잡채 ... 고추잡채랑 오이소박이 왜케 맛잇어보이냐 ,,, 후 하후하ㅜ",164개
8,weloveu,"저 토종 한국인 입맛이라 이런 음식들만 보면 침 줄줄..... 진짜 먹구싶다 넘 맛있게 먹는답..... 
1주년 축하해요!!!!!! 더 승승장구해서 올라가요💖❤💖❤💖",246개
9,JaninePillay,I normally cannot stand when mukbangers stuff their faces but she's so neat and tidy! How does she do that...  her mouth is like Mary Poppins purse.,433개
