,youtube_id,comment,like_num
0,다또아Daddoa,"다또아 인스타: www.instgram.com/daddoa

안녕하세요 다또아입니다 :)

오늘은 저번에 유튜브에서 라이브를 했던 박서준, 강소라씨와의 라이브 방송
그 날의 브이로그를 들고왔어요!
사실상 이틀전에 이 일정이 픽스가 된거라 정말 정신도 없고 바빴는데
정말 이 날 라이브 직전까지 반전의 반전이 있었던...ㅋㅋㅋㅋㅋ
정말 혼이 쏙 - 빠져나가는 하루였답니다..엉엉..ㅋㅋㅋㅋ

(요 간단한 브이로그가 좀 컨펌을 받느라 오래걸렸는데요. 
원래 정말 더 많~~은 비하인드 클립이 있었지만 이정도는 담아도 되겠다.
아니. 담아야겠다 싶어서 딱 이정도로 줄이고 줄여서 담았어요!
정말 컨텐츠 크리에이터로써 화가 안났다면 거짓말이지만..
결과적으로 라이브도 잘 마무리하고 주최한 대행사측이랑도 잘 마무리했어요!)

아무튼 이 날의 뒷이야기는 이러했습니다!
나 자신 수고해써...!! 화이팅하자 앞으로도..!!

일단 내일 하루 쉬고, 그동안 어떻게 살았어요 편집 드뎌 마무리 작업 들어갑니다아 - 
힘주세요 힘 !! ㅎㅎㅎ",40개
1,담담,유명한 사람인 만큼 입조심 말조심 해야하는게 맞는거임 그냥 친구랑 얘기할때는 상대 이름에 존칭 안쓰지만 보는 눈이 많은 인터넷 이기에 써야하는거임,87개
2,달빛,또아님 영향력있는 유투버이시고 많은 분들이 보는 영상인 만큼 제목에 박서준 강소라’님’ 과 같은 존칭표현을 붙여주시는 게 더 보기 좋지않을까요 ☺️ 강소라와의 방송은 조금🤣..실제로  두 분 연예인께서 또아님보다 연장자이시기도 하니까요! 그나저나 봉사도 하시구 몸도 마음도 이전에 비해 많이 건강해지신 것 같아서 다행이에요🌸,303개
3,이동주,"음.. ""박서준 강소라와의"" 보다는 뒤에 ""배우"" 라던가 ""님""이라는 호칭 하나만 덧붙이셨음 좋겠어요

다또아님보다 영상, 나이 면에서 모두 선배이기 때문에 존칭을 사용하시는게 더 격식있어보이네요 ㅎㅎ",151개
4,미유,약속안지키는거 진짜..말이라도 하지마시던가ㅠㅠ,63개
5,쿠쿠루씨,다또아한테 다또아랑얘기나눠볼게요라고초면인사람이말하면좋으려나?? 보통또아님이라고하지 약간부족한티가이런거에서그러나는듯해요,100개
6,지니,으ㅜ와 역시 연예인은 다르구나,14개
7,송채연,진짜모야 제대로 준비해주지도 않고 화가난다..!!! 언니 수고하셨어요ㅠ,7개
8,서노SEONO,꺄악 또아 온니 영상만을 기다리는 중이였는데 업로드라닝🥰❤️❤️❤️❤️,4개
9,Ebitnara,헐ㄷ... 언니 진찌 부러워요ㅠㅠㅠ,0개
10,안예린,1빠에용 언니 오랫만이에용 ❤️🥰❤️,0개
11,RachelA,I love the vlog. I'd love to see more. ❤️,0개
12,영이,와... 지나가다 눌렀는데 강소라씨 대..존예........,4개
13,킴쩡,라이브 하실때 응원 열심히 했는데 기억하실런지ㅎㅎ 오랜만에 큰 행사 참여하신 모습보니 괜히 뿌듯하고 저까지 긴장되고 그랬어요ㅎ 셀카봉으로 하시는 모습도 멋있었습니당ㅎㅎ 비하인드보니 정말 정신없이 바쁘셨네요ㅠ 무튼  앞으로도 긍정파워 뿜뿜 다또아님 응원할께요🙂👏👏,0개
14,3101강민서,인간극장ㅠㅜㅠㅜㅠㅠ 귀여워요ㅠㅠ,0개
15,aPeAcH,언니 너무 예뻐요ㅠㅠ❤️❤️,0개
16,레이튼교수저니,예뻐영❤️,0개
17,SksweDayd,화가많이나셨나봐요 ;;;,14개
18,MathildeNOBIS,"Wow Daddoa! What an opportunity, I hope you now find a purpose to your life and genuine real happiness. We all deserve it and you deserve it too.
I hope you're happy to be alive in the best gift we have: our body.
Take care of yourself, it's a precious thing.
🙏❤️😌",9개
19,tiffanyluvsj,Hellooo!!! can you do a summer makeup tutorial for long lasting makeup?,1개
20,세정,우런니 인싸야 .....❤️ 언니 젤최고,0개
21,SharonSuni,OMG i Love you ❤✨,2개
22,윤유진,고생많았어요ㅜㅜ💕,0개
23,PutriDewa,OMG...Kang SoRa eoniii,0개
24,뀨뀨뀨,메이크업 영상은 언제 올라오아염 ㅠㅅㅠ,0개
25,김미진,백만유튜버인신데 좋아요 수가 급격히 작네요.. 3일된 영상인데 왜징?,13개
26,황지,라이브로 봤었는데 이런과정이 있었군요ㅎㅎ 항상 노력하는 모습이 넘넘 예뽀요👍🏼 수고하셨슴당❣️❣️,2개
27,전서한,여기 가르치려고하는 애들 왤케 많아 에휴,2개
28,푸링쓰,와 너무 멋져용...!,0개
29,김설애,또아 언니 고생했어용 늘 사랑해...!!!o((*^▽^*))o,1개
30,KyuEunPark,어렵게한 라방였군요 ㅠㅠ 셀카봉으로 해서 왜일까 싶었는데.. 이런 사연이 >_< 그래도 그때 안 떨고 진짜 잘하셨어요👍🏻,5개
31,RachelJung,화이팅!!,0개
32,배고파,또아 언니 라이브로 열심히 응원하면서 봤는데 너무 잘하셔서 깜짝놀랐어요..영상 뒷이야기 잘볼게여 수고하셨어요❤️,0개
33,김지연,깜짝업로드!!!!!!핾복❤️❤️,0개
34,EJJung,그래도 그날 스밍 방송 잘 뽑혀서 다행이예용 ~~!,0개
35,nadehzdapechen,https://www.utest.com/signup/personal?utm_campaign=south-korea&utm_medium=landing_page&utm_source=referral&referral_tester_id=243404,0개
36,김서연,자주 업로드해주세용 보고시포용💜❤️,0개
37,JessicaOlivares,Me encanta mirar tus vídeos😊💜📷,0개
38,김미숙,와우 당혹과 다급의 폭풍 속에서 어찌 저찌 잘 넘기셨군요 이것이 프로인가 봅니다.👏🏻,0개
39,강채은,스트리밍람서 공지 해놓고 폰?? 하고 띠용했는데 이런 비하인드가 있었네요 ㅠㅠ 수고많으셨어요!,0개
40,shoshotv,💟💟💟💟💞💞💞💝💝💝,1개
41,이혜,진짜 그래도다행이네요❤ 행사 잘 마무리한것같아서 좋구요 오늘도 잘보고 가고 좋은 하루되세요❤,0개
42,진또블링,또아 악플같은거 신경쓰지말구 늘하던대로만 해주세요 또아가힘드로하면 저두 너므슬퍼욤 충분히예쁘니까 항상힘내욤 응원할께요💓,3개
43,이년은이런걸좋아해,아니 니들은 좋아하는 연예인이나 아이돌한테 뭐뭐님 거리냐? ㅋㅋ 웃겨 한 사람이 그러니까 그 글 보고 다 달려 들어서 물타기 하니까 재밌냐,22개
44,myhamy,I love you from VietNam,3개
45,qwerasdf,"친구도 아니고 강소라, 박서준와의...? 댓글 피드백은 하나도 안보시는건지, 아니시면 보고도 모르는척 하시는건지... 왜 채널이 이렇게까지 됐는지 잘 알겠네요... 구독 취소하고 갑니다...",37개
46,서연SeoYeon,시부랄 한국에서 유투버나 연예인 하면안됨ㅋ 뭐 좀만 잘못되면  적당한 비판은 필요  뭐 어쩌고 하면서 욕만 전나 해댐,8개
47,선선,지적질들 오지네 .. 본인들은 얼마나 예의 범절 잘 지키길래.. 즉당히들해라,6개
