닉네임,댓글,좋아요수,날짜
ITSub잇섭,"하.. 언제 오타 안내지 ㅠㅠ
00:51 - 2000년이 아니라 2009년 입니다... ㅠㅠ",768개,2020. 6. 1.
motti,"당시에 프라다폰 썼는데 진짜 디자인은 갑오브 갑이었습니다. 지금봐도 촌스럽지않고 예쁘네요. 이후의 G2도 정말 잘만든 폰이었는데..
저 다운받아서 컬러로 보이는 앱들도 설정으로 흑백으로 바꿀 수 있습니다. 다만 원래 앱의 디자인이 아니라 내장 기본디자인 중 택해서 바꿔야하죠. 가령 카톡은 말풍선 모양으로 바꾼다던지 등이요.",21개,2020. 6. 1.
daradarasan,시대를 앞서 갔는데... 링크보면 지금도 가지고 싶어,19개,2020. 6. 1.
최성일,10년전 제품를 사고싶게 만드는 잇섭의 초능력!ㅎㅎㅎ,57개,2020. 6. 1.
문선동,13:28김칰ㅋㅋㅋ좀ㅋㅋㅋㅋ줄ㅋ랰ㅋㅋㅋㅋㅋㅋㅋ,42개,2020. 6. 1.
촌놈,"잇섭형 영상보면서 느끼는건데 영상비율이 난 너무 좋아
노트10 쓰는데 다른 영상들은 풀화면으로보면 짤리는 부분이 많은데 형 영상은 거의 없다시피해서 너무 좋아ㅎㅎ",15개,2020. 6. 1.
동수,1:23 시리야 가만히있어...,64개,2020. 6. 1.
김태원,""" Life was good """,49개,2020. 6. 1.
딸기토끼,엘지폰 참 응원했는데 벨벳 소프트웨어 상태 보고 더이상 쉴드 치기조차 지쳐버린.. 엘지는 윗물을 싹 갈아야되는데 전혀 안될거 같네요 정말 아쉬워요,17개,2020. 6. 1.
JaydenLee,김치좀줄래 ㅋㅋㅋㅋㅋ 잇섭님 잘보고갑니다,8개,2020. 6. 1.
코목,"우리집 완전 고물 창고인데ㅋㅋㅋ
옵티머스 lte 2랑 베가 시크릿2, 갤럭시노트2 등등...",13개,2020. 6. 1.
JobChun,"저도 휴대폰은 삼성보다는 엘지가 더 맘에 들더라구요. 카메라라든지 특히 사운드에 관해서는 많이 신경을 쓰는 것 같습니다. 
다시 라는 표현은 그렇지만 언젠가는 진짜로 삼성과 대응한 대한민국 브랜드로 우뚝섰으면 합니다.",6개,2020. 6. 1.
람람,20살때 쓴폰이라 아직까지 집에 고이모셔뒀죠ㅋㅋㅋㅋ너무이뻐서 버릴수가없는 폰ㅠㅠ,11개,2020. 6. 1.
