,youtube_id,comment,like_num
0,헤이즐Heizle,제 인스타그램 @heizlemakeup 에서 #AHC 클렌징 4종 셋트 이벤트 하고있져용❤️ 영상보구 이벤트 참여하러 고고띵 하긔~!!😘👍,118개
1,꾸깡,에센스 케어 클렌징 오일 통자체도 너무 예쁘게 생겼네요ㅠ 파랑파랑한게 바다같아요💙 화이트헤드랑 블랙헤드가 늘 고민인데 궁금하네용💙 근데 언니 어떻게 생얼도 이뻐 미쳐 진짜루🙆‍♀️ㅋㅋㅋ인체 신비에 놀라는 언니 존귀탱🙆‍♀️ 아무것도 안산다던 언니 공항점퍼 느낌의 옷이 왜이리 잘어울려요☺️ 끌로에 가방 셋 중엔 레드계열이였던게 더 잘어울리는것같아요❣ 하늘도 파랗고 보는 제가 더 기분이 좋네용💙 이빨도 신나게 닦는 언니🦷 가방 뽕실뽕실해서 귀여워용 확실히 매장도 핑크핑크해서 더 귀여워보이는것같은느낌?🤔 보테카백이 저렇게 크다닠ㅋㅋㅋㅋ샌들 구두는 파랑보다 골드가 이쁘다 생각했는데 역시 골드💛 오늘도 재밌게 봤습니당❣,26개
2,EnoStay,"Love you Heizle ! I was so happy when I heard about you coming to France unfortunately I don’t live in Paris I live in the north of France. I want to thank you because I’m currently learning Korean and you’re really helping me. Hope to see you one day ❤️🇫🇷

French :
Je t’aime heizle ! J’étais si contente quand j’ai appris que tu venais en France malheureusement je ne vis pas à Paris je vis dans le nord de la france. Je veux te remercier car je suis actuellement entrain d’apprendre le coréen et tu m’aides beaucoup j’espère te rencontrer un jour ❤️🇫🇷",3개
3,CocoShihTzu,♥️♥️♥️ Love ♥️♥️♥️😘😘😘🥰🥰🥰😍😍😍❣️❣️❣️❣️❣️,7개
4,EstelleChae,"언니가 쇼핑하는거 보면서 대리만족,,넘나 재밌어 그냥 헤이즐 존재 자체가 재밌어ㅠㅠㅠ",80개
5,N드리미즌,언니 추천제품은 믿고 쓰는거라..대박이예용! 제가 요즘 많이. 고민되는 부분이 얼굴에 트러블이 생겨 스트레스를 받고있는데..언니 처럼 깨끗한피부를 위해 관리가 필요한 참인데...헤이즐 언니의 AHC 오일이 너무 신박한거 같아..저도사용해보고 싶은 욕구가 올라와용♡♡언니의 영상은 보는것만으로도 행복하고 재미있으니.앞으로도 기대할께용,6개
6,김경회,지금바로 이벤트 참여하러 고고띵💝,6개
7,로즈즐넛,하 언니 진짜 사랑해요,5개
8,나은NAEUN,너무 예뻐 이건 진짜다,17개
9,까꿍,썸네일ㅋㅋㅋㅋㅋ 잔망 터지네욤ㅋㅋㅋㅋㅋ,5개
10,쑈니,언니 사랑해,3개
11,헤이즐Heizle,English subtitles are complete!👍😍❤️,57개
12,돼지수그네,"17:48 에 헤이즐님 ""트롸이?"" 넘흐 멋진 것 같아요. (반함)",15개
13,하양하양,언니 너무이뻐요💖💖 완전 제 롤모델💗💗,4개
14,온수현,"와 크루분들이랑 언박싱하실 영상 벌써부터 기대됨 안그래도 헤이즐님 영상 중 속시원하게 볼 수 있어서 좋아하는게 쇼핑, 언박싱? 하울? 영상인데 예고만 봐도 텐션 엄청날 것 같네요ㅋㅋㅋ솔직히 명품 중에 이해안되는 디자인 몇몇개 있긴 했는데 보테가 저 커다란 건 진짜 쌀 생각나잖앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",25개
15,지니몬,꺄아 소리질러 빠리삐플~!~! 헤이즐 쏴아리 질러 좐멋 좐예,4개
16,워너블,...........사랑합니다♥,2개
17,,진짜 멋쪄 개셀럽같아여 언니,3개
18,김유진,언니 진짜 생얼 너무 예뽀ㅠㅠㅠ 저런 스타일 완전 내스타일😭😭❤️❤️❤️❤️,4개
19,강이슬,몸 조심해유 언니 😊,3개
20,농안,너~~~ 무 예쁘자나~~!!!,4개
21,민채,7:58 진짜 굴욕없는 줌인 .......,7개
22,조련타,진짜 예쁨울언니,3개
23,담소05,이번영상 화질 짱좋아요 !!!,2개
24,김연탄tani,파리라니ㅠㅠ저도 넘 가보고싶네요,4개
25,Jennvely,The editing😍,1개
26,진채원,일등이닷,2개
27,담소05,너무좋아 ㅠㅠㅠㅠ🤭,2개
28,러비,온니 사랑해ㅠㅠ,3개
29,모모링,하.. 진짜 여왕님 브이로그 찐맛집,3개
30,김호연,세안하고 나서 언니 기분 엄청 좋아보여요ㅋㅋㅋㅋㅋㅋ,3개
31,김지연,언니 진짜 너무 귀엽다구여♡♡,4개
32,,"언니 진짜 얼굴 살 많이 빠지셨네요ㅠㅠ 지금도 말랐으니 맛있는거 많이 드세요❣️ 오늘도 눈호강,대리만족 할려고 언니 영상 튼 사람 🙋🏻‍♀️ 벌써 구독한지 3년 다되어가는데 넘 좋아해여,,",4개
33,태연taeyeon,아 진짜 눈화장 안 해도 이쁘셔요ㅠ❤️❤️,8개
34,Liiim,앜ㅋㅋㅋ언니 왤케 귀여워윸ㅋㅋㅋ,2개
35,sc,언니는 진짜 모든 옷과 컬러를 다 소화하네요ㅠ진짜 이뿨❤,3개
