닉네임,댓글,좋아요수,날짜
피지컬갤러리,"재활맨 구독↓↓
https://www.youtube.com/channel/UCqXfFLZj4mt3QWqzEPcUIrg",91개,2020. 6. 1.
Christinesung,Saw you on latest running man episode!  You were really into your role and scary!!  Thank you for entertaining us on Running man!  :),5개,2020. 6. 1.
제이슨lee,공중파까지 나가고 런닝맨나온거보고 놀랫자나여ㅎㅎㅎ,187개,2020. 6. 1.
랑이,런닝맨 허수아비 김계란쒸... ㅋㅋㅋ 역시나 피지컬 몬스터에요 ㄷㄷ,201개,2020. 6. 1.
Arcturus,'벤치프레스 중량도 떨어질 수 있고' 에서 기겁했습니다 ㄷㄷㄷ,81개,2020. 6. 1.
RhC,"빡쌤 공중파 입성 축하합니다!
근데 탐님 가면이 넘 완벽해서 소오름..",124개,2020. 6. 1.
김민규,계란님 런닝맨 나온거 보고 엄청 놀랐어요!! 잘봤어요~~,159개,2020. 6. 1.
수학정석,댓글이 ㅋㅋ 승모근 얘긴 없고 ㅋㅋㅋ 다 런닝맨 얘기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,52개,2020. 6. 1.
짱수영,"김종국왈,가장신뢰하는운동채널,계란님이 자랑스럽네,내가선택한 피지컬갤러리,어깨마사지도 짱",56개,2020. 6. 1.
JJYongari,"후라이누나 ㅋㅋㅋ 여우주연상 탈듯~
탐과후라이 너무 웃겨요!!!",11개,2020. 6. 1.
김도현,2:18 승모근 마사지를 해야하는 이유,4개,2020. 6. 1.
덤벨요정망키쉽게운동하자,"일상생활 속 몇분이 건강을 바꾼다!
피지컬 갤러리",3개,2020. 6. 1.
NeverendingOng,Running man brought me here.,2개,2020. 6. 1.
FCBAYERNMNCHENFAN,공중파 출연 ㅊㅊ,8개,2020. 6. 1.
bobkim,1:40 조상님이 들어줘서 바로 눌러도 느낌이 없는 사람은 어쪄죠? 20키로 더 올려야 하나요?,2개,2020. 6. 1.
YUSSVI유쓰비,ㄹㅇ뒷골 땡겼는데 때마침 딱 이런 영상이 🙏🙏🙏,9개,2020. 6. 1.
최민준,“I love you kim egg”,1개,2020. 6. 1.
고려왕손,‘경 사나이 UDT 빡빡이 아저씨 공중파 입성 축’,2개,2020. 6. 1.
곰곰,형 처음에 말해준 승모근 마사지 하니까 한쪽은 아프다ㅠㅠ 거북목이 심한 사람은 아픈데 정상인가여ㅠㅠ,1개,2020. 6. 1.
