,youtube_id,comment,like_num
0,고기,대표님 피곤하신가봄 입술 물집..ㅠㅠ 쉬엄쉬엄하세욧 오래보고싶다구욧!,151개
1,조미수,"한국은 언제 식품유통 개혁이 될까요 ㅠㅠ 저희 동넨 여전히 금고구마 입니다. 농민들이라도 돈을 많이 버는 거면 억울하지라도 않지,, 옆동네 이마트를 가야할까요?",68개
2,도토리딱밤,7:11 피곤해서 입술 주위 허신거 봐 스케쥴이 좀 많아야지;,138개
3,쿵쿵따,슨생님 곧 여름인데 시원한 물김치 담는 법 알려주세요 예전에 여섯시 내고향인지 어디서 봤는데 복숭아를 깍뚝 썰어서 같이 넣어서 담더라구요 정말 궁금하고 배우고 싶은데 알려주세요👉👈,118개
4,현경,만남의광장 보고 바로 만들어서 먹어봤는데 정말 별미고 대박입니다..꼭 드셔보세요~!!무생채보다 고구마생채가 좋아진 1인입니다ㅋㅋㅋ,10개
5,akaHellcat,"백대표님, 건강 챙기십쇼... 입술 보니 많이 피곤하신 것 같습니다.",58개
6,쑤이,고구마가 싸다던데 왜 내 눈에는 비싼가격밖에 안보이나 나만 흑우인가,59개
7,shigabobin,Damn I wish I could find that handsome Korean style goguma here! The korean ones we get are always very bruised and not very nice.,3개
8,AdamKoyuncu,I love your cooking show!! Much love from the UK!!!,6개
9,대관령TVKoreaTripSounds,"오늘은 정말 별식이네요~ 고구마생채비빔밥이라니. 
근데 생각만해도 아삭아삭, 달콤새콤 맛있을 것 같아요. 
오늘도 좋은 아이디어 고맙습니다. 😁👍👍",7개
10,숟가락언니,고구마생채는  흔한재료인데 해보지 않았는데  맛이 궁금합니다ㆍ백쌤이 추천하면  접수 해야죵,78개
11,술안주,"맛남의광장에서 대왕고구마 450톤 
보신분들은 알겠지만 인맥통해서 고구마농가
유통뚫어주고 레시피까지 만들어서 
소비촉진 시키고 진짜 백대표님 존경합니다!",136개
12,한덩치,짜다면 ㅋㅋㅋㅋ밥많이먹으래..ㅋㅋㅋㅋㅋ역시 현실적이고 현명한 ㅋㅋㅋㅋ백선생님,10개
13,호츠TV아이들의행복을위한,"코로나로, 힘들어진 농가 위해서, 고구마 판매를 위해 하신 일화를 들었어요. 농업에 종사하진 않지만 배려 감사드려요 ^^ 참 따듯하신 분",8개
14,Konbbang건빵,해외 거주 중이라 액젓 어쩌지 했는데 피시소스 쓰면 된다고 챙겨주는 센스 😆,6개
15,아기리트리버의코미디쇼PuppyComedyShow,"처음 제목봤을때 ""고구마로 비빔밥을?""에 더 신박..
영상보니까 더더욱 신박! ㅋㅋ
백주부아조씨 너무 아이디어 기가 막히시는거 아녀유???",60개
16,리얼오리,"대표님 입에 뭐나셨네요ㅠㅠ
항상 모든 방송 늘 재미있게 챙겨보고 있습니당!!
건강이 최우선이세요!!
늘 응원합니다!",37개
17,요리하는방구석백수,백선생님께서 하시는 모든 요리는 다 말이 됍니다 !!!,4개
18,MealDrink밥술한잔,0:43 영상보다 말고 김사올까봐 말더듬...ㅋㅋ,23개
