닉네임,댓글,좋아요수,날짜
은소,순간 썸네일 첨보는사람 있어서 어 난 이런사람 구독한적 없는데..? 했더니 알고보니 커버메이크업이였다,29개,2020. 4. 14.
나토끼,언니는 전생에 메타몽이였을거야..,24개,2020. 4. 14.
뇸뇸뇸,이거 진짜 두아가 봐야해.....,14개,2020. 4. 14.
POOLN,"제목이랑 사진이 두아리파인데 게시자가 사배님이라 들오왔오요...
두아리파 사진 걸어두신줄......?
손이 다이아신거죠???",677개,2020. 4. 14.
나응,언니 자꾸 그런식으로하다간 세계최고밖에 못해요...,437개,2020. 4. 14.
블링크,서양인과 동양인의 얼굴 골격이 너무나도 다른데 이렇게 똑같이 한건 걍 천재 아니냐..언니 알러뷰....❤️,626개,2020. 4. 14.
홍혜린,오늘부터 이사배에 대한 지지 발언을 전언 철회한다. 오늘부터 난 이사배와 한몸이며 이사배에 대한 공격은 나에 대한 공격으로 간주한다.,432개,2020. 4. 14.
닺,비슷한 맥락이겠지만 사배님은 화장뿐만 아니라 인물의 분위기를 잘 표현하시는 것 같아요!! 정말 원 앤 온리 ...,240개,2020. 4. 14.
안소윤,"흐어,!?!?!?!와 언니 화장을 해야지 마법을 부리면 어떡해?",425개,2020. 4. 14.
민주,동서양을 가로지르는 그녀...,177개,2020. 4. 14.
서린,역시..다이아몬드 손이라 쓰고 이사배라 읽는다,268개,2020. 4. 14.
수민,와 두아리파 언니 메이크업 실력도 좋으시네; 뷰티유튜버 하셔도 되게 잘 하실 것 같아요!,121개,2020. 4. 14.
와이케이,이사배 이사아배 이아사배 디아사패 두아라패 두아리파,227개,2020. 4. 14.
lotus00,"인스타에서 보고 ""난 분명 두아리파 팔로우 한 적이 없는데..?"" 하고 보니까 언니더라고요🤦🏻‍♀️🤦🏻‍♀️❤",147개,2020. 4. 14.
당근쥬스토마토케챱,2:05 2:27 띵땅똥땅에 맞춰서 화면 바뀌는 디테일..;;,76개,2020. 4. 14.
한은,"2:25 눈썹 그리니까 갑자기 두아리파로 확 바뀌는거 넘 신기,,",83개,2020. 4. 14.
XLOSS,진짜 뭐야..이쯤되면 언니는 매 커버메이크업때마다 얼굴을 갈아끼우시는게 분명해,103개,2020. 4. 14.
주주,와 ㅋㅋㅋㅋㅋㅋㅋㅋ 썸네일 개오반대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 너무 똑같아요,54개,2020. 4. 14.
야채고기,너무 이쁘다 진짜 어떻게 저렇게  똑같게 할 수 있는거지 금선을 넘어 다이아 손인걸 다시 한번 깨달았어요ㅠㅠㅠ,65개,2020. 4. 14.
이율아트LeeyullArt,"사배님 진짜 너무나 대단하신 것이 이번 썸네일에 사배님의 얼굴이 1도 없어서 너무 깜짝 놀랐어요. 
너무 신기하고 아름다워요 😍",111개,2020. 4. 14.
CelynBautista,"Eyy, she snatched that look! Risabae in tan look🔥",8개,2020. 4. 14.
BrandNew,사배언니에게 한계는없구나......진짜 썸넬 골져스 그자체🌞,52개,2020. 4. 14.
,눈화장 잘 어울리는게 ㄹㅇ 신기하다 ㄷㄷ,16개,2020. 4. 14.
lunarsvrant,THIS LOOK IS BOMB!! You need more recognition 😭 admire you and your works! ❤️ 👏🏻,14개,2020. 4. 14.
AllyshiaTran,i literally thought it was dua lipa in the thumbnail omg you're so talented risabae,37개,2020. 4. 14.
벨리곰,"두아 언니 커버 메이크업이라니..!!! 사랑해 갓사배 언니❣
이번에 컴백한 여자아이들이 oh my god이라는 곡을 올화이트 컨셉으로 한 무대가 있는 데, 미연님 메이크업 사배님 버전으로 보고 싶어요! 요청합니다!!",18개,2020. 4. 14.
울적한밤,와 이사배님은 뭔 카멜레온이여 대박 ㅠㅠ 뭐든 다 소화해 ㅠ 멋있어요 진짜,44개,2020. 4. 14.
아소일,경의롭다 못해 무서워여ㅜㅜㅜ 언니 호그와트에서 왔죠? 솔직히 말해요,22개,2020. 4. 14.
Yanaxxi,"wow, you’re really really talented, sabae!!! i love you!",2개,2020. 4. 14.
자말리Jamali,썸네일 누구야 뭐야 했는데 사배언니였어!! 이건 역대급 커버메이크업이다!!!,14개,2020. 4. 14.
영원히워너원,ㅋㅋㅋㅋㅋㅋ  썸네일 보고 어 나는 이런 외국인 구독한 적 없는데..? 했더니 역시 갓ㅡ사ㅡ배,13개,2020. 4. 14.
비숑,와 이건 미쳤다 동양인 얼굴에서 서양인 얼굴이 보인다니 ㄷㄷ 메이크업 기술 장난 아니다,7개,2020. 4. 14.
곰수니이,진짜 천의 얼굴ㄷㄷ....😭,6개,2020. 4. 14.
seungmiKim,오 역시!!! 금손 사배님~~~,6개,2020. 4. 14.
하고싶은게많은나이,와 오마이갓 충격 진짜 멋잇는 여자  언니사랑해여,10개,2020. 4. 14.
정은주,언니ㅠㅠㅠㅠ 싱크로율 대박이다 진짜...❤ 신의 손 천의 얼굴 사배언니🙊👍👍🌌❤❤,5개,2020. 4. 14.
EstherLim,노래랑 브러쉬 움직이는 손길의 박자가 탁탁 맞아 떨어져요 ㅋㅋㅋ,4개,2020. 4. 14.
사니,정말 너무 깜짝놀랐어요...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 존똑이다,3개,2020. 4. 14.
LA,OMG!!!! You are soooo talented girl!!!! Love you so much!!!!,6개,2020. 4. 14.
최채연,헐 사배언닌줄 몰랐어... 역시금손ㅠㅠㅠㅠ!!!!,3개,2020. 4. 14.
조이로그JoyLog,와 진짜 금손... 🤩,6개,2020. 4. 14.
사랑해요,역시 만의 얼굴 그녀...리...사...배,7개,2020. 4. 14.
아하,크으으으ㅠㅠㅠ 언니 약간 저승길 타고 올라가면 뚝배기 한 대 갈기면서 너 나쁜 짓 많이 했지 애기? 하고 싱긋 웃어줄 거 같은 대마왕같아아요ㅜㅜㅜㅜ,5개,2020. 4. 14.
무넴찌,레전드레전드ㅠㅠㅠㅠㅠ온니사랑해요ㅠㅠㅠㅠㅠ,5개,2020. 4. 14.
세라,두아리파가 이거 봤으면 좋겠다 ㅠㅠ,3개,2020. 4. 14.
GraceOh,"도대체 사배 언니의 한계는 어디일까요?

~그런건 존재하지 않습니다~",8개,2020. 4. 14.
목화,OMG 두아리파 메이크업이라니 ㅠㅠㅠㅠ,4개,2020. 4. 14.
서영주,와 진짜 예술,2개,2020. 4. 14.
김민아,"언니 진짜 개똑같아요 ㅠㅠ ㅋ ㅋ ㅋ ㅋ첨에
인스타 보고 진짜 놀랬자나요!! ㅠㅠㅠ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ. ㅋ ㅋ ㅠㅠ 역쉬 갓사배❤️❤️",4개,2020. 4. 14.
jinnykim,"와 서양인 메이크업 하니까 눈이 두 배는 커지네..ㄷㄷ
언니 멋져요",3개,2020. 4. 14.
대댕림,순간 두아리파님이 메컵 튜토리얼 올리신 줄 알았어요... 진짜 이사배님은 정말 대단하신 것 같아요,3개,2020. 4. 14.
sugaworld,"헐 ...
썸넬보고 두아리파×이사배 스페셜 콜라보 영상인 줄;;;",2개,2020. 4. 14.
도블리,진짜 갓사배 ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ 거의 커버메이크업 신의손수준 ㅜㅜㅜㅜ 언니 멋잇어여,1개,2020. 4. 14.
JisooKim,진짜 메이크업은 이사배 세글자로 정리가능하다,2개,2020. 4. 14.
한유리,매일아침 언니 손만있으면 세상다가진 기분일거같다....🙏,3개,2020. 4. 14.
조세림,사배님 너무 예뻐요ㅠㅠㅠㅠㅠ,2개,2020. 4. 14.
HarunaMaya,"You're amazing as always! 
btw could someone tell me the name of the song at the beginning? :)",1개,2020. 4. 14.
