,youtube_id,comment,like_num
0,헤이즐Heizle,"지인짜 예쁜것 투성...🦋🦋 앞으로 제 영상엔 항상 요렇게 저의 그림이 등장할꺼랍니당 꺄💙💙 오늘도 영상 재밋게 봐주세용😘🙏 

제품정보는 더보기란에 있습니당!👍",163개
1,KCH126,제발 로즈하 님이랑 전에 하고싶다고 하셨던 가십걸 블레어 메이크업 해주세요!!!!!이거 보니까 더 찰떡일거가타요!!,374개
2,PrincessHachi,"I just loved all outfits, had a lot of spring/summer colors,  I got a lot of Inspiration~💜 Thank you☺️",15개
3,whbunny,so pretty heizle loved the outfits so comfy 😆❤,4개
4,강현아,"언니는 그냥 톤을 무시하고 뭐든 다 너무 잘어울리고 예쁘네요유ㅠㅠㅠㅠㅠㅠㅠ 징짜 언니는,,,,완벼캐요😭🥰✨",49개
5,AAA,울언니 역시 뭘입어도 다 이뿌다 나는 저런옷 살까.. 하다가도 내가 입으면 저런 핏이 안나온다는걸 깨닫고 지갑을 닫지..,7개
6,kangpyo,저 선댓글 후감상 처음이에요... 후하후하.. 진짜 인스타 사진보고 심멎했다가 겨우 살아났는데 썸네일보고 기절했다가 영상보려고 깼어요....❤ 진짜... 미모압살😭💛,10개
7,지슈,공주!!!!!!!! 헤이즐이 공주가 아니면 누가 공주냐!!!!!!!!!!!!!진짜 사랑해!!!!!!!!!공주님 너무 예뻐!!!!!!!!!!!!!!!!!!!!,35개
8,헤이즐Heizle,English subtitles are complete!👍😍❤️,36개
9,XIANC,I honestly want to dress like her but I'm too broke lol,2개
10,SeaWoo,언니 하이틴 데뷔하자 할리우드 가자🙈☺️,18개
11,yena,미쳐따... 인스타에 올린 사진이 하이틴컨셉이였구나 ㅠㅠ 너무 이뻐요!!!! 또 오랜만에 패션 영상이라서 더 좋아요!!😍😍❤,35개
12,또르망구H,"웬만한 패션유튜버들은 싹다 발라버리는 코디 ,, 
진짜 천재 예술ㄹ가 ㅜㅜㅜㅜㅜ💗",17개
13,수아,"흑 ㅜㅜ 존버는 성공한다
하지만 일찍 오는 사람은 모두 파묻히지ㅜㅜ
일찍 오고 싶지만 늦게 오고 싶다ㅜㅜ 언니 사랑해요ㅜㅜ
(이건 뭔 개소릴까)ㅜㅜ",24개
14,FALL7INMANGGAE,언니가 방구석에서 패션쇼를 해도 언니는 그저 빛이기 때문에 방구석이라도무대로보여요ㅠㅠ 😢 테라스가 헤이즐빨을 받네~💖 언니 지인짜 오늘 이뻐여ㅜㅜ🥰 사랑해요오💕,2개
15,민서minseo,"하,, 진짜 언니 당장 하이틴영화 여주로 가자유...소화못하는 옷이없어 진짜 미쳐...ㅠㅠ🥺",8개
16,cherish,하이틴 여주인공 룩이라니ㅠㅠ 전부다 잘어울리시는것 같아용><,5개
17,주은현성,"이렇게 귀엽게 난리법석인
사람은 처음 봤습니다",9개
18,지연,"이즐언니,, 제가 또 하이틴 감성 좋아하는 거 어떻게 알구,,🤭 하 진짜 뭘 입어도 예쁜 언니 애정해요 정말루 사랑합니당💛",13개
19,박지은,하.. 언니 하이틴 쳐돌이인데 비율최고고 얼굴천재이신 이즐언니가 이렇게 입어주시고 영상을 찍어서 남겨주시니..ㅠㅠㅠㅠㅠㅠ 영상도 편집 분위기도 하이틴느낌 터지네요🥺 머리 묶은모습도 존예..💖,15개
20,안되,와... 항상 느끼는거지만 언니 완전 옷코디 너무너무 잘하시는거 아닙니까??? 진짜 언니한테 너무 잘 어울리게 코디 하시는것 같아요 !!! 오늘도 영상 잘 보고가용 !!!!,7개
21,arim아리미,그냥 모델이 완벽😭❤️ 오늘영상도 너무 잘봤습니다!!,2개
22,초코송이,언니 이번 영상 왜이리 탠션이 업되어 있는거죠?ㅋㅋㅋㅋ (너무 좋자녀..♡),5개
23,셉셉,전 언니의 모든 영상을 좋아하지만 특히 패션 영상이 제일 좋은 것 같아요 오랜만에 올려주셔서 고마워요🦋,5개
24,k,이언닌 1004야...💖,3개
25,소딩,미쳤다 언니 어떻게 다 잘어울려오 ㅠㅠ 집에 진짜 언니한테 어울리는 옷들 너무많구요ㅠ 언니 멜빵 입었을때 너무 귀여워요ㅠ 언니사랑해요  이제 전죽을때까지 헤이즐넛이에용ㅠ 내우상 알라뷰ㅠㅠ,2개
26,밥바보,"천상 연예인이네,,, 끼 표정 제스쳐 포징,,, 
옷도 넘넘넘 이쁘구 잘 어울려요💓💓",5개
27,랑이는멍멍이,하이틴영화 좋아하는데 언니 잘꾸미고 예쁜 학교퀸카 여주느낌!!,2개
28,김지희,"언니,, 진짜 다 이쁜데 마지막룩 언니랑 찰떡🦋",2개
