,youtube_id,comment,like_num
0,디렉터파이,"이번 영상 순서입니다.
01:45 ✅민감성 피부용 데일리 기초 케어
02:30 수분+각질 토너
04:29 수분+진정 앰플
06:37 진정+장벽 에센스
08:17 ✅데일리 기능성 화장품
08:51 진정+장벽+잡티 앰플
10:16 쿨링+주름 크림
12:16 탄력+영양 앰플&크림
14:12 미백+수분 마스크
16:27 ✅메이크업 베이스로 좋은 선크림
17:00 톤업 선크림
18:56 피지 조절 선크림
20:07 프라이머 선크림",128개
1,근조영,"생리대 추천해주시면 안될까요? 탐폰도 해주시면 좋구요! 몸에 해롭지않고 친환경적인거 알고싶습니다~ 믿어요 쓰앵님,,",254개
2,포샤TVPortiatheChatterbox,분명 디렉터파이님인데.... 왜 우리 희애언니가보이지... 이태오 개XX.....,116개
3,서이3개월전,"이렇게 광고라도 해주셔야 수익이 가죠오 ..
너무 좋은 정보들만 알려주셔가지고 ㅠㅠ",73개
4,SaraBrognoli,"Everytime I see your new video is like: The beauty bible of the week. ❤
Everyone stay healthy and beauty 🌈❤",8개
5,여행,요즘 쿠팡에서 사는 경우가 많은데 랭킹 높은 제품들 리뷰해주셨으면해요!!,62개
6,LIJU,여성청결제도 한번 해주실수있을까요?,24개
7,혭닝,캬아 디파님 오늘 왤케 예쁘세요 점점 더 어려지시는 것 같아요 ㅠㅠㅠㅠ 앰플엔 센텔카밍샷 앰플 샘플 써보고 저두 좋아서 산 앰플인데!!!!!!!!!!! 진짜좋더라구요 요즘 맨날써요 병풀 화장품 써본 것중에 젤 트러블 효과도 많이 보고 제형자체도 가벼우면서도 촉촉하긴 또 오질라게 촉촉해서 좋았어요❤❤,56개
8,뿅뿅,"디파님 .. 홍조 피부는 뭘 발라야할까요..
제로이드 바르면 효과적일까요?",30개
9,Firzanahsyahirah,cosrx brand review pleasee~~~,1개
10,쏘뿅이,"파이님 인트로보고 갑자기 훅들어와서 빵터졌네요 ㅎㅎ 진짜 요즘 마스크때문에 피부에 자꾸 뭐 나서 걱정했는데 ㅜㅜ 이거보고 기초를 다시 사야겠어용 ☺
오늘도 좋은 영상 감사합니다 ! 💞",2개
11,혜연서,마스크 쓰니 홍조가 올라와서 고민이었는데 열노화에 좋은 수분크림 올라와서 좋아요!,10개
12,징미,기능성은 어쨌든 민감해지는거 항상 생각해야하는구 같고  이틀에한번씩 바르거나 하는식으로 자신의 피부상태를 잘 알고 상황에따라 골라바르는 센스도 있어야 할것같아요 ㅎㅎ,1개
13,eunjungnam,"와우~ 영상 편집과 설명에 곁들여지는 자료들이 아주 완벽에 가깝게 변했네요. 많은 고민과 노력들이 보여서 왠지 모르게 뭉클, 감동을 받았어요. 덕분에 모르는 것에 대해 손쉽게 받아들일 수 있게 되었어요. 감사합니당~^ - ^좀 더 똑똑한 소비로 이어지는 것으로 보답할게요~",1개
14,이재경,"언제나 보고 나면 기분이 좋습니다.
좋은 취지로 시작하셔서 변함없이
꾸준히 해주시니 넘 좋습니다!
마스크로 인해 피부가 넘 안좋아져서
고민하고 있었는데 좋은 제품 알려주셔서
감사해요~^^",5개
