,youtube_id,comment,like_num
0,디렉터파이,"선크림 TOP of TOP 🌞🌞🌞 
00:19 2020 선크림 트렌드
01:14 아쉬워요
02:30 세미 매트 톤업 무기자차 A~C등급
07:00 에센스 타입 무기자차 A~C등급
10:36 혼합자차/유기자차 A~C등급
15:01✅ 2020 선크림 TOP of TOP
21:44 엔딩


♡선정 과정
2달 간 리스트업- 구매 - 성분 분석 - 피부타입 다른 4인의 테스트- 기기 측정 결과 거쳐 선정했습니다. 

♡제품 리스트업 기준
이번에는 올리브영, 씨제이몰, 지에스몰, 롯데몰, 네이버, 롭스, 화해, 글로우픽 등등등 판매처 상위 랭킹템+ 2020 신제품으로 구매했습니다.🤗

♡직접 취재한 팩트 체크
- 나노/논나노 여부는 브랜드 본사 취재

♡디파가 말하는 주요 포인트는?
디파는 선크림과 클렌저가 기능성 화장품보다 더 중요하다고 늘 말씀드렸죠? 데일리 루틴과 제품이 매일매일 내 피부를 결정짓는 작지만 아주 중요한 습관입니다. 

물론 디파 추천템은 남녀 구분없이 바를 수 있구요, 
아기, 어린이용, 임산부용도 뽑았습니다.

이번에 준비한 선크림들은 디렉터파이를 아주 만족시켰는데요. 👍🏻👍🏻👍🏻
잔소리~ 잔소리~ 몇 년간 했더니 이건 뭐 성분부터 사용감, 지속력, 백탁까지 다 잡아서 상향평준화,,,,됐다고 할까. 
덕분에 테스트할 제품이 너무 많았지만.☺😳 

♡선스틱 선쿠션은요?!! 
 6월 영상에서 한방에 정리해 올릴게요.
그럼 안녀엉~~ # 빠밤",520개
1,yungyung,대단하세요 소비자가 항의해도 바꾸기 어렵던 화장품회사의 트러블성제품들이  디파님 한분으로 국내제품들의 성분이 바뀌고 있다는 것에 경의를 표합니다 유용한 정보감사합니다,627개
2,ReeWon,Yeees♥♥,6개
3,채린,"2020 선크림 TOP OF TOP 타임라인
틀린 부분은 답글로 알려주세요!
00:19 2020 선크림 트렌드
1. 클린뷰티의 성분
2. 제형의 변화
3. 선크림의 세분화
01:14 아쉬워요템
01:18 AGE20’s 롱 프로텍션 마일드 에센스 선크림
01:27 센텔리안24 마데카 더마 쉴드 선 에센스
01:37 CNP 틴티드 모이스처라이징 선
CNP 안티 블레미쉬 코렉팅 선
01:53 FFLOW 선 글로우 톤업 베이스
FFLOW 선 프라임 톤업 베이스
2:07 AHC 내추럴 퍼펙션 프로쉴드 선 퍼펙터
AHC 내추럴 퍼펙션 핑크 톤업 선 밀크
2:20 달바 워터풀 에센스 선크림
2:30 세미 매트 톤업 무기자차 A~C 등급
C등급
2:40 에이트루 오리진 세이프 마일드 선블록
B등급
3:23 파티온 노스캄 리페어 선크림
4:00 구달 맑은 어성초 진정 선크림
4:32 닥터지 그린 마일드 업 선 플러스
A등급
5:06 닥터지 베이비 마일드 업 선
5:34 닥터자르트 솔라바이옴 징크림
6:12 닥터올가 프리미엄 썬 프로텍션 크림
07:00 에센스 타입 무기자차 A~C등급
C등급
07:10 메디큐브 레드 캡슐 선크림
B등급
07:40 더샘 에코 어스 올 프로텍션 선크림
08:20 라운드랩 1025 독도 무기자차 선크림
08:49 보타닉힐보 더마 디펜스 판테놀 선크림
09:14 닥터자르트 솔라바이옴 플루이드
A등급
09:36 닥터자르트 솔라바이옴 프라이머
10:36 혼합자차/유기자차 A~C등급
C등급 
10:39 닥터지 피크노제놀 앰플 업 선
B등급
11:12 아이오페 UV쉴드 스킨에너지 선
11:50 김정문알로에 큐어 수딩 선젤
12:30 미샤 세이프 블록 RX 히알론 수딩 선
A등급
13:14 비레머디스 UV:릴리프 모이스처라이저
13:47 비레디 슈퍼 마일드 선 프라이머 포 히어로즈 
14:23 메이크프렘 유브이 디펜스 미 모이스쳐 선크림
15:01 ✅ 2020 선크림 TOP OF TOP
온가족 무기자차
15:12 닥터지 그린 마일드 업 선 로션
여드름 피부 무기자차
15:55 더뷰티풀팩터 제로 폴루션 베리어 선
복합성, 수부지 무기자차
16:30 이니스프리 트루케어 논나노 무기자차
민감 지성 무기자차
17:08 듀이트리 어반쉐이드 안티폴루션 선
수부지 유기자차
17:57 라운드랩 자작나무 수분 선크림
지성 워터프루프
18:36 싸이닉 엔조이 마일드 썬 에선스 EX
건성 혼합 유기자차
19:22 랑벨 내츄럴 프레시 선크림
화장 궁합 좋은 혼합자차
19:58 닥터자르트 솔라바이옴 앰플
가성비 무기자차 (건성)
20:36 라운드어라운드 그린티 시카 선로션
가성비 무기자차 (지성)
21:08 참존 패밀리 선 플루이드
21:44 엔딩",254개
4,김고은,"제일 기다리던 선크림 영상인데 쓰고 있는 이니스프리 선크림도 top이라 좋네요👏👏 많이 쓰는 제품이라 하나 더 주문하러 가야겠어요
항상 감사해요 디파님😊
아이라이너도 추천템 부탁드려요^^",39개
5,MarieBeau,"나노/ 논나노 기재해  주셔서 감사해요. 유럽에서는 논나노 여부 기재가 필수인데, 한국은 기재안되어있는 제품이 대다수라 찝찝했거든요.. 나노단위로 쪼개진 티타늄다이옥사이드는 세포에 달라붙어 혈전을 만들거나 뇌세포 손상을 일으키고, 장기적으로 봤을때는 몸에 축적되어 dna손상을 일으키고 암까지 발병시킬 수 있는 매우 위험한 성분입니다.  
한국 기업 한국 제품들도 나노/논나노 기재가 필수화 되었으면 좋겠네요 제발",254개
6,민지,15:06 top of top,169개
7,히하호,당신을 사랑할 수 밖에 없오♡,35개
8,최수인,스킨앤랩이 선크림 맛집이라는데 궁금햇는데 아쉽긴 합니다 ㅠㅜ,23개
9,커피좋아커피좋아,싸이닉꺼 저 쓰고 있어요! 건성도 쓰기 좋더라구요. 디파님이 선정하니 믿고 써야겠어요! 이거 다 쓰시냐고 고생하셨네요. 추천해주신 제품 다른 것도 사볼래요!,14개
10,원빈,저 이번에 마몽드 에브리데이 아쿠아 선크림샀는데 새로 리뉴얼돼서 파란용기로 바꼈더라구요 그건 어떤가요?  궁금해요 디파님!!!,29개
11,꽃반지,"마침 선크림사야하는데 디파님은 내맘속에 들어갔다나오셨나봐,,🤭❤️❤️👍",262개
12,이예린,"디파님!! 다음에는 바디워시 어떨까요?
요즘 마스크 때문에 얼굴 피부도 예민해지고
몸 피부도 다리 같은 경우엔 건조해져서 각질 생기는데 등에선 뾰루지랑 여드름도 나고..ㅠㅠ
말이 아니거든요ㅠㅜ 그래서 바디워시 영상도 찾아봤었는데 가장 최근 영상이 3년 전에 찍으신 영상밖에 없어서 아쉬웠어요.. 그래서 바디워시 영상도 올려주시면 감사하겠습니당!! 
아 그리고 오늘 영상도 너무 잘 봤어요~
마침 선크림 찾아보고 있었는데ㅋㅋ
역시 디파님! 감사합니다♡♡♡",197개
13,lili,"ㅜㅜ선크림이 이렇게 좋아진데는
디파님 힘이 짱짱 클 것 같아요..
감사합니다
딱 선크림 구매하려고 했는데 타이밍이 좋았네요 히히",88개
14,sallyj,와우~ 모든선크림 한방에 공부하고 선택에 도움 너무받았어요. 감사합니다.,5개
15,미미꽃,"볼 때마다 감탄합니다. 어쩜 이 많은 제품들을 조사하고, 분석하고, 실험하고 깔끔하게 정리까지 해서 소개해주시나요!",70개
16,치킨치킨치킨,디파님!!! 곧있으면 여름이라 피부에 쉽게 열올라서 쉽게 벌게지고 트러블도 많이 나올거같아서 너무 걱정인데요ㅠㅠ 혹시 피부 온도 낮춰주는 쿨링제품이나 진정시켜줄수있는 수딩젤같은 화장품 추천해주실수 잇나요오???,40개
17,망고레몬자몽,진짜 최고네요........ 진짜 너무 말도 안 나옴 최고라서,35개
18,쏘뿅이,이번에 듀이트리 사보고 썼는데 역시 믿고 쓰는 파이님..👍 인생 선크림 찾아서 너무 좋아용 ㅠㅠ 감사합니다!❤,12개
19,빅보스,이 영상 하나를 만들기 위해 얼마나 많은 분들이 노력을 하셨는지 감히 짐작도 못하겠어요 소중한 영상 만들어 주셔서 너무 감사합니다 덕분에 제 피부도 잘 지켜내겠습니다,28개
20,myname,파이님처럼 화장품 성분을 분석하는분들덕에 사람들이 성분을 중요하게보면서 점점 화장품들이 바뀐건지.. 옛날엔 대부분의 썬크림이 바르고나면 피부가 빨갛게 부풀고 두드러가올라서 못썼는데 이젠 쓸수 있는게 엄청 많아졌어요. 기초도 그렇고..대신 욕심도많아져서 돈이엄청깨진다는 단점ㅋㅋ,52개
21,혜연,"선크림 참고하겠습니다ㅠㅠ😍😍
디렉터파이님! 아토피 몸 색소침착으로인해 고민이 이만저만 많은데요! 색소침착 빼지는 법 좀 알 수 있을까요?",4개
22,Dcnozguz,This is so useful thank you!!! Will be waiting for a sun cushion for sensitive acne-prone skin in your next video!,2개
23,이현진,진짜 디파님을 만나고 광명을 찾았습니다ㅠㅠㅠㅠㅠ 적게 일하시고 많이 버세요!!!!!❤️❤️,11개
24,초코를한입우와앙,미쳐따.. 여름이라 선크림 찾아보고 있었는데...감사합니다 디렉터 파이님ㅠㅠㅠㅠㅠ❤️,113개
25,,진짜 피부타입별과 선크림 타입별로 이렇게 자세하게 추천해주시는 분이 과연 몇 명이나 될까요!! 너무너무 감사합니다~ 😭😭,29개
26,이름호,디파님꺼 2019꺼보고 2일전에 샀는데.... ㅠㅠㅠㅠ라운드어라운드 샀는데... 착향제가 많이 안 좋을까요? 제가 엄청 민감해서요 ㅠㅠㅠ,12개
27,연우,"디파님 광고 좀 다세요ㅠㅠ 무료로 보기 아까워요
광고가 보고싶은 영상은 처음이네ㅜㅠㅠ",75개
28,너하고,"내 전용
19:00
선크림 뭐살까 고민하고 있었는데 살 때 도움이 많이 될것같아요 감사해요 😃👍",3개
29,소꿈soggum,참존 진짜 좋은데 워터푸르푸라서 폼클로 지워야하구 냄새가.. 냄새가 정말 역해요 .. . .ㅜㅜㅜ 냄새를 아예 빼주던가 하면 좋을텐데 첨에는 참을만했는데 냄새가 흡..ㅜㅜ,2개
30,칸,2019 영상보고 올해는 이니스프리 논나노 트루케어 샀는데 다행히 탑오브탑 선정됐네요ㅋㅋㅋㅋㅋ,85개
31,민트솜사탕,잘 보고 갑니다♥ 전 추천템인 라운드어라운드 그린티 시카 선크림 잘 쓰고 있어요. 이번에도 좋은 선크림으로 랭크되어서 기쁩니다. 디파는 언제나 신뢰가득하고 정성가득한 영상이어서 넘 좋아요♥♥♥,2개
32,커피,헐 다음에 선크림 메이크프렘 유브이 디펜스 미 블루레이 선 플루이드  이거 해주세요 ㅜㅜ,2개
33,소스돈까스,진짜 엄청기다렸습니다...ㅠㅠ!!!! 오늘도 영상잘보고가고 항상도움되고 있어요! 감사핮니다💖,15개
34,시현,K뷰티 길잡이 대모~,2개
35,MinjiSong,클렌징워터 2020년 버전도 해주세요이~~~!!!!,3개
36,nj90B,"지성피부는 유기를 쓰면 자외선이 흡수돼서 트러블 원인이고,무기를 쓰면 백탁이 있을뿐더러 모공을 막아서 트러블 원인이니 결론은 혼합자차를 써야되는건가요 지성피부는?",19개
37,Yejin,진짜 고생많이 하신거 같아요. 그만큼 저희한테 유익한 정보와 좋은 컨텐츠여서 감사합니다💕,58개
