,youtube_id,comment,like_num
0,Jella젤라,Jella is back.💜🔥,21개
1,선우,나만 그렇게 생각하는지는 모르겠지만 뭔가 인간 퓨마 느낌,25개
2,Sierrax,She is seriously the prettiest woman I’ve ever seen,679개
3,와랄리라,"언니,,,,남편자리는 찼지만,,,아내 자리는 남았지,,,? 딱 기다려 내가 갈게,,",13개
4,,"When she put the contacts she was arleady a different person
Bruuuh...",301개
5,ParkJimin박지민,if i was THAT pretty i wouldn't know how to act.,151개
6,Minsco민스코,언니야 사랑해❤️❤️🔥🔥,552개
7,HYUNJINSEYEMOLE,I see some people commenting about how the foundation is a bit darker than her actual face. You do know that you have to choose a foundation that’s the same colour as your neck right? The foundation matches her neck. It’s like how my body is significantly darker then my face and so I use a foundation that matches my neck.,10개
8,eyne,Imagine being this pretty? Can't relate,208개
9,ManaliN,Wow. .. first time seeing a Korean embracing tan skin,153개
10,ahyp,언니 화장전은 아기맹수...화장후는 암사자...,368개
11,Karuna,Did I really hear Punjabi music at the beginning of the video 👀,100개
12,굉굉쓰,"젤라님 결혼 하시고 나서 분위기가 더 짙어지신 것 같아요 색깔이 더 명확해졌달까?? 그냥 너무 좋아요😌❤ 춤도 잘 추시고 모든 일에 젤라님만의 색깔이 묻어져있어서 더 좋운 것 같아요
유투버 해주셔서 감사합니다🙇🏻‍♀️🙇🏻❤❤❤❤

정말 치타 왕국 여왕님...",433개
13,MochiYoongs,"JELLA, THAT CURLY HAIR LOOKS GOOD ON YOU!",369개
14,bbyghost,"she didn't asked to be born latina

NOMAS TUVO SUERTE",136개
15,진영오빠사랑해요,"옛날부터 사람들은 젤라를 머리위에 쓰고다녔다





그리고 그걸 '갓'이라불렀다",402개
16,BiaMartins,"she looks so gorgeous with the curly hair, i can't even",51개
17,RaquelAquino,She looks like a doll wow,54개
18,와우대박,"젤라님 진짜 분위기있고 그윽, 성숙한 삐삐느낌 알죠 완전 분위기,그윽,성숙한삐삐 그자체에유ㅠㅠ 
.
.
.
.
.
저번에 핫핑크컨셉 화장도 진짜 좋았는데 이번엔 파랑색계열의 색을 강조시켜서 또 해주셨음 좋겠어요♥️♥️",165개
19,peachbunjaedo,OMG your hair looks like mine.. back then i want straight hair because i always get hate for my hair. But now i realized Curly hair is really beautiful🥀🌱,148개
20,vic,she looks like a lion omg,45개
21,Duuuasdk,Tan skin light green eyes the most beautiful around,33개
22,작은세상,"언니 마당에 풀을 뽑았거든? 근데 뽑을 때마다 풀이 뭐라고 해서 잘 들어봤더니..
.
.
.
.
젤라 뷰티'풀'🌱🌱",101개
23,김현서,"와아.... 너무 이쁘다..
나 같은 똥손은 본판이 이뻐도 저런 이쁜 화장 못행ㅠ",148개
24,lulualaa,"You inspire me so much jella ,I really gained a lot of confidence about my skin tone after watching your amazing videos💗💜",38개
25,김제이,디즈니 여왕같아 언니....,50개
26,CatalinaGarca,"I like her skin color as a korean, without or with makeup she so gorgeous, stunning I ever seen 😍😍😍😍💜💜💜💜🔥🔥🔥",47개
27,BladeRJoi,When she drank out of that monster....i dont know why she instantly became more likeable to me :D,13개
28,이승아,와....인간체리그자체 완전익어서달달해진그 블랙체리그자체.....젤라님 화장너무잘하세요❤☺❤,48개
29,Helenkim,"Without makeup:
Jella be like : 🧏🏻‍♀️+✨
Me :🧟‍♀️+ 💩 
With makeup 
Jella be like : 🧏🏻‍♀️+✨✨✨✨✨...✨
Me : 🧏🏻‍♀️+✨",54개
30,Haridonya,"She's cute and everything but the sad part that when someone is naturally tanned no one say anything about it. People just compliment fake tans it's just beautiful when someone is not meant to be tanned and fakes a tan
(Sorry for my bad english)

Edit:sorry i didn't know her skin is naturally tanned

Edit 2:turns out she's not tanned",119개
31,mena,미친 비주얼... 와 ... ㅋㅋㅋㅋ 진짜 미쳤어,14개
32,IdkLol,She is literally drop dead GORGEOUS!!!,2개
33,팔학년이반시보번뛔뛔응,인간 블랙체리 ...🖤🍒,5개
34,리두뚜,너무 이뻐서 감동인건 첨이눼... 🙀,3개
35,MariaClara,You look gorgeous with this hairstyle!!,24개
36,내가최고야,"젤라님 KT에서 고소당했죠





미모가 기가막혀서,,",18개
37,김하연,"언니..곤충이죠..                                 










얼굴이 ‘개미’쳐서",49개
38,수미,카르멘 생각나요 너무 예뻐... 배경음악은 세뇨리따 깔고싶어요 너무 이뻐,5개
39,루롤,외국인 영화배우 보는 기분☺️,4개
40,채은,"와 진짜 썸네일 보고 "" 와 "" 하면서 들어옴..;",4개
41,서채연,걍 넘어가려고 했는데 너무 이뻐서 안볼수가 없었다;;;,5개
42,후엥,"입에서 감탄만 나온다,,,
아핳,,우와,,♥",4개
43,Dongxxan,당신....언니.........나한테...이러기야...?...낟죽..어..,5개
44,냥냥,언니 투쿨 에끌라 새틴 쿠션 제일 어두운 거 써봐요 언니 그거 완전 겁나 24 25호를 위한...... 진자... 레전드,3개
45,척척이,"자나깨나 떡볶이타령ㅋㅋ
평생 안고갈 숙제임 떡뽀끼는..",5개
46,로세,진짜 에스메랄다가 사람이면 언니일 것 같은 느낌... 분위기 독보적이에요 ❤️ 사랑합니당,6개
47,하이,와..젤라님 정말로 존경해요ㅠㅠ,4개
48,itspatts,"Jella you look beautiful with that hairstyle 💕 I want to try that cushion, your skin look so glowy 😍",28개
49,김뗌ddam,뭐뭐죠.. 이 완벽한 아름다움은..♡,22개
50,tjrudak,"언니 너무 예쁜 사람을 보면 눈이 잠깐 먼데여
핳ㅎ 어떻게 눈이 멀엏ㅎ
언니 갑자기 앞이 안 보여요, 지금 병원이에요 거울보고 눈이 보이기 시작했어요..",13개
51,빠마머리앤,미국드라마에 출연하는 여배우같아용 ㅎㅎ,5개
52,HA,I dont understand a word of what your saying but I always enjoy your tutorials. You are absolutely stunning. I love your features and skin tone.,23개
53,AK,omg the Queen is back!!!,5개
54,김고은,이효리의 미스코리아가 떠올라요😍,4개
55,YHOTR,"진짜 화장천재...., 예쁘신것도 있겠지만서도 피부표현이나 눈화장이나 어디 빠지지 않네요....젤라님 지금도 흥하시지만 더욱더 흥하시길 바랍니다...😭😭💜💜💜",6개
56,putridayana,진짜 예뻐요 😍,5개
