,youtube_id,comment,like_num
0,코코노에린,오늘 영상같은게  개인적으로는 소프님 방송에서 제일 좋아요.  소프님은  한번에  여러가지 요리 하시는거 볼때가 제일 재밌고 멋져요.,60개
1,조상준,소프님 감자랑 닮음,73개
2,MaydayComputer,이시국에 감자요리 올려준~~ 소프님 칭찬해~~~ 강원도 감자가 시국때문에 잘 안팔리고 있다고 하는데... 좋은 요리법 좋습니다.,6개
3,backpid,형 요즘 바이러스 때문에 채소 식자재의 소비가 줄었다고 하는데 이런 영상 좋앙,4개
4,오늘의메뉴TodaysMenu간편요리만들기,"감 : 감자가 요즘 엄청 저렴하다고 합니다! 
자 : 자 이제 같이 볼까용? ㅋㅋ 
한 : 한상 차려놓으면 술이 들어가는 안주겠내요!!! 
상 : 상 빨리 차려서 한잔 하고싶다~!! 
크~~~ 취할거같애",12개
5,pinkblack,"5년전 캐나다에서 살때 외식은 비싸고 한식은 너무 먹고싶을때 소프님 영상보고 한국음식 많이 만들어 먹었어요! 그래서 싸이버거, 닭볶음탕, 강된장, 수육은 지금까지 소프님 레시피로 요리해용 ㅎㅎ 오늘영상이 옛날영상이랑 비슷해서 추억돋았어요ㅎㅎ 항상 좋은영상 감사해요~

+ 제 최애는 데리야끼 보쌈입니다!",3개
6,추가샷,크로마키때문에 먹을때 어두운건가요 ㅠ 아쉽네여,6개
7,이영호,오 쓋ㅋㅋㅋㅋ 썸네일 보고도 어떻게 안들어오겠냐고~,6개
8,leelee,강원마트 감켓팅 성공해서 내일발송한다는데 꼭 해먹을게요❤❤,3개
9,박선우,돼지고기민찌 사서 감자조림 해먹었는데 졸맛이었어요👍 잘배웠습니다 ^-^ 이런영상 넘좋아요,1개
10,Dong,이래서 소프를 봅니다,4개
11,요똥묘니BadhandCooking,발골..🔪👍,3개
12,김지학,댓글이 왜 6개뿐이 업ㄷ어...?,1개
13,어뤄엉뢑앙,오랜만에 토맥사 마시는거 보고싶네여 ㅋㅋ,1개
14,킘씜바,닭다리 구우면서 나오는 기름이랑 같이 구운 감자는 진짜...👍🏻,1개
15,반달,"오오오옹!!!!!
오늘 마침 카레먹고 싶어서 감자 사오긴 했는데 먹고 남은건 어떻하나 하던 참에 감자레시피를 주시다니!!
잘보고 맛있게 해먹을께요~ㅋ",2개
16,별냥이,"요즘 강원도 감자 열심히 사서 요리해먹는데,
다양한 감자요리 좋아요~
>.^)",2개
17,태준,효과음이 왼쪽 에어팟에서만 나요 ㅋㅌㅌㅋㅋㅋㅋㅋㅋ,0개
18,밍밍이,감자 너무 좋아하는데 감자닭볶음 꼭 해볼거에요! 항상 컨텐츠를 위해서 노력하시구 고민하시는 모습 너무 좋아요♡ 오늘도 영상 잘봤습니다 :),0개
19,이연수,"감자로 만든 세가지 다맛있어 보여요 .
특히 찐감자 넣은 닭구이 너무 맛있겠네요 ^^",1개
20,FluoriteP,소프님이 요리하면 뭔가 '뚝딱' 하고 만들어지는거같아서 계속보게되네요.. 매번 잘배워갑니다!,1개
21,이용희,감자님 소프랑 닮음,1개
22,,소프님 노브랜드 치즈치킨까스 리뷰 가능한가요,1개
23,아름다움e손꾸락미안합니다다움,늘 감사하게 잘 보고있습니다,0개
24,커피좋아,감자 깎는 기계 있지않았나요?ㅋㅋㅋ,0개
25,한방보이,닭 감가 구이 맛날듯..~~버터향이 빡~~ 날듯..,0개
26,HAENISHIN,"2,3번 요리 먹고싶다ㅠㅠ",0개
27,곤곤,진짜 너무 좋아요 오늘,0개
28,신딸랑,오.. 꿀맛이겠다..,1개
29,풀잎,저기 포차서 한잔 하고 싶네요,0개
30,,"썸네일 홈런볼인줄 알았네,,,⚾️",0개
31,1분요리짧고굵게배우는요리,소프님 혹시 자취한끼 더 올리실 생각있으신가요?? 정말 좋은 컨텐츠였는데 아쉬워서요!!!,8개
32,허양,캬 감자조림..8ㅅ8 저 포차 어느 동네 포차인지 찾아내고 만다 엉엉,0개
33,mj,카메라 앵글이 다양해지니 보기 좋아요~!!!! 굿,0개
34,성찬영,감자조림 스팸 으깨서 넣어먹어두 맛있어요,0개
35,오소리족제비,감자조림 프라이팬 제품 뭐 쓰나요?,0개
36,이세민,"감자전 도전해봐야징~
근데 파마산대신 대체할수있는 재료있나요?",0개
37,매드무비스파,1빠!,1개
38,석제니,항상 변함없이 그 자리에  계시는 먹방유튜버 이십니다~,0개
39,요리전공자들의이야기팡쿡,소프님 영상은 항상 보다보면 중간중간 꿀팁이 많이 나오는듯 해요 😊😊😊,2개
40,친미,강원도식?,0개
41,김도윤,근데 요즘 소프님 왜케 조회수가 안나옴?,1개
42,소이정,업소용삘이다,0개
43,양은진,감자를 좋아하는데 한번 도전해 볼께요 감자와 닭고기에 버터까지는 상상이 가는데 레몬즙까지 들어간건 잘 상상이 안가요 한번 해서 먹어보면 알겠죠?ㅋㅋ 감자에 파마산 감자에 돼지고기 민찌는 해보지않아도 맛있을것같아요 알던 재료지만 새로운 조합이네요 꼭 해볼께요 감사해요^^♡,0개
44,창기tvlovely나,"저거 소준데 ~ 사이다 캔에넣음
소프님은 요리면요리 마술은 덤 ㅎ",3개
45,고니,"소프랑 결혼할 여자는 행복하겟다. 
맨날 맛있는거 먹고.",0개
