닉네임,댓글,좋아요수,날짜
나익희,"믿고 보는 씨디맨! 좋은 리뷰 감사합니다~~ 일루전 선셋 자급제 예약해놨는데, 기대되네용ㅎ.ㅎ",4개,2020. 5. 13.
케이치,"디자인은 이쁜데 성능에 비해 가격이 너무 비싸요 카메라OIS 빠졌고 LG에만 들어가는 쿼드덱 빠졌고 CPU 구리고 
듀얼 스크린을 포함한 89만원 이였으면 이렇게 까지 욕 안먹었을텐데..LG는 대체 무슨생각인걸까..",5개,2020. 5. 13.
씨네막CineMac,역쉬 씨디맨님 ~~ 의 섬세한 리뷰 항상 잘 보고 있습니다~ 듀얼 스크린~ 컨셉으로 완전히 디자인을 일체형으로 했으면 어땠을까 ....,3개,2020. 5. 13.
김갓삿갓삿,"디자인은 정말 괜찮게 나와서 관심 끌기에 성공한 반면 가격 때문에 기능들에대한 관심이 확 줄어든거 같네요 
실 체험에서 버벅임이 느껴진다니 정말 아쉽네요 asmr기능은 그중 가장 재밌게 활용할수 있을거 같네요",3개,2020. 5. 13.
양호성,감사합니다 ~,0개,2020. 5. 13.
님사람,사망보다 좋은것은 망사다,2개,2020. 5. 13.
luckyclassic,진짜 가격이 모든걸 망친듯 하네요.....,1개,2020. 5. 13.
박종현,차포 쫄 기 다 떼고 왕만 덩그러니 있는 장기판에 이길수 있는건가요?,0개,2020. 5. 13.
RAVEN,씨디맨님 애기 귀엽네요,1개,2020. 5. 13.
일웅고,갤럭시 s10보다 카메라 더 좋나요?,1개,2020. 5. 13.
요지경,참 고정관념이라는게 무서운 거 같아요 ㅋㅋ,0개,2020. 5. 13.
JimmyaGeek,Make a 4K Walking Video Test!,0개,2020. 5. 13.
식은널보내,조명때문에 그런가 사이드 곡률로 조명이 계속 비춰진당,0개,2020. 5. 13.
FrancisKiwon,"실물이 확실히 예쁘긴 예쁩니다. 외관 저정도로 잘 뽑아놨고 LG폰의 장점 잘 살려놨으니 ""어차피 이거 망하면 모바일사업부도 끝""이라 생각하고 그냥 8xx 넣어서 플래그십 시장에서 맞짱떠보는게 나았을텐데....출시 시점에 최적화를 제대로 안 시켜놓은 점도 씁쓸합니다.",2개,2020. 5. 13.
박장원,"매장가서 실물직접 보고 만지고 들어보고 왔습니다. 진짜 예쁘고 그립감좋고 가벼워요~
근데 AP와 가격때문에 많은욕을 먹고있네요. 개인적인 생각으로 EIS나 ASMR이나 와콤펜지원 등 그값을 하는 기능들이 꽤 들어있는데 스펙만보고 욕을하니 많이 안타깝습니다.
그렇다고 아쉬움이 없는건 아니지만요..
가격 좀 높이더라도 스냅855+정도만 넣어줬어도 꽤 좋은평을 들었을것 같습니다.
손떨방정도야 짐벌같은걸로 얼마든지 커버가 가능하니..
쿼드덱 빠졌다고 욕들 하는데 그거 들어가있을때 요즘같은때에 누가 유선쓰냐고 욕하던분들이 ㅋ
근데 쿼드덱이 빠져있는데도 불구하고 유선음질이 경쟁기들보다 좋은건 아무도 말을 안하더군요..
여러모로 안타깝습니다.
나라도 사줘야지..",1개,2020. 5. 13.
jang2014,15,0개,2020. 5. 13.
김경남,전면카메라옆반짝반짝 하는거어떤기능인가요,0개,2020. 5. 13.
영태를아시나요김,"엘지유플러스 에서 벨벳 구매 시 요금제에 따라 VR 기기를 무료 또는 할인해서 신청해 받아볼 수 있는데 그 중 ""피코 리얼플러스""라는 제품은 휴대폰을 직접 꼽지 않고 선으로 연결하여 볼 수 있는 기기이며 V50, V50S, 벨벳 에서만 사용할수 있다라고 보고 신청을 했습니다.
그런데 처음 사전예약 할때는 이벤트 신청 페이지에서 보지  못했던 ""벨벳폰으로는 유뿔에서 제공하는 VR컨텐츠 중 게임은 이용 못한다.""라는 유의사항 문구를 발견하게 되었는데,이게 단순히 제가 못보고 지나친건지 갑자기 문구를 추가한건지....만약 갑자기 추가한 것이라면 이것을 목적으로 벨벳폰 구매한 사람들에겐 허위 광고가 될 수 있겠다 싶은데 이에 관한 리뷰도 부탁드려요~",0개,2020. 5. 13.
박돌체아빠,se2 사자... 55만원,0개,2020. 5. 13.
재생일시정지,저 물방울노치(?)만 아니면 괜찮을거같은데,0개,2020. 5. 13.
