,youtube_id,comment,like_num
0,komalmotwani1,Happy Birthday Tzuyang . Lots of love from india 🇮🇳,10개
1,promukbangASMR프로먹방러,This how many people getting hungry watch after this video,27개
2,TenTen,"I gain 10 lbs from breathing...and she is over here eating cakes and a feast that can last me breakfast, lunch, and dinner hha",11개
3,ThoPhm,3:43 a little. 😂😂,7개
4,FlorenginJayona,Happiest bornday tzuyang♥️♥️♥️,21개
5,LucyneVera,"HAPPY BIRTHDAY TZUYANG!!!
I hope ur birthday is fantastic even though we are quarantine!",5개
6,hoibsh,"Holy shiz, I almost missed yr birthday.  Happy birthday, Tzuyang!  Hope you're safe and healthy!",5개
7,BE,I feel like every child thinks their mother's japchae is the best XD Happy Birthday! Everything looks so delicious!,34개
8,ZeusHermes,"Happy birthday tzuyang, I'll give u 1 wish. I only grant something that your heart dearest the most.",8개
9,InriBethania,she's 5 years older than me but still look cute :(,27개
10,태지링,"쯔양 : 이건 뭐야, 이건 뭐야
풀떼기 : 나도 음식이다...",414개
11,GracyCordova,Happeee beerday Tzuyang. More blessings to come 🥰,6개
12,IzzyRose,When she gasped from dumping in all that salt lol I felt that echo in my soul. Happy late birthday!,3개
13,MOZHDEHASMR,"All this good food in one place has made me hungry
😋😋😋😋😋😋😋😋😋😋😋
👌👌👌👌👌👌👌👌",14개
14,CynthiaElisabeth,Happy birthday Tzuyang. Now I know where you got that big appetite from. We Tauruses loveeee to eat 🤣,8개
15,RobynethAbadilla,"Happy Birthday Eonnie 😇❤️. Always be Healthy and hope to see more mukbang of yours. God Bless you, and I’ll always be praying for you good health. Enjoy 😘",5개
16,EmelitaAsuncion,Happy birthday Tzuyang.Stay healthy.🌹🎂💖❤💙💛💜💖,4개
17,NURDANIAFATIHAHBTABDULRAZAK,There is chocolate ketupat on the cake 😂 early aidilfitri anywayss happy birthday tzuyang ✨✨✨,3개
18,RoselynJoyLahinao,HAPPY BIRTHDAY TZUYANG🎉🎊 It's good to see you smile while eating🥰,4개
19,KevynKeo,Happy Birthday 🎇🎉🎊🎁🎆🎂Tzuyang...your a May Birthday too...😳😬😲 mine was on May 2nd 🙊🙈.☺😊😁. Best wishes good health good fortune good luck with happiness and prosperity Tzuyang....Saranghae....💖💕💓❤💚💜💙💛💌.🙊🤣😄😁,4개
20,ThoPhm,"Omg im soooo happy because the sub is so fast!!!
Happy birthday tzuyang from 🇻🇳 🇻🇳",5개
21,fromthesouth97,Happy Quarantine Birthday Tzuyang! 💕 Loveee ❤️❤️🇵🇭,5개
22,AmeliaMeiliani,HI I'm From INDONESIA🇮🇩🇮🇩😍😍🖤🖤HAPPY BIRTHDAY🥰🥰,7개
23,tessayoung,happy birthday tzuyang god bless you always and take care of your health more blessings to come im from philippines and i am a fan but i live here in abu dhabi for my job..😊😊😘😘😘,4개
24,bigpiggy357,"Happy Birthday!! Hope you enjoy your day, after you wake up from the food coma, lol.",8개
25,감성을담는남자FoodCook,"어머님께서 차려주신 생일상 소개할때 ""샐러드는 머야"" ""이건머야""  ㅋㅋㅋ 채식은 편애하시는 쯔양님 ㅎㅎㅎ 골고루 맛나게 드셔주는 모습도 보고싶어요 ~ 생일축하해요👍",99개
26,창창,1:15 이건뭐야 ㅋㅋㅋㅋㅋㅋㅋㄱㅋㄱㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ야채 차별 개웃기네,24개
27,LanhyaBlanks,Happy birthday Tzuyang😊😘 Looks like you celebrated your birthday in a delicious way.,5개
28,MaicaPallasigue,"Happy Birthday,  Tzuyang! ❤️ 🇵🇭",5개
29,ShreyaSaha,Happy Birthday Tzuyang!  so she is a Taurus ...no doubt she loves food :),5개
30,IslandSaltWaterQueen,Happy Birthday shout out Tzuyang!!! Have a blessed and prosperous 24th yr.🤩🥳🤩🤩🤩🥳🤩🤩🥳🤩🤩🤩,3개
31,JinkyLeonor,HBD 🙆‍♀️🎂🍝🍜🍢🍣🥠🥟🍡🍩🍨🍧🍤🍰🥧🥛🍮🍭🍬🍫,20개
32,LaiSah,"Happy 24rth birthday tzuyang🎂🎈🎉,,God Bless you,,I'm wishing you a Good health,stay healthy,,,more years to come more birthday's to celebrate,,,,❤️❤️❤️🇵🇭 keep safe always,,❤️",13개
33,natouchya,Happy birthdayyyy tzuyang 💜. My birthday is today too 😂,3개
34,BidhanLama,She look like Hani  from  EXID,2개
35,NhenheTomnog,"1:19 😋😋😋😋woww too delicious food yummy..
Happy birthdy tzuyang..😍🎊🎊🎊🎊🎊👏👏👏🎁🎁🎁",2개
36,LillieHernandez,"HAPPY BIRTHDAY 🥳🥳🥳 wish you the best ,hope you had fun on your birthday,may all your dreams come true and please keep making great content on your channel like you’ve been doing I’m a super FAN ❤️❤️❤️❤️❤️❤️❤️",3개
37,AllMight,The way she looks at the vegetable  is the way my crush looks at me 😂,59개
38,RogueViator,"Sogeum: I get some this time right?
Tzuyang: No.
Sogeum: Some sister you are...
Tzuyang: I know.
Mom: Since when does the dog talk?",17개
39,RobelinCojaRobelinCoja,Happy birthday 🎂 tzuyang stay healthy ...,3개
40,JewelAnnCasimiro,Happy birthday tzuyang! More years to come. God bless you always! Notice me please. 😍,4개
41,ChanMenghour,You have the same Birthday just like my mom but anyway Happy birthday tzuyang.,2개
42,AidaAzman,내 생일 is on 26/4. 나도 24 years old. What a coincidence😂 Love from Malaysia🇲🇾,2개
43,ONCEbittenTWICEshyshyshy,I wonder if tzuyang bought her mum shoes to match her designer bag this year?,39개
44,DinaHeryanti,"happy birthday tzuyang i think you 19 old haha, im from indonesia🇮🇩🇮🇩",21개
45,ZoraBora,Of course she’s a taurus lmaaaoo,2개
46,SeriAnita,"Gotta love how she goes,what is that?,when she sees vegetables",1개
47,최성혁,1:13 샐러드는 뭐야? 쭈꾸미 잡채 이건뭐야?.... ㅋㅋㅋ 시금치는 이름 불러주기도 싫었나보다,18개
48,AZhrul,Is this what asian moms mean by “eat a lot”,27개
49,Burpingsuman,Happiest 24th Birthday tzuyang 🎂🎈🎉🥂😎😃 luv frm India ❤️,6개
50,뀨띵,소금이 쩌번부터 진짜 개졸귀 ㅜㅜ,10개
51,AllysonLim,I literally watched this for the dog lmao,1개
52,LeitheJudge,"oh my your birthday is on 25th April? that's the same as me, happy belated birthday to us both, I hope your mukbang channel will become more popular and always makes people happy to watching it XD",1개
53,정석현,유튜브 댓글 위치 바꾼 거 적응 안 되네,31개
54,정단우,0:53 야! 하는거 겁나 귀엽네,6개
55,JenLe,"Happy birthday Tzuyang💕💕 I wish you health, happiness, success and to many more feast😋",1개
56,SaraKangsan싸라와강산이,"쯔양님 생일상보니 어머님께서 쯔양님 야채먹이려고 야채 듬뿍넣고 정성껏 요리하신게 느껴지네요♡♡♡ 저도 어렸을때 야채가 싫었는데 엄마가 제가 좋아하는 두부찌개에 당근이랑 다른 야채를 듬뿍 넣으셨던게 기억나요😂😂 저도 그때 엄마한테 ""이게뭐야?"" 했었는데 😁😜😂",38개
57,허남진,내소원이 엄마가 해주는 소갈비찜 한번 먹어보는게 소원인데 ~  영원히 못먹음ㅜ 부러워요,5개
58,Louise,"Happy birthday Tzuyang!🎂🎂🎂🎂🎂🎂🎂
Happy to see you eating food prepared by your beloved mother❤😊 Wish you more happy birthdays to come!🎂",18개
59,폴쉐,사랑스런 우리 정원이 건강하고 행복하자~~~^^,26개
60,JHY,12:15 침묵하던 소금이 극대노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6개
61,lolsweetsxoxo,Happy Birthday Tzyuyang!! 🎂❤️❤️❤️,1개
62,Debby,awwww Soy ASMR has a cat called sogeum too! her cats are salt and pepper hahaha,1개
63,호킹,"샐러드는 뭐야
이건 뭐야
말투 너무 귀여운거 아닙니까..",20개
64,Yoongibabie,happy birthday tzuyang❤️❤️❤️❤️love you!!,1개
65,NURSYAZWANAQISTINABTMOHDAZMI,Happy birhday tzuyang.may your day become a wonderful days ever. I wish you always healthy and happy  😊 😊 😊 😊 🎂🎉🎊🎊🎊🎊💖✌😘,1개
66,김연아,ㅋㅋㅋㅋㅋ야채만 보고 이건머야?! 하는거 웃겨옄ㅋㅋ,6개
67,NikenSyahrani,"he is like Hani from EXID, and his aura is like Jiheon from FROMIS_9",0개
68,숭숭원숭희엘이는,"이와중에 갈비찜에 야채는 하나도 안먹음ㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",4개
69,이세한,밥이 밥이 완전 고봉임....최고임 어머니의 사랑이 담긴 최고의 밥상 맛있겠다~~,8개
70,VikasChadhokar,Do a special mukbang collaboration with the Sogeum🐕.,1개
71,김윤진,"와.....이럴수가.... 너무 늦은거 같지만, 그래도 생일 축하해요~!! 🙏😍다음엔 꼭 기억하고 있어야지🙄🙄",2개
72,장용영,아ㅋㅋㅋㅋ 강아지 보는내내 광대 올라가있엇네 왜케 귀욥냐ㅋㅋㅋㅋㅋㅋㅋㅋ,4개
73,jloislynduculan,"happy birthday tzuyang, god bless",1개
74,ElyHannahRoseVLOG,Happy birthday ms. TZUYANG im your number 1 fan from PHILIPPINES 😍❤️❤️❤️,15개
75,LeviBarroga,"Happy birthday tzuyaaangggg 🎂❤️
we wish you all the best 🎉🤗",1개
76,RaniSilvia,When she smile she like Eunsang Ex X1,0개
77,YiaSimbaXiong,"So cute how she saw the salad and just says ""what is this?"" Haha!!",0개
78,PaVue,Moms make the best dishes ever!,1개
79,SalomeCabillon,The cutieee mukbanger.. Happy birthday Tzuyang.. I really love your genuineness in your vlogs..,7개
80,ChiLe,happy Birthday Tzuyang <3 I love watching your videos ^^,1개
81,핥라이딩,ㅋㅋㅋㅋ 뭐야 평범한 양의 생일 상이잖아 라고 생각했다가 저 음식을 혼자 먹는다는걸 나중에 깨달았다,3개
82,EY,생일 축하해요~쯔양^^ 밝고 유쾌한모습으로 늘 건강하셔서 우리들 행복하게 해주세요~,2개
83,DarkRs,Happy birthday tzuyang 생일 축하 🎉🎂🎁🕯️✨,2개
84,MelelinaWilliam,Happy blessed birthday beautiful ❤️🙏,1개
85,RosieVasquez,Happy birthday tzuyang.... greetings all the way from Philippines,1개
86,송유나,야채는 다 뭐얔ㅋㅋㅋㅋㅋ 취급도 안햌ㅋㅋㅋㅋㅋ개윳겨..,3개
87,MrSkinniSoul,"음식고문 당하는 소금이ㅠㅠㅋㅋㅋㅋ아련한 눈빛 어쩔ㅠㅠㅋㅋㅋㅋ
생일축하드립니당~🎂",1개
88,장성민,1:06 저게 바로 말로만 듣던 고봉밥인가,1개
89,tikoo,happy bday tzuyang eonnie!! <3 💗💞💞💕💕💖💖💘💞💕💕💞💓💞💕💕💘💖💕💕💕💓,1개
90,MsRayRay,Happy cake day!! The way she tried the salad 😅🤣🤣🤣🤣🤣,3개
91,향수보다페브리즈,07:40 강아지가 자기밥 뺐어먹었을까봐 화내는 쯔양😡😡ㅋㅋㅋㅋ,2개
92,삼새깅,어무이 말투가 디게 젊으시네ㅋㅋㅋ,1개
93,Jem,Happy birthday Tzuyang! 💖💖💖,1개
94,간짜장,"갈비가 너무 맛있어서 미쳤어?
야~!  나는 너무 먹고 싶어서 미쳤다~ㅋ",2개
95,앙기모띠,강아지 자주 출연시켜주면 안되나요? 너무 귀여움 ㅋㅋㅋㅋ,4개
96,두더지,"밥이 진짜 고봉밥이다
설마저걸 혼자 다먹을까?!
영상 보기 시작하자 그런의문이 들었다",1개
97,Amortui,밥 양이 밥만 먹어도 전 배부를 거 같네요ㅋㅋㅋㅋㅋ,2개
98,구독안하면밤에집으로찾아감,쯔양님 생일 축하해여~~,2개
99,RixVedraTV,"Tzuyang, I really like you. You're so pretty when you smile. XD",0개
100,이기열,0:54 졸귀ㅋㅋㅋㅋㅋㅋㄱㅋㅋㄱㅋ,2개
101,RusarPema,"It will be nice if there is a English subtitles in your video... As some of your subscribes doesn't know the your language.... We don't know what are you speaking n telling  in video... 
Take care
Love you💕",1개
102,HanseoJay,생일 축하해요... 올해도 건강한 먹방 화이팅~,2개
103,유호진,나도 내일 생일인데....저 애호박전이 탐난다ㅠㅠㅠㅠ진짜 주꾸미에 밥 비벼서  먹으면 꿀맛....진짜 대리만족 하고 갑니다ㅠㅠㅠㅠ,1개
104,71brilliant,4:20 이건뭐야? 취나물 -_-^ ㅋㅋㅋㅋㅋㅋㅋ..,1개
105,쿠루루,모르는게 왜이리 많아 ㅋㅋㅋ,2개
106,썽BAE,생일축하드려요~~!! ㅋㅋㅋ 역시 야채보단 고기지요 ㅠㅠㅠㅠ 그래도 미역도 먹고 김치도 먹는데 야채잘먹는구만!!!,1개
107,심지용,"쯔양님 다시 한번 생일 축하 드려요!!
푹 쉬고 재충전해서 다시 좋은 모습으로 만나요~~~",2개
108,이즈건후와함께수박의계절,와 나이가 제일부럽다 애기애기한 쯔양 이모가 생일추카해요🥳🥳🥳,4개
109,Amortui,6:14 쯔양님이랑 목소리 완전 똑같으심ㅋㅋㄷㄷ,1개
110,AyrishingByun,"Happy Birthdaaaay Tzuyanggg Eonnie ❤ More blessings to commee eonnie and stay what you are now , Stay safe eonnie. 
Fan from PH",0개
111,GUJ,아 쯔양이 어느새 42살이 되었구나...ㅋㅋㅋ,1개
112,김수민,"메뉴만 봐도 엄청 맛있는 음식들인데
어머니가 손수 차려주신 생일상은 더욱 맛있죠👍
어머니의 정성과 사랑이 느껴지는..💕💕
❤쯔양님 생일 축하해요❤ 이렇게 착하고 이쁜
쯔양님 낳아주신 부모님께도 감사의 말씀을~~🥰",249개
113,몽실몽하,"생일축하합니다 생일축하합니다
사랑하는 쯔양님 생일축하 합니다~♡
💝선물이에용ㅎㅎ",1개
114,LeoChanMukbang,happy bday tzuyang ^^,1개
115,YvetteRabaya,Happy birthday sweet Tzuyang!!! Loveyou!!!❤️❤️❤️❤️,1개
116,게임게임게임게임,"아니! 쯔양님!!! 그나이 드시고 반찬투정하시면 어머니 마음엔 금이갑니다!!!!!







만? 너무 평소처럼 드시는거같아서 좋습니다ㅋㅋㅋ 아주 바람직한 편식입니다ㅋㅋㅋㅋ",1개
117,오마이셰프ohmychef,"쯔양님 생일 축하 드립니다~😊
저는 쯔양님 팬입니다
저는 5성급 반얀트리 호텔 출신 셰프입니다
쯔양님만 괜찮다면 다음 생일에 꼭~ 생일 ~ 코스 요리 해드리고 싶어요
다시 한번 생일 축하 드리며 언제나 응원합니다",120개
118,MayLiberal,Belated happy birthday tzuyang🎉. Godbless and more birthdays to come ❤️ Keep safe and I love you 😘💕,0개
119,SeungChulLee,"ㅋㅋㅋㅋㅋ 저때 소금이...또 시선강탈 ㅋㅋㅋㅋ 역시나 야채 잘안먹는....쯔양
소금이랑 빛남이 ㅋㅋㅋㅋㅋㅋ",2개
120,위즈워뇽,어머님 요리솜씨 너무좋으시다... 생일 축하드려영 쯔양님!!,1개
121,사라앙,쯔앙님...아우 진짜 짱! 생일상 클라스👍🏻👍🏻 너무 축하해요:) 먹방여신💕,2개
122,RoseLove,생일축하하고 항상 응원합니다＼(^-^)／,2개
123,booitsmichelle,"happy birthday!! <3
your mom's dishes looks so good, especially the galbi jim <3",0개
124,official로난,Happiest bday to you tzuyang🎉 stay safe and take care of yourself there💜,0개
125,aSu,굳이 싫어서 눌를사람들은 대체 왜 들어오는거지?   심보가 이리도 꼬엿누?,2개
126,myuuuinaaa,"생일축하해여〜!!!
기여운 온니（＾ν＾）❤︎",2개
127,오잉,뒷북이지만 쯔양님 생일 축하드려요~ 앞으로도 쭉 건강하시구 쪼은 먹방 많이 올려주세요 ! ♡,1개
128,김선현,0:54 너무 귀여우셔요,3개
129,안녕하세유,"쯔양님 19살 아니었낭 👀
무튼 생일 ㅊㅋ dream 니다 🎂
소금이 귀여움 짱임 ㅋ",1개
130,정예울,울 이쁜 정원이 아프지 말고 기대에 부응 한다느니 뭐 하려고 하지 말고 마음의 소리에 귀 기울여 하고 싶은 대로 하자. 재력이든 매력이든 뭐든 사람은 가진게 많으면 피곤한 법이다.,3개
131,WeiNing,Happy Birthday Tzuyang !,1개
132,이슬,귀엽고 예쁘고 착하고 어리고 밥도 잘 먹고 완벽하네...,1개
