,youtube_id,comment,like_num
0,회사원A,결국 붙임머리 하고 나서 긴 머리에도 다이슨 에어랩 고데기 해 봤습니다 : https://youtu.be/-r1hzHhOwMA,802개
1,EunCho,44만원 커트 진짜......ㅎ ㅏㅎ ㅏㅎ ㅏ.....단순 커트하는데 4시간 걸리고 결과물도 저 정도라는게 정말로....철학..열정...좋죠 다 좋죠. 근데 결과물 어쩔 거야......볼륨 위해서라고 머리를 긴짧긴으로 해놓는 게 4시간에 44만원 쓰고 얻는 최대한인가 싶으네요. 솔직히 사람 머리칼이 계속 자란다는 점에서 미용실 안 다니는 사람 없을 거고 저도 평생 여러군데 다녀봤지만 저런 커트 첨봤어요.,15개
2,HaneulCho,머리.. 진짜..ㅎ.. 회사원님이 이쁘시니까 저정도 소화하신거지 층.. 진짜.. ㅎㅎ... 세상에.. 할많하않...,1개
3,OoooO,다이슨 저거 머릿결 많이 상한 사람한테 진짜 강추해여 머리 말릴 때도 바람이 쎄서 빨리 마르고  영상에 나온거 처럼 머리 펼칠 때도 편리하고 하 그냥 더이상 고데기 못하는 머리는 그냥 사십쇼 후회 안함,14개
4,뀨뀨달,4:15  안쪽 댕강짤린머리 어떡하냐 진짜......,15개
5,Cri,5:02 그녀의 깊은곳에서 우러나오는 마음의 소리가 들리시나요 ^___^,955개
6,낑깡,"흑흑,,, 회사원님 머리 속에 짧게 잘린 거 볼 때마다 마음이 아파...😭",517개
7,쟌디,머리 층이 너무 많아서 잘 안되는 듯 싶네요ㅠ 머리 44만원주고 한 영상 아직 못봤는데 이거보고 음...4 4만원 실화....?,430개
8,으컁,와...저번에도 댓글달긴했지만...컷트모양 실홥니까......디자이너마다 원하는이미지가 다틀리지만..저희미용실 10명의헤어디자이너분들도 이영상보고 너무놀랐어요ㅠㅠㅠㅠ아무리 볼륨컷트라고 저렇게잘라놓으면 클레임100%인데...,310개
9,SeungMoJung,다이슨 한 3개월썼는데 처음엔 컬지속이 별로였는데 이젠 괜찮아요! 진짜 잘식히는게 중요하더라구요ㅠㅠ 저는 그냥 고데기는 곰손+모발데미지 때문에 쓸수가 없어서 다이슨 샀는데 후회없습니다!,347개
10,Lenas,국밥 먼저 말하실때 ㅋㅋㅋㅋ 나는 오잉 왜 뿌링클로 안하시지 했는데 역시가 역시👍 ㅋㅋㅋㅋㅋ,190개
11,hwy,에어랩 진짜 후회 안해요!!ㅋㅋㅋㅋㅋ특히 생머리 안 어울려서 거의 항상 파마 하시는 분덜!!!!! 솔직히 펌 아예 안 할 순 없고 펌끼는 좀 있는데 다 풀려서 어정쩡할 때 저거 있으면 최고... 저는 이제 없으면 못나갑니다ㅠㅠㅠㅠㅠㅠㅠㅠ원래 일년에 파마 세 번하던거 한 번 하고 에어랩으로 하면 머리가 찰랑찰랑해요 ㅋㅋㅋㅋ 그리고 무엇보다 젖은 머리에 말리면서 동시에 컬 주는 거니까 고데기보다 훠얼씬 시간 단축됩니다!!! 진자 저는 다이슨 영업사원처럼 주변인들한테 영업해여 ㅋㅋㅋㅋㅋㅋ너무 잘 써서 하나도 비싸게 느껴지지 않아요 ㅋㅋㅋ,136개
12,그만봐,안에 짧은 머리 볼 때마다 제 마음이 다 아프네요..... 저거 기르려면.....,103개
13,SOPHIA,언니가 대신 돈 써주니까 알 수 없는 쾌감이..,116개
14,홍연우,난 언니의 뿌링계산법이 나올 때마다 너무 행복해 평생해줘,130개
15,이효진23,언니네쌀롱에서 차홍쌤 다이슨꺼 쓰시는 것 같던데ㅋㅋㅋ 바람으로 말리는거,109개
