닉네임,댓글,좋아요수,날짜
ARIKITCHEN아리키친,"★오늘, 아리키친 공식 온라인 사이트를 오픈했어요★
이제 가정에서도 편하게 아리키친 디저트를 즐겨보세요!
매주 일요일 낮 12시부터~품절시까지! 
많이 놀러와주세요 :)
 *아리키친 온라인 샵 ▶ http://www.aricarons.com
.
Dear. 아리키친 팬분들께
안녕하세요 여러분!!
매장을 오픈하고 가깝고도 먼곳에서 많은 분들이 방문해주고 계신데요.
소중한 시간, 일부러 오랜시간 걸려 방문해주시는 분들하며,
여러 여건으로 방문 어려우셨던 분들을 생각하면 항상 마음이 불편했답니다.ㅠㅠ
'온라인 판매도 됐으면 좋겠어요' 많은 요청으로 사실 작년 겨울부터 부지런히 준비해왔어요.
하지만 매장이며 유튜브 그 외 오프라인 스케줄로 사이트에만 전념할 수 없기에, 또 팬분들이 좋아하시는 아리키친 느낌을 살리고자, 외주에 맡기지 않고 디자인부터 시스템 구축까지- 무에서 유를 창출하는데 정말 많은 시간이 소요됐네요..^^
이미 느끼신 분들도 계시겠지만, 아리키친 유튜브 영상 편집 형식들도 모두 
프로그램에서 제공하는 형식이 아닌 저희만의 스타일로 하나하나 다 디자인 돼서 들어가다 보니 촬영만큼이나 편집시간도 많이 소요된답니다.
팀원들에게 정말 고마운건 5년이 지나도 현실에 안주하지 않고 매일매일 팬분들께 나은 서비스와 품질로 답드리기 위해 노력하는 모습들이 저에게도 큰 원동력이 되네요.
여러분과 함께한지 벌써 5년이란 시간이 훌쩍 지났어요.
아리키친이 오늘날까지 많은 분들의 사랑을 받을 수 있던것도, 다 여러분들 덕분입니다.
ㅎㅎ그런 말 정말 자주 들어요. 제가 꿈빛파티시엘 감딸기 실사버전 같다고요.
처음 들었을 땐 잘 몰랐지만, 이젠 정말 그런 것 같다는 생각도 해봐요 ㅎㅎ
그냥 평범한 회사원이 홈베이킹 취미를 가졌을 뿐인데, 5년사이 수많은 분들의 응원속에 매장도 열고 또 다른 꿈을 꿀 수 있게 되었다는게.
아직도 많이 부족하지만 항상 공부하고 여러분들께 공유하며 조금씩 발전하고 있음을 느낍니다.
전 힘들다는 말 하는 것 보다, 항상 힘나는 말들을 더 많이 하고 싶어요.
꿈을 꾸는 자, 그 꿈을 닮을 것이다. 비온 뒤 언제나 맑음!
꿈을 위해 열심히 노력하는 분들- 용기를 가지고 언제나 맑은날은 찾아옴을 간직하며 무엇이든 다 이루어내셨으면 합니다.
유튜브를 하며 진짜 제가 좋아하는 것들, 그리고 진짜 저의 진심을 알아가고 있습니다. ^^
전 누군가에게 큰 힘이 되었을때, 저 한명으로 인해 누군가 꿈을 찾고 희망을 가질때- 용기와 빛을 발할때 그만큼 눈물나도록 기쁜일도 없는 거 같아요 ㅎㅎ
으악 너무 진지했다. 우리 앞으로도 10년이든 100년이든 함께 나이도 먹고, 함께 성장해나가요!!  사랑합니다 감사합니다!
 
김아리 드림.",258개,2020. 5. 22.
한결,너무 멀어서 못갔었는데ㅜ 소원중에하나가 아리키친 디저트들 먹는거였거든요ㅠ 너무 감사드려요❤❤❤,88개,2020. 5. 22.
요우,너무 멀어서 갈 생각 조차 못하고 ㅠ 맨날 인스타로 구경만 했는데 먹어 볼 수 있는 기회가 생겨서 너무 좋아요 행복합니다ㅠ 물론 내일 살 수 있을진 모르겠지만 산다면 예쁜 리뷰 꼭 남길게요ㅠㅠ!,40개,2020. 5. 22.
총밍,"택배 주문하시는 분들 레드벨벳 마카롱 꼭꼭 주문하세요. 전에 이거 먹고 어떻게 이런 맛이 날까 충격받았던... 정말 전국 곳곳의 마카롱을 먹어봤지만 아리키친님 레드벨벳 마카롱이 제 최애 중 하나로 손꼽힙니다. 코코아파우더가 들어간 꼬끄는 맛만 봐도 좋은 재료를 쓰신다는게 느껴지고 정말 고급스러운 맛이고 필링은 크림치즈랑 화이트 가냐슈 맛이 나서 풍미가 정말 좋았어요. 크림치즈만으로 맛있는데 화이트 가나슈까지 들어가서 입 안 가득 풍미가 느껴지는?
아무튼 정말 짱입니다 아리키친 마카롱ㅠㅠ",64개,2020. 5. 22.
SAICO,10분이면 품절될듯 티켓팅처럼 숨막히려나 막 11시 59분에 새로고침 겁나 하면서 사야하나,52개,2020. 5. 22.
PolarBearKitchen북극곰PD,갹 저도 아리키친 택배 받아보고 싶습니다만~~~,21개,2020. 5. 22.
이보리,"저 어제 생일이여서 아리키친 매장갔었어요ㅎㅎ
매장가면 아주 가끔씩 아리님 볼 수 있다고 하셔서 설레는 맘을 갖고 갔지만...역시나ㅠㅎㅎ아리언니는 워낙 바쁘시니 그럴수있죠..ㅎㅎ
케이크도 기대 이상으로 이뻤어요
어제 마카롱 3개랑 바이올렛이랑 다른 무스케이크 사갔었는데 여윽시 무지막지 하게 맛있더라구요👍👍👍
알바샘님께서 서비스로 마카롱쿠키도 주시고 아이스박스도 서비스로 담아주셔서 좋았어요👏
기회가 된다면 다음에 또 갈게요!
아리님도 요즘 코로나인데 건강잘 챙기시고 힘내세요!😃🤣",25개,2020. 5. 22.
아트레빗ArtRabbit,"오!!!!택배. 인터넷판매 멋쪄버렸어요! 
선착순이라니 매진글자만 보는 거 아닌가 몰라요!
아리표마카롱 고고고!
쫓기듯이 만든 영상이라고 하셨는데 모든 영상이 아름답고 완벽했는걸요?!
아리키친님 영상에서는 언제나 진심이 느껴져요.
볼때마다 행복해져서 하루가 즐거워져요.
존재해주셔서 감사합니다🙂💖💕",25개,2020. 5. 22.
옴뇸뇸,작년인가..재작년인가 ㅠㅠ 아리키친 마카롱 사먹었는데 진짜 제가 이때까지 먹었던 모든 디저트들중에 제일 맛있었어요....... ㅠㅠㅠ 돈아깝다고 아끼지마시고 먹고싶은거 팍팍 다사세요...정말 웬만한 빵집보다 훨씬 맛있습니다....택배로 와도 정말 맛있어요!!! 저는 쿠키나 머랭쿠키...이런거 올리시면 꼭 사먹으려고요!!! 사랑합니당 ㅠㅠ아리님...,10개,2020. 5. 22.
박찬열사랑해,택배되니까 진짜 너무 좋다♥️,14개,2020. 5. 22.
민규소망TV,"너무 먹고 싶었는데 멀어서 못갔는데
인터넷으로 해봐야 겠어요💕",11개,2020. 5. 22.
