,youtube_id,comment,like_num
0,AC,Step 1: have perfect skin,309개
1,liseok,bueno ahora solo me falta tener esa piel JAJAJJAA,236개
2,멍뚱,광채메이크업인데 광채의과정이 안나와있어요.. 스킨케어도 알려주세욤 😭😭,238개
3,luekncalum,She already started with a glowy glass skin lol,35개
4,AmandaTeoh,That’s a perfect glass skin example if I’ve ever seen one..... 😳,85개
5,BiancaRamrez,Todos sus maquillajes le quedan hermosos wey🥺,81개
6,Mai,imagine having skin this dewy,19개
7,Linam,"Yoo, te quedó hermoso como siempre, haz un video de tu rutina de skincare <3",29개
8,VicenteSalvador,"Primer paso: tener piel perfecta
Segundo paso: seguir el tutorial de yoo's xD",40개
9,SUNFLOWER,NO te entendí nada pero luces perfecta y adoro la forma de tus labios 😔👊,54개
10,HK,기초는 뭐 쓰신거에요?,52개
11,syoungH,"저 원래 진짜 이렇게 광 촤르르한 메컵 좋아하는데ㅜㅜㅜ
빨리 코로나가 진정 좀 돼서 마스크없이 요 메이크업 따라하고 싶어요 😭😭😭",36개
12,LuBlink,"OMG,no me importa que no entienda coreano pero te quedo re lindo el look,saludos desde Argentina❤️❤️
Psd:Gracias Yoo por tu corazón en el video anterior",48개
13,MISTY,Jpn subうれしいです！これからもにほんごあるとうれしいです！오우엔 시테마스!!!!!!,5개
14,GinellyChalen,"Eres re linda, lloro brillitos 😭😭✨",9개
15,규민,"아침부터 언니 얼굴보고 힘내라고 이렇게 올려준거예요 ㅠㅠ ???? 😭😭😭 피부랑 눈이랑 입술이랑 전부 너무 예쁜데 언니라서 예쁜갑다,,,, 💕 시국만 지나가면 여름 오기 전에 마스크 벗어던지고 광 도는 화장 참고해서 해볼게요 희희 건강 챙기셔요 🙂🙃💖",48개
16,,"流石にツヤツヤすぎる気が…
汗だくの人みたい…",11개
17,InfiernoIFC,"Ella es hermosa! Pero más allá de eso, alguien sabe porque se dejan la piel tan brillante??? en mi país no se vería lindo y menos en esta época de verano 😞",10개
18,SherryChen,I m so jealous of ur perfect skin 😭🥺,6개
19,EsmeraldaRivero,"Wow, todos tus looks te quedan super preciosos.
Qué linda :3",3개
20,무우D,블러셔 바르는 법 진짜 감탄했자나유ㅠㅜㅜㅠ시간단축 너모쥬아...,30개
21,윤성원,우리 언니 이렇게 빤딱빤딱한 피부표현은 진짜 처음인 거 같아요 결론은 너무 좋다는 말입니다!!!!😘저는 피부 촉촉하게 하고 밖에 나가면 자꾸 날파리 자살 특공대가 제 피부로 달려들고 죽더라고요.... 이번 영상에 나온 블러쉬.. 진짜 요즘 제가 연출하고 싶었던 그런 느낌입니다ㅠㅠㅠㅠㅠ 너무 예뻐요! 그리고 글로스 원래 사랑했지만 요즘 더 좋아졌어요.. 그래서 언니가 준비하고 있는 그 립글로스 기대하고 있습니다😉,17개
22,JenniferKang,스킨케어도 알려주세요 🙏😭,20개
23,귤귤,기초 뭐 발랐는지 궁금해요!!! 완전 촉촉해 보여서✨☺️,23개
24,JarinTasnem,"I love glowy glass skin and it looks stunning on her. Unfortunately, when I do this kind of makeup, I look like grease ball by the end of the day. 😭✨",0개
25,지수원,헐 완전 샤넬 스틱하이라이터랑 비슷하네......비싸서 고민중이였는데 이거 나쁘지 않겠네요...><,7개
26,unicornmcann,I would sell my soul to the devil to look like her,18개
27,JeyJJLuv,😍1등인가욧ㅋㅋ기초머바르신거에요 광엄청나요😘😘요즘 좋아하는 글로우메컵좋아요👍👍,26개
28,kyszkkk,드디어 샤넬 멀티 유즈 글로우 스틱의 저렴이 버전이 나왔군요! 할렐루야,4개
29,홍수진,진짜 피부가 유리알같아요ㅠㅜ 이뿌다...,3개
30,Vivian,"Me encantan tus vídeos, espero los subtítulos en español con ansías cada vez que subes un video💜💜💜",3개
31,둥둥,헉 너무 예뻐요 진짜 넘예뻐여!!!!!!😭,4개
32,해피,우어ㅠㅠㅠ힌스는 립스틱만 써봐서 세도우랑 블러셔 고민하고 있었는데🤍 완전 제스타일입니다🤍 당장사러 갈거예욧!!!,1개
33,,헐 ㅠㅠㅠ  한번쯤 해보고싶은 광채메이크업 ㅠㅠ 너무 예뻐용 ㅠㅠㅠ,1개
34,YLEE,언니 혹시 상의는 어디껀가요??😭😭,10개
