닉네임,댓글,좋아요수,날짜
코저트Cossert,크으 역시 최공❤️,84개,2020. 5. 22.
,У тебя попа не слипнется от такого количества сладкого ?)),4개,2020. 5. 22.
참피디더쿠,언니흑백배경안하시니까 밝아보여서좋아요!!,62개,2020. 5. 22.
SuaKim,프란님 요새 영상 옛날 영상같아서 너무 좋아요 말 크게 하시는거랑 배경이랑 다 좋아요,30개,2020. 5. 22.
뿅,언니 케이크 먹방 뜬거 보고 너무 설레서 바로 들우왔자나 ㅜㅜㅠ,40개,2020. 5. 22.
FelisaYah,오랜만에 케이크 먹방 너무 감사합니다,18개,2020. 5. 22.
아에이오우,장식까지 다 먹어서 너무 좋아진짜ㅠㅠ어후 속시원해라,13개,2020. 5. 22.
스트로베리밀크딸기우유,쵸코쵸코😆😆,24개,2020. 5. 22.
CristinaSilva,"Farsa do come,come,  vcs viram que os corações  do bolo sumiu, assim é o bolo.",2개,2020. 5. 22.
shalkhap,꺄 케익ㅎㅎ 언니의 디저트 먹방 너무 좋아요,32개,2020. 5. 22.
마세은,"달달한 초코케이크가 폭신해보여요..
케이크 한입에 약간은 씁쓸한 아메리카노 한 입 마시면 세상 맛있을 것 같은데..
낼은 초코 조각케이크라도 먹어야겠어요ㅋ",29개,2020. 5. 22.
송선화,손이 참 예쁜 프란님💗,4개,2020. 5. 22.
DeviDevi,Cake 💕♥️🤤,3개,2020. 5. 22.
이은경,"히히, 1등 처음!!😊오늘은 일찍 왔다!!
오늘도 잘 듣고 가요, 내일은 초코케익을 먹야겠어요!!😍😍😍😍😍😍😍😍😍",20개,2020. 5. 22.
,"フランさんこんばんは😃
ハートのケーキ🎂美味しそう😋
ハートのチョコかわいいね～",8개,2020. 5. 22.
고냥냥,"이쯤되면 프란님 구독자들 댓글 반영해주실려고 노력해주시는건가요,,,,❤️ 저번에 케익 푹푹 퍼먹기 요청햇는뎁💕💕",4개,2020. 5. 22.
뮤진,진짜 프란님하면디저트💜요즘매뉴다양해서 넘 좋아요💖,7개,2020. 5. 22.
유투브,초코가 너무 조아ㅠㅠㅠ,4개,2020. 5. 22.
김선희,이케익 발렌타인데이때 받으면~~음~~~~~~♡좋다~~크~~~,3개,2020. 5. 22.
,"久々　スイーツ系⭐️
❤️チョコケーキ　美味しそう❗️ニコニコ食べて　本当　美味しいんだね👍",2개,2020. 5. 22.
Yoona,ㅠㅠ 너무 맛있어보여요 꾸덕한 초코..!!ㅠㅠㅜ 오늘도 맛있게드시는 모습 잘봤습니당🥰,3개,2020. 5. 22.
깔라만시,뒤에배경 먼가 방송 초창기 집느낌나요 ㅋㅋㅋㅋ,9개,2020. 5. 22.
나무,배경과 함께 하트하트한 케이크네용!! 오늘도 감사함다🧡 건강조심하세융,12개,2020. 5. 22.
,💕ﾄｩﾚｼﾞｭ-ﾙの🍫🎂美味しそう✨⤴️🐰💕,1개,2020. 5. 22.
PaOK,This are the videos that make me so damm happy 😍😍😍😍😍. Those cakes are glorious,2개,2020. 5. 22.
짱시로,프란님 케익 먹방은 날 슬프게해~~~ㅠㅠ난 다음생엔 프란님으로 태어나서 케익 배터지게 먹어볼테다~~~~ㅠㅠ침만 질질~~~,4개,2020. 5. 22.
율이,프란님 케잌먹방보고 몇칠전에 진짜 혼자케잌사다먹었어요ㅎㅎ근데 오늘또 초코케잌이네ㅜㅜ🤣,3개,2020. 5. 22.
남칼리,푸석ㅋㅋ....아쉽네여....ㅜ왜 촉촉하지 못한것이냐!,0개,2020. 5. 22.
라면과콜라,"화면 가까이에서 드시니 꼭 내 앞에서 나랑 얘기 나누면서 드시는 것 같아요 
괜시리 설렌다요  ㅎㅎ",9개,2020. 5. 22.
