닉네임,댓글,좋아요수,날짜
홀롤롤롤롤롤,"경희대구너  이쁘다고 생각하는사람
👇",24개,2020. 4. 14.
김준수,"슛포러브 컨텐츠
1. 구너의 브이로그
2. 구너의 회사 소개
3. 구너의 먹방 & ASMR
4. 구너의 Q&A
등등 이게 국룰이다",519개,2020. 4. 14.
강지산,팩트 : 정이수는 화를내도 귀엽다.,507개,2020. 4. 14.
최지호,경구너 정이수 미모 ㄹㅇ 실화냐??진짜 슛포러브 최강자다....옛날에 공던지고 받으면서 구독해주세요라고 하던 순간이 뇌리에스치면서 가슴이 웅장해진다...그러던 이수가 이렇게 된거보니까 진짜 내가 다 감격스럽니다....,479개,2020. 4. 14.
DavidKim,구너님 진짜 컨셉 아니에요 ㅠㅠㅠㅠㅠ 슛포럽 나오기 전에 학교앞 술집에서 외질 원맨팀이라고 놀렸다가 정색하고 몇학번이냐고 그러더니.....읍읍...,99개,2020. 4. 14.
TORRESFernando,"구너여, 독립할 때가 되었다.
당신이 하는 모든 행동이 컨텐츠일것이다.",360개,2020. 4. 14.
떡밥강화,"1. 구너가 FM2020로 아스널 챔스 우승시키기
2. 구너가 유명한 선수 응원가 부르기. (ex. 위쏭빠레)
3. 구너가 각 팀 유니폼 입고 구단 역사와 배출한 유명선수 소개하기.",292개,2020. 4. 14.
GM,요즘 슛포러브 컨셉 좋다. 구너 중심으로 계속 올려줘라.,201개,2020. 4. 14.
hoC,0:31 누나 찐으로 극혐하는 표정이네..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,230개,2020. 4. 14.
박철언,5:52 코 벌렁ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,83개,2020. 4. 14.
공현우,솔직히 이수누님이 찐 구너인 거 알 수 있는 거 하나가 뭐냐면 그게 컨셉이었다면 반통수란 얘기가 나왔으면 평온했을 텐데 찐이면 화부터 냄 ㅋㅋㅋ,52개,2020. 4. 14.
duddjarl,형 원희형이랑 같이 인생 자책골 재연해줘,61개,2020. 4. 14.
우정원,7:45 ㅋㅋㅋㅋㅋㅋㅋ,60개,2020. 4. 14.
박현지,8:35 업계포상,70개,2020. 4. 14.
KwantaeKIM,05:53 콧구멍ㅋㅋㅋㅋ,38개,2020. 4. 14.
김범준,8:50 야 누가 우리 경희대구너 외모를 까냐 대체,37개,2020. 4. 14.
도라에몽,"6:26 답변 : 그럴 수 없다. ㅇㅈ? 
친구들한테 구너 보여주니깐 다들 알아서 구독버튼을 눌렀다 한다,, 
역시 그녀는.. 슈퍼조커 정이수..",50개,2020. 4. 14.
Eloz즐겜,2:38 구너에게 공 던져주고 푸욜 앞에서 노래도 불렀던 슛포러브의 가장 초창기 PD 였지만인지도가 낮아서 군대 갔다온..,58개,2020. 4. 14.
커몬요,"슛포럽 피디님들 모아놓고 마피아겜하기
이수님한테 밸런스게임하기
구독자 곧 120만명 기념 QnA받기",42개,2020. 4. 14.
TheDK,모스타tv 박모씨처럼 반페르시를 사랑하는지 물어봐야 하는거 아니였나?ㅋㅋㅋㅋ,53개,2020. 4. 14.
준혁,10:39 왤캐 귀여워 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6개,2020. 4. 14.
오리,9:53 누님 제가 정말 좋아하는데 이건 진짜 아닙니다. 선 넘지 마십시오... 으딜;;,30개,2020. 4. 14.
정진우,구너누나 한번 연예인처럼 꾸미고나와줘 연예인처럼 꾸민거 보고싶어  지금도 예쁜데 얼마나더 예뻐질까,11개,2020. 4. 14.
하하하,구너님의 역대급 NG올려주세요ㅋㅋ,28개,2020. 4. 14.
포수,10:59 구너와 아이컨텍 ㅎㅎ,8개,2020. 4. 14.
룡이,경구 ㅈㄴ 귀여운데 뭐라라지  나쁜것들 ㅠㅠㅠㅠ,20개,2020. 4. 14.
유민호,10:05 공식 유로파 홍보대사 경희대 구너!!!,12개,2020. 4. 14.
두나,03:26 개호탕ㅋㅋㅋㅋㅋㅋㅋ,9개,2020. 4. 14.
YeonungKim,"이수님 잇지, 블랙핑크 얘기할 때 진짜로 콧구멍 벌렁거리시네 ㅋㅋㅋㅋ 어쩜 이리 뭘 해도 귀여우실까",7개,2020. 4. 14.
