,youtube_id,comment,like_num
0,김수정,"지나가던 수의사입니다. 몇몇 댓글에 강아지 고양이 이야기가 있어 답글 남깁니다.
자일리톨은 아주 소량만 섭취하더라도 강아지 고양이 모두에서 극심한 저혈당증으로 혼수상태나 간질성 발작을 야기할 수 있고 영구적 간손상을 일으킬 수 있는 독물입니다. 절대로 방치하시거나 조금이라도 뒤져서 먹을 수 있는 곳에 두시면 안됩니다. 
강아지의 경우 특히 단맛을 좋아하기 때문에 뒤져서 먹고 응급상황으로 내원하는 일이 종종 있습니다. 사람한테는 완전 무해하지만 강아지 고양이에게는 흔히들 생각하시는 초콜릿이나 양파보다도 더 위험하니 부디 보관에 조심하시기 바랍니다.",32개
1,김신정,과민성대장증후군 있으신 분들은 자일리톨 같은 톨로 끝나는 당을 피하셔야 돼요! 고 포드맵 음식이라 복부팽만 올 수 있어요.,18개
2,DonggunKim,자일리톨 탄산수 저렇게만 드시지마시구 라임이나 레몬 넣고 짜주신 다음에 거기다 얼음 탄산수 자일리톨 넣으면 뿅가요 ㅎ 라임 넣고 민트까지 넣으시면 완전 청량한 버진 모히또맛나니 꼭 드셔보세요!!,16개
3,레옹이love,강아지키우는분들은 조심하세요.자일리톨이 강아지에게 치명적이라고합니다.혹시나해서 댓글달아봅니다,951개
4,다암지,올리브영에 파는 퍼지락캔디라고 자일리톨 사탕있는데 그것도 순수 자일리톨이예요!,679개
5,할라트,자일리톨.솔비톨 등 톨로 끝나는 당알코올은 저희 몸에서 분해와 흡수가 힘든 구조라서 다량으로 섭취시 설사와 복통을 유발하니까 적당량만 드셔야 해요 꼭!!! 많이먹는다고 좋은게 아닙니다ㅜㅜ,77개
6,정초송,"한국어 자막 넣어주세요,,,, 세상에는 다양한 사람이 많습니다",71개
7,HereandNow지금여기,비건식을 하면서 설탕에 관심있어서 공부하던 도중 개가 자이리톨 먹게되면 치명적이라는걸 알게되었어요 반려견 있으신분들은 주의하셔야 할듯해요ㅠ.ㅠ 또 자일리톨은 많이먹으면 설사나 소화기관에 부담이 올 수 있기때문에 너무 많이 드시진 마시구요. 적절히 발란스를 잘 맞추면 정말 좋은 설탕 대체제라고 생각합니다:),534개
8,bubsittabebesitta,"최근 연구에 따르면 자알리톨은 다이어트 콜라에 들어있는 아스파탐과 함께 인슐린 수치를 올릴 뿐만 아니라 장내 유익균을 파괴하고 Neurotoxin 으로 뇌에 독이 되는 성분으로 밝혀졌어요. 달리 말하면 장기 복용시 살찌고 배에 가스차게 하고 대사성 질환 일으키고 우울증, 정신장애를 일으키거나 나중에 치매까지 걸리게 해요. 한국은 아직 영양학에 관한 의사들의 인식이 부족하고 이 분야에 연구논문이 부족할 뿐만 아니라 아직 외국에 전문 서적을 빌려와 번역해야 하는 현실이라서 대중의 인식이 부족한데요. 솔직히 말씀 드리면 이런것 드실 바에야 차라리 설탕 드세요. 이런것 계속 먹다보면 대사기능 뿐만 아니라 나중에 뇌기능 까지 영향 미칠 수 있어요.   자알리톨, 소화기가 예민 하신 분들은 조금만 드셔도 가스가 차거나 바로 화장실로 달려가셔야 해서 전문 지식 검색하지 않아도벌써 꺼림직 하게 느끼실 거에요. 꼭 설탕 대체 식품이 필요하시다면 erythritol 이나 monkfruit extract 이 안전해요......엄마들이 애들에게 이런 것 먹인다니 경악할 소식입니다. 차라리 과일 주스 얼렸다가 주는게 났지....",298개
9,박정민,뭔가 애니타임 사탕에서 나는 달달한 맛이랑 비슷할 것 같아요,35개
10,쩨이니,"저는 난소기능저하로 시험관시술을 시작하면서 난소에 설탕, 당이 너무 안 좋다는 걸 알게 되었는데 원래 초콜렛, 사탕, 젤리등을 너무 좋아했던지라 억지로 참고 참다가 폭발해서 당분 무한 섭취하곤 했어요... 그나마 음식할때 설탕, 올리고당, 물엿대신 아가베시럽을 쓰는정도?? 유나님 설탕끊기프로젝트 눈여겨보고 있어요~ 얼른 영상 업로드되면 좋겠네요ㅎㅎ",98개
11,전혜미,밀가루 끊기도 해주세요~~,85개
12,차슬기,탄산수에 자이리톨 타먹을거면 그냥 제로콕 마시면 될듯 그것도 가짜당 들어가는거라,26개
13,강미,저두 두분 도전한다는 영상 보고 시도하려고  보니 먹을게 너무 제한 되서 할지 말지 아직도 고민중이에요ㅋㅋ,64개
14,EliRodriguez,"Xylitol is great. Closest taste to sugar. Just be cautious of how much you intake, especially in the morning, as it can cause a laxative effect in some people.",64개
15,가까이행복은,자일리톨 가루 어떤 브랜드 거 사용하셨는지 알 수 있을까요?:-),74개
16,노각is포이즌,그그 애니타임 사탕 가운데부분 그거랑 비슷할려나요?! 맛있겠당,13개
17,이소연,"자일리톨 크리스탈 , 자일리톨 분말 중 뭘 써도 상관 없는건가요??",10개
18,심열,배우 이시영 닮으셨어요~^^ 4년전보다 지금이 훨씬 예쁘고 동안이에요 어쩜 이래용ㅜㅜ 피부 너무좋으세요,8개
19,그루진,"저의 엄마가 당이 심하신데 저거 자일리톨 사탕 만들어서 선물해드리면 좋아하실거 같아요!
좋은 정보 감사히 얻어갑니다",53개
20,SeulBeeLee,마지막에 고구마 접시 밖으로 떨어진거 드시는거 너무 인간적👍👍 유나님 더 좋아하게 됐어요 ㅋㅋㅋ,8개
21,HoonHeeJung,"당뇨있는 친구한테 만들어서 선물해줘야겠네요~
영상 고마워요~^^!",8개
22,쯔버니,양치를 하고 뭘먹는다는게 익숙하지 않아서 그런데 양치하고 자이리톨 사탕 먹고 자도 괜찮나요?,39개
23,JudyYong,저도 올해 설탕끊기 하려고요. 영상 잘 보면서 같이 끊어볼게요. 감사해요,11개
24,추장고,이시영닮았다,12개
25,강채린,"탄산 먹고 바로 양치하는게 이에 엄청 무리가 간다고 하더라구요!!! 저는 전문가가 아니라 잘 모르지만, 탄산+자일리톨이 이에 무리가 가진 않을지 조금 염려돼용!! ㅠㅠ 저는 정확하게 잘 모르니 유나님이 확인해주시면 좋을 것 같아요❤️",27개
26,김윤희,마트에서 파는 자이리톨설탕?이라고 1키로씩파는것과 자이리톨분말이랑 다른건가요~??,2개
27,뚜비뚜밥,유나님 원래 예쁜데 이번 영상에는 더더 예뻐 보이는~~^^ 완벽하지 않지만 의식적으로 저도 계속 백설탕 줄이고 있습니다ㅎㅎ 늘 건강한 영향력을 주는 유나님 화이팅!~^^,24개
28,Laura,"와, 자일리톨이 먹으면 시원해지니까 이 사탕도 그러나 보네요! 색도 투명하면 진짜 얼음사탕이라해도 되겠어요ㅋㅋ하얀 지금은 눈사탕일까요?ㅎ 틀에 부어서 넘치면 알파벳 사탕처럼되니 그때는 스페출러로 쭉 밀면 빈틀에도 들어가고 깔끔하게 될 것 같네요! 내일 당장 주문해서 만들어보고 싶어졌어요. 좋은 정보 감사해요! ^♡^",11개
29,이수빈,퍼지락 먹었었는데 이제 만들어서 먹어야 겠어요😭♥️,6개
30,쩨이니,혹시 설탕없이 김치 만드는 법도 공유해주시나요? 설탕없이 만든 반찬들 레시피도 올려주시면 넘 좋을 것 같아요~,3개
31,지민이형키겁나작고,"저 이빨이 정말 많이썩고
약한 학생입니다ㅠㅠㅠ
진짜 이거 먹어도 이안썩나요??
맞디ㅏ 그리고 암환자나 몸이안좋으신분들도 섭취가능할까요??
할머니 선물로도 좋을거같아서ㅠㅠ
제발 답변부탁드려요ㅠㅠ",13개
32,특별한지혬,"당화현상을 설탕끊기로  줄이는것같은데 서노님은 왤케ㅋㅋㅋㅋㅋㅋㅋ누ㄹ... ㅋ 피곤해보이됴??
뽀얀유나언니 옆이라 더 그래보이는건가요ㅋㅋㅋ",20개
