닉네임,댓글,좋아요수,날짜
,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ코로나야 너 대체 정체가 모길래 우리 갱상도 화장쟁이를 이러켘ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,35개,2020. 4. 1.
강혜민,정지훈은 보아라. 네가 우리 효진 언니를 이렇게 만든거다.,38개,2020. 4. 1.
진이,"저도 요즘 1일 1깡하는데 저희엄마는 진심으로 제가 잘하는줄알고 할때마다 박수쳐주고 구경해요....
그래서 할 맛 나요",403개,2020. 4. 1.
김DH,무슨일인지는 모르겠지만 오랑우탄씨와 합의 잘 하셨음 좋겠습니다,12개,2020. 4. 1.
노란도라에몽,"00:34 그녀가 아랫입술을 깨물은 순간,, 미약하지만 소중한 깡나무가 자라고 있다는걸 깨달았다,,",15개,2020. 4. 1.
뚱아복,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 진짜 환호성 소리 들리니까 엄청 잘춰보임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,733개,2020. 4. 1.
이운주,"1) 효진 언니 재간둥이 꾸러기 표정을 지었는가?
2) 곧츄에 손을 댔는가?
3) 볼에 키스마크가 있는가?
4) 화려한 조명이 비췄는가?
💯💯💯💯",13개,2020. 4. 1.
70,아 어떡해...우리 갱상도 화장쟁이님까지...코로나 개샠히...사람들을 미치게 맨들고 있어...,425개,2020. 4. 1.
Electronics,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이러다 진짜 깡 챌린지 유행하는거 아니에요?ㅋㅋㅋㅋㅋㅋㅋ,869개,2020. 4. 1.
윤윤,호박전시현을 이을 또 한 명의 깡Rain이 탄생했다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,285개,2020. 4. 1.
아공vlog,언니야 ㅋㅋㅋ 이러는 이유가 있을거아니가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 난 그냥 언니야가 너무 좋다 ㅋㅋㅋ,788개,2020. 4. 1.
SeohaPark박또하,오랑우탄 같으면서도 이병헌 의수가 생각나는건 뭐지.... 아 진짜 넘웃겨욬ㅋㅋㅋㅋ 미치겠다 별들아...⭐️⭐️⭐️,740개,2020. 4. 1.
ILoveBTSARMYForever,"I'm thinking about who are u
and y did I subscribed u😂😂😂",20개,2020. 4. 1.
리나쓰,아니 언니 왜 이렇게 된거럌ㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ젠짜 언닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 힘이 나잖앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,199개,2020. 4. 1.
박진영,젊은 사람이 어쩌다...,47개,2020. 4. 1.
홍토리,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥불태웟다🔥🔥🔥🔥🔥🔥🔥,176개,2020. 4. 1.
원에,내 거친 생각과...불안한 눈빛과.....,223개,2020. 4. 1.
김나연,구독자 100명 빠져나간게 실화냐며ㅋㅋㅋㅋㅋㅋㅋㅋ우런니 깡춤이 뭐가 어....어때서!!!!,140개,2020. 4. 1.
PinkAmy핑크에이미,1:12 좀 부족해도 돼요 언니..,321개,2020. 4. 1.
hamzapn,This was recommended for me,54개,2020. 4. 1.
한희정,0:56 심지어 응원이 조효진이라고 들리는거같아 ㅋㅋㅋㅋㅋㅋㅋ,62개,2020. 4. 1.
까미,"화려한조명이있는가O
사타구니를 쥐었는가X
어깨뽕을넣었는가O
개구장이표정지었는가X
총평 50점",7개,2020. 4. 1.
신반달,대체 무슨 시점이죠? 이건 마치 키우는 강아지가 주인이 하는 행동이 무서워서 책상에 숨어서 보는 그런 시점이군요,15개,2020. 4. 1.
수현,0:57 언니 무서워요,69개,2020. 4. 1.
하영,아앀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비 깡 노래 뮤비 진짜 너무 웃겨서 가끔 보는뎈ㅋㅋㅋㅋㅋㅋㅋ 언니가 춘 거 개웃곀ㅋㅋㅋㅋㅋㅋ 심지어 안무 어설프지만 비슷해ㅌㅌㅋㅋㅋㅋㅋ아 오랜만에 비 깡 보러 가야겠닼ㅋㅋㅌㅋㅋㅋ(여러분 비 깡 뮤비 보세욬ㅋㅋㅋ ㅋ리얼 거기 댓글도 다 웃깁니닼ㅌㅋㅋㅋ),25개,2020. 4. 1.
아이엠요구르트,구독자 줄은거 개웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ쿠ㅜㅜㅜㅜㅠㅠㅠㅠㅠㅠ,5개,2020. 4. 1.
집요정,"아 언니 화면 연출, 특수 효과 다 너무 완벽하잖아옄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",39개,2020. 4. 1.
이현지,0:55 좀비출현,70개,2020. 4. 1.
존나맛있겠다,"""깡"" 그 자체가 되어버렸다 
"" 조 "" "" 효 "" "" 깡 """,15개,2020. 4. 1.
MichaelScofield,개웃겨진짜ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ중간에 신들린거 같아서 섬뜩한데 개웃김 효진슨배릠 ㅠㅜㅠㅠㅠㅜㅜㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 😂😂❤️❤️❤️❤️❤️❤️❤️,43개,2020. 4. 1.
도라지,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",31개,2020. 4. 1.
유람이Yurami,0:57 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아언니ㅠㅜㅠㅠㅠㅠㅠㅠㅠㅠㅠ,50개,2020. 4. 1.
예주,2일차에는 화려한 조명이 효진언니를 감싸는 것까지 볼 수 있길,7개,2020. 4. 1.
이소망,ㅋㅋㅋㅋㅋㅌㅌㅌㅌㅌ이분은 진정한 인싸구나...즐길줄을 아는자!!!!!,28개,2020. 4. 1.
두식이,0:11 왜 책상 잡고 일어나는뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,41개,2020. 4. 1.
야놀자,이렇게 갑자기 올리신다구욬ㅋㅋㅋㅋㅋㅋ??!?그럼 감사합니다(넙죽)❤️❤️❤️❤️❤️❤️❕,20개,2020. 4. 1.
로옹,아 언니 개웃겨ㅠ죽을 거 같아요ㅠㅋㅋㅋㅋ 언니랑 다른 세계 사람 같앗는데 언니가 깡 본다니까 갑자기 현실성 돋아버림 ㅠ 예랑가랑 유투브 채널의 깡 패러디도 레전듭니다ㅜ봐줘요,15개,2020. 4. 1.
황여온yeoon,중독 되서 또보는 사람 나뿐이냐고 (억울),6개,2020. 4. 1.
HYEBBEUM혜쁨,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아씨 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진효조 미쳤다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2개,2020. 4. 1.
새빨간볼춘기,무슨 일인진 모르겠지만 비랑 원만하게 푸시길 바라겠습니다.,4개,2020. 4. 1.
