닉네임,댓글,좋아요수,날짜
금붕어에케,"사장님들:ㅅㅂ..
우리:ㅅㅂ..
애플:ㅂㅅㅋㅋㅋㅋㅋㅋㅋㅋㅋ",11개,2020. 5. 9.
배진영,유익합니다 그치만 이미 사붙여서 다 뜨고 난리...,387개,2020. 5. 9.
맑음SUNNY,아이폰 se2로 들뜸 현상이 일어난 필름을 붙이고 이 영상을 보고 있는 기분이란...,41개,2020. 5. 9.
서종현,7/8 과 다르게 se2 모서리쪽 굴곡이 좀 더 심해서(?) 끝쪽이 뜨는거에요!!,7개,2020. 5. 9.
민성이의롤계정,형 강화 유리가 아까워 ㅜㅜ 좋은거 알려줘서 고마운데,71개,2020. 5. 9.
빨간맛RedFlavor,흑우 카카오키보드 사신분들 좋아요,972개,2020. 5. 9.
돕2,???: Life is 끝,48개,2020. 5. 9.
das,풀커버는 왜 다 색을 입혀서 나오는지ㅠㅠ 풀커번데 테두리까지 투명한거 없나...,73개,2020. 5. 9.
,0:33 증저가가 80만원....lg 화이팅,13개,2020. 5. 9.
이충인,"아 진짜 아이폰 se2라고 써있어서 샀는데 보니까 7,8전용이아고 써있었음ㅡㅡ 그래서 지금 옆에 공간 오지게 뜸",77개,2020. 5. 9.
서울KingGod,보호필름을 샀지만 미묘하게 맞지 않아 빡친 킹섭,530개,2020. 5. 9.
taewookoh,"삼성: 보호필름 부착할 때 필름이 뜨잖아? 빨리 수정해!
LG: 가전제품에 이상 있으면 빨리 수정해!
애플: 돈드니까 수정하지마!",18개,2020. 5. 9.
HigHLighT,잇섭님 개인적으로 긱벤치 이런 프로그램에 대한 소개..? 싱글코어 듀얼코어 초보자? 초심자? 입문자 들을 위한 쉬운 설명 영상 한번 찍어주시는건 어떨까요..?,14개,2020. 5. 9.
김태연,킹지는 그저 “명예로운 죽음” 당한거다....,19개,2020. 5. 9.
핳파,0:35 우린 재밌지만 저쪽은 피튀기고 있을듯 ㅋㅋㅋ,22개,2020. 5. 9.
박서연,저 모르고 그냥 붙여서 호구됐네여ㅋㅋㅋㅋ,17개,2020. 5. 9.
디더,10:07 강화유리회사들이 흑우 만들어줬는디 혼자만 흑우 되겠다는 흑우,23개,2020. 5. 9.
EEFly,따이드가 더 뜨는 것 같습니더ㅋㅋㅋㅋㅋ,3개,2020. 5. 9.
퉁퉁이,형 영상 비율 아주 칭찬해..!!,3개,2020. 5. 9.
배기바지,화면 곡률때문에 필름호환앋된다던데 레알이었네...,289개,2020. 5. 9.
호이,"처음 딱! 소리 너무 중독성 있다....
0:03",46개,2020. 5. 9.
박익명,오늘 붙였는데......영상을 늦게봤네요ㅠㅠ 어쩐지뜨더라,3개,2020. 5. 9.
albatross,형 느그벨벳도 얼른 리뷰해줘 엘지가 언제까지 똥싸댈지 너모 궁그매,3개,2020. 5. 9.
클린맨,형 인트로 따로 회의하는거야??ㅋㅋㅋㅋㅋ,1개,2020. 5. 9.
킴탬,진짜 형처럼 영상 비율 맞춰주는거 너무 섬세해 :),359개,2020. 5. 9.
현이,눈팅하는 시청자인데 핸드폰 매일 가져오는거 보면 (졸라부럽다.) 흠흠,32개,2020. 5. 9.
KevinKorean,잇섭님 옛날부터 눈팅만 한 구독자에요. 하나만 부탁 드리고 싶은데 혹시 se2분해 언제 하나요,4개,2020. 5. 9.
마인크래프트용,아 이미샀는데 ㄴㅇㄱ... 암튼 감사합니다,1개,2020. 5. 9.
권도영TRAINZMaster,10:46 나만 그렇게 생각한게 아니구나 ㅋㅋㅋ,0개,2020. 5. 9.
sso,"ㅠㅠ 와 진짜 도움됩니다 어머니께서 바꾸셔서 알아보고 있는데 후기가 안좋길래 보류해뒀는데 잘 알아보고 사야겠어요 ㅋㅋㅋㅋ 케이스도 얼른 사야지,,",142개,2020. 5. 9.
흐음,아이폰8 스그인데 강화유리 들뜸현상 짜증나서 그냥 액상점착 강화유리 사봤는데 좋음 일반 강화유리보다 몇천원 정도만 더주면 되니까 한번 써보는걸 추천함 화질도 더 뚜렸하고 완전 만족중ㅎㅎ,2개,2020. 5. 9.
FuckYou,"2:10 생간다는 X
생긴다는 O",1개,2020. 5. 9.
직박구리,형 맥북 에어는 보류중인 거겠지..? 너무 보고 싶어ㅜㅠㅠㅜ,0개,2020. 5. 9.
둥이둥이,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ중간에 산으루 간거 먼뎅ㅋㅋㅋㅋ,1개,2020. 5. 9.
talkKBL,ㅋㅋㅋ 요새 중저가폰시장 참ㅋㅋ,2개,2020. 5. 9.
홍튜브포메라니안홍시89년전,진짜...잘알아보고 사야겠네요. 좋은영상 감사합니다!,1개,2020. 5. 9.
김연지,이거 진짜 8 사이즈 유리는 옆에 모서리 뜨더라고요ㅜㅜㅜㅜ,0개,2020. 5. 9.
청월,2:20이거 레알 꿀팁이다 나 먼지땜에 어케빼나 하고 있었는데 이거보고 따라하니까 먼지 빠짐,23개,2020. 5. 9.
choiTK,형 그래서 nfc스티커리뷰는........,45개,2020. 5. 9.
뚜뚜의슬기로운옵치생활,"ㅋㅋㅋ아나 앞에 동영상에서 슬픈영상봤서 울었는데..
들어오자마자 겁나웃었어욬ㅋㅋ",0개,2020. 5. 9.
김영준,형... 혹시 요즘 가성비 좋은 스마트폰 리뷰.. 가능할까요? 대학생되고 3년 쓴 아이폰 6 탈출하고싶은데 형 조언 듣고싶어요 ㅠ(아이폰 SE2는.. 절레절레),1개,2020. 5. 9.
BlackJ,빅쏘도 진짜 빠르게 se용 강화유리가 나왔는데 가격도 착함 가성비 원하시는 분들은 추천,8개,2020. 5. 9.
minussong,ㅋㅋㅋㅋ 이미 강화유리 사서 붙였음 ㅋㅋㅋㅋㅋ사이즈 안 맞음 ㅋㅋㅋㅋㅋ다시 사야됨 ㅋㅋㅋㅋㅋㅋ,1개,2020. 5. 9.
승기몬,Lg:life was good......,348개,2020. 5. 9.
오아오,베젤이 있는 제품에 풀커버를 선호하지 않으시는 이유가 뭔가요?? 뭔가 단점이 있나요?,1개,2020. 5. 9.
,3:27 아니 인상은 왜 계속 쓰고있는데 하...,0개,2020. 5. 9.
루룰,인트로 최강이다 ㅋㅋㅋ,1개,2020. 5. 9.
봉봉,어쩐지 뜨더라 ㅠㅠㅜㅜ,0개,2020. 5. 9.
정재훈,lg벨벳은 논외로 치죠 ㅋㅋ,103개,2020. 5. 9.
정희선,항상 뭐 사기 전에 형 영상부터 보고 사는 듯; 진짜 일류다...,39개,2020. 5. 9.
whitek,6:48 저는 왜 케이안 붙이니까 터치가 잘 안되죠 ㅠ,16개,2020. 5. 9.
쭈꾸루,"아... 이 영상 보고 제 se2 액정 보호 필름이 뜬 이유를 알았습니다.
처음에는 제가 잘못 부착 한줄 알고 꾹꾹 눌렀지만 저렴한 액정 보호 필름(두께가 두꺼움)을 사용 하니
잇섭님이 설명 하신것 처럼 더 많이 뜨더군요. ㅎㅎ
일단 차후에 발매 하는 se2전용 보호 필름이 나오면 그때 다시 바꿔야 할거 같습니다. ㅋ",1개,2020. 5. 9.
HullSanta,아이폰은 아직 안와서 안 붙여 봤는데 망이군요 ㅜㅜ. 괜히 먼저 강화유리를 샀나 봅니다. 윽~!ㅠㅠ,0개,2020. 5. 9.
대니는사람이다,"00:01 ""HE IS FAT""",0개,2020. 5. 9.
AucklandNewZealand,좋은 영상 감사 합니다 :),1개,2020. 5. 9.
블랙애플TV,"아이폰SE2 용으로 샀는데 들뜸현상이 있습니다...
벨킨으로 가야 하는가? ㄷ",1개,2020. 5. 9.
이유진,ㅜㅜ 주말에 사서 구매취소 했슴댱ㅠㅠㅠ감사해요,0개,2020. 5. 9.
작작질러,"애플이 그럼 그렇지 ㅋㅋㅋㅋ
호환되게 만들어줄줄 알았냐??메롱",106개,2020. 5. 9.
뀨뀨,잇섭님 링크 알려주세유ㅠㅠㅠㅠ,0개,2020. 5. 9.
오소리,9:43 he is still seoul @ex king,0개,2020. 5. 9.
taijiboy,갤럭시는 진짜 기본 필름이 제일 좋습니다!!!,21개,2020. 5. 9.
기민,2:12 생간->생긴,0개,2020. 5. 9.
호이,아 .. 이 영상이 어제 올라왔었더라면 ㅠㅠ,1개,2020. 5. 9.
이한빈,형 se 1세대 언제 언박싱해요ㅠㅠ,0개,2020. 5. 9.
