,youtube_id,comment,like_num
0,Jella젤라,최선을.. 다해.. 흔들었습니다.. 빵댕이...,690개
1,수빵,"언니 좀 삐그덕거려도 얼굴이 다해서 괜찮아요,,",268개
2,DeaClaraDevina,"For a -not-so-called-dancer, i think she did a good job eventhough it seems like she tried to remember the moves while dancing. She has back dancers, would be nice if she could make her own stage without 100% dancing. Love xoxo",12개
3,음슴,"96년생인데...솔직히 저 노래들 수련회, 체육대회, 축제 때 안춰본 춤 없다...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
젤라님 덕분에 추억소환하고 가욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",175개
4,nxxo,애는 내가 낳았나 언니 몸매 뭐야..❣️,115개
5,댄스팀유에이UA,"안녕하세요 ! 이번에도 함께 한 유에이 입니다 :)
이번 영상은 90년생들 쏴리질러🤟🏻🤟🏻🤟🏻
안무,의상,메이크업 모두 다 찰떡인 영상 보시고 좋아요 꾸~욱 눌러주세요 ❤️😍❤️
저희 유에이 채널에 신곡 댄스영상 업데이트 꾸준히 하고 있답니다 ! 구경하러 놀러오세요 ! 💎

p.s) 12곡 소화하느라 고생해쪄여 언니...🙊💕",134개
6,조은지,뭔가 엉성한데 잘추는듯하면서 매력있는 울언니.. ღღ,120개
7,숨이,"진짜 많은 곡을..심지어 음악 컨셉별로 의상,헤어, 화장까지 다 다르고...
춤도 다 소화해내시고...
진짜 감탄 밖에 안나오네요ㅜㅜ🤭👏🏻👏🏻👏🏻
너무 멋져요👏🏻👏🏻👏🏻",162개
8,A24STUDIO,촬영과 편집에 참여한 A24 Studio 입니다! :) 새벽까지 6시간 넘게 촬영하셨는데 힘든 티 하나 안 내시고~ㅜㅜ 고생 너무 많이 하셨습니다! 영상 재밌게 봐 주세요!! :),118개
9,SabrinaBlair,"You are a good dancer, i just hope you have a bit more energy and attitude, in some parts you look like you're uncomfortable, just go ham girl",10개
10,CharmeelainDasico,I didn't know she can dance. WTF!,15개
