,youtube_id,comment,like_num
0,쟈가비,7:00 머리묶는 법 시작,32개
1,댕누,진짜 내가 본 무쌍증에 젤 예뻐...,62개
2,읭,곱창끈 & 집게핀 어디서 샀는지 알려주세요 !!,92개
3,rookieivi,Cómo podés tener el pelito tan suavecito y sedoso después de teñirlo tanto de tantos colores? <3 super cute !! always,44개
4,AlamandaF,"I've been really wanting to do low bun hairstyle but I can't finally a tutorial...,waiting the engsub ❤️❤️❤️",13개
5,MartinVizcarra,"Mi madre siempre se ha hecho esos peinados y a mi me parecían aburridos, pero ahora que lo veo, en ti se ven genial! creo que lo intentaré 🥰🥰",23개
6,정진아,이럴 수가••• 나 머리 자르고 이런 영상 올리면••• 나 운다••• 유후들 옵챗에서 다 언니 영상만 기다렸어••• 우리 짱 귀엽지••• 언니 코로나 조심해••• 우리 지역 청정이였는데••• 확진자 나와서 멘붕••• 짱 사랑해 💖,39개
7,Vivian,"No entiendo nada pero me encantan tus vídeos, es agradable despertar y ver la notificación de que subiste video.
Espero los substitulos💕Saludos desde Chile 💜",33개
8,soberry,아니 또 내가 거지존인거 어찌알고 진짜 역시 언니가 최고야 언니없이 못살아 진짜 싸라매요 🤍🤍 그리고 세삼 언니 손톱 깜찍슨이다 .. 🤍 아 언니 막 한시간짜리 영상 해줄수 있나요.....?  짱짱 긴 .... 엄청난 긴 브이로그나 긴 아무영상 원해요 ... ✨🤍,29개
9,김희연,"언니ㅜㅜㅜㅜ너무예뻐ㅜㅜㅜ
이런거봐도 똥손이라 못하지만ㅜㅜ
언니를 10분 보는구라면 최선을 다해 따라해볼게ㅜㅜㅜㅜㅜ",17개
10,김현지,"후 언니 말할 때 입술 움직이는 거 왜 귀엽죠,,, 그 뭐라 말할 수 없는데 그 뭐냐 옴뇸뇸 거리는 귀여운 그런 하여튼ㅠ 귀여워서 시선강탈이에요ㅠ🤭 진짜 매력적이에요💜",17개
11,고냥이악개,"대충 묶어도 이뻐보이는 이유: 예쁜 얼굴
제가 하면 망나니 머리같을거같아용 😌
집게 머리핀.. 나이들어 보이는 아이템이라 생각했는데 이 언니가 하니까 힙하고 핫해 보여요..",3개
12,Seronoser,"Te queda todo perfecto. ¡No puedo creer el parecido tan grande que tienes con Angelina Jolie, wow! ♥️♥️♥️",5개
13,새파랑,온니 맨투맨 귀여운데 어디꺼에요?,12개
14,여니,언뉘.. 언니 사랑한다고 외쳐서 아랫집에서 답해줫어.. 히주언니사랑한다고.. 언니사랑해애액!!!,8개
15,정어진,저녁 목으면서 희쥬언니 영상보기•••❤️ 소확행 확실 ㅠ,7개
16,양지원,희쥬온니 분위기 뿜뿜이자너🙊얼른 실물 영접하고싶다ㅜㅜ,4개
17,권민지,왕 댓글 1 ㅜㅠㅠㅠㅜ,5개
18,crownxeyesx,you're so great. ♡,3개
19,KarelisGarcia,"Bella como siempre, no entendí el vídeo pero aquí estoy nuevamente. ♥",6개
20,든귀,에엥 히쥬씨 이거 진짜 데스티니 아니지? 요새 집게삔에 꽂혀서 하나 샀는데 내가 하니까 암만 해봐도 나루토 머리밖에 더 되서 어찌할까 만지작 거리고 있었는데 이렇게 유용한 영상 들고오기야??유후들맴 옅보는언니 진짜사랑해,6개
21,오늘도밤샘,언니 머리묶으니까 부잣집 첫째 딸의 고급ㅂ스러움..ㅠㅠㅠ ㅜ슨ㄴ말인지 저도 모르겠지만 그렇다구요...💜,1개
22,김미애,공부하다가 쉬는시간에 언니 영상보는게 완전 힐링되여ㅎㅎ❤️ 진짜 언니 이번에 염색한 머리컬러 제 최애가 되어버렸어여..ㅠㅠ 그래서 염색 뿜뿌오는데 계속 고민둥이라는고..ㅎ 오늘 알려준 꿀팁들 감사해여!!❤️,2개
23,Yeonju,"희쮸,,,당신,, 너무 사랑해",2개
24,ming,희주언니..오늘도 역시 조녜탱구리구리구리💕😳,2개
25,이이런,희주님 말하는거 너무 예뻐요ㅜㅜ미모도 물론이구 파스텔로 그린그림(?)같아요,0개
26,전지은,메이크업도 있었구나... 저는 희주님이 메이크업하는게 제일 좋아요... 언니 피부로 한번 살아보고싶어요..🤍 제가 제일 자주 보고 챙겨보는 뷰티유튜버세요🤍🤍 love ya😍,0개
27,최해솔,언니 액세서리랑 쥬얼리 소개 영상 찍어줘요ㅠ🥰,2개
28,SonneLee,어릴 때는 무조건 편하고 깔끔한 게 좋아서  잔머리 새어나오는 것들이 싫었는데 요새는 또 자연스러운 느낌이 예쁘더라고요. 근데 막상 해보자니 그것도 쉽지 않았음을.. 깨닫게 됐죠ㅋㅋㅋ 언니는 잔머리마저도 예쁘네요!,0개
29,RaghadWoodz,I likkkkkee ur brown hair it suits you very beautiful!!!! And ur makeup 💗,2개
30,soojdoingatpark,"희주님두 항상 건강조심하시구 항상 좋은일, 희주님이 원하시는 모든게 다 이뤄졌으면 좋겠어요!! 상황이 상황인지라 하루하루에 저도 감사하면서 살게 되더라구요!! 오늘두 영상 정말 잘보고 갑니다!!!❤💜🌷",0개
31,희주님0호팬지은,끼양 일찍 왔당!!! 학원 끝나구 바로 볼게유😚😚❤️,4개
32,yoniY,엄훠나ㅠㅠㅠ네추럴하면서 이쁘자나요! 하아 저두 긴머리 진쨔 원츄입니댱 따라해보고 싶어도 단발이기에.. 언니는 어째 어중간한 머리마저 이쁜지 모르겠네용❣️봄은 한층 다가오고 날두 점점 좋아지는데 아직은 좀 위험하니 조심하시구 건강하셔요!! 그래두 언니 보니깐 조금이라두 힐링 되는 것 같네용,1개
33,김수진,음음 오늘도 예뿌군🧡,1개
34,KKidoring,언니 진짜 매력있고 멋져요 항상 응원해요🌸,0개
35,설탕맛쿠우,생얼도 화보드악! 반짝반짝쓰✨🌟✨🌟,1개
36,김윤아,언니 목걸이 너무 이뻐요 ㅜㅜ 어디 제품인가요ㅜㅜ,1개
37,손지원,대박❤️,1개
38,예블링,얼굴 정말 작다....♡ 부럽당.. ㅎ,0개
39,김나현,희주언니 너무예쁘쟈노냐ㅠㅠㅠㅠㅠ 따룽해요ㅠㅠㅠㅠㅠ❤️❤️,2개
40,리지은,너무이뻐여 ㅡㅜㅡ^^,1개
41,김나현,희주언니 얼굴 진촤 한국인의 정석 매력쩌러🤦🏽‍♀️❤️❤️,1개
42,XX,ㅇㄱㅇ ㄷㅎㄷ 💖,0개
43,DUDU,으아ㅠㅠ 최고에요 ❤️❤️,1개
44,히희,곱창밴드 관심 없었는데 갑자기 뽐뿌와요..넘 예뻐🤦‍♀️,3개
45,농안,넥스트인패션!! 진짜 존잼!!!!!!!!! 희쥬님과 통했다!!!!!,0개
46,김소윤,와 이렇게 앞 부분에 토킹 비디오 넣는 것도 좋네영 💖😊,1개
47,김하진,희주님 머리 항상 궁금했는데!! 이번 영상도 귯😋🤍,2개
48,안채연,오늘도 넘넘 이쁘요ㅠㅠㅠㅠㅠ맨투맨은 어디건가요???,0개
49,리카,헉 언니 오늘 메컵 넘 찰떡이에요 ㅠ 갓희주 💖💖,2개
50,westglossy,"썸넬부터 벌써,,,😤😤🤍",1개
51,규규라이프,갑자기 그저께 곱창끈에 꽃혀서 바로 사버리고 3시간 전에 왔는데 막막하더라구요.. 그런데 이렇게 바로 영상을 올려주시면 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 언니랑 통했다니 ㅎㅎㅎㅎ 너무 감사드려요❤️ 집게삔도 곱창끈 살때 같이 사려했다가 못 샀는데 언니 덕분에 집게삔 살거에요 😻😻😻😻,1개
52,이지은찬양중,"그냥 진짜 약간 너무 사극에 나올법한
공주같아요... 피부 부러워 죽겠어요 엉엉",0개
53,ErickZone,"Holaaa yoo's
Hermosa como estas 😊 🌹",1개
54,남주혁NARAE,8시에 올라온다길래 존버했어요 히주언니영상보려구 ㅠㅠㅠㅠㅠㅠㅠㅠ 곱창머리끈도 찰떡슨❤️❤️,0개
55,단,울 언니 오늘 완전 병아리잖아 💛💛나 곱창끈이랑 헤어집게 매일 책상위에 방치하는데 언니가 알려준 방법대루 묶어보ㅏ야게쓰😜,1개
56,윤가영,헐헐 저 머리숱 때문에 잘 안 돼서 사놓고도 안 하고 있었는데 고마워용,0개
57,밍밍,"언니 오늘도 사랑스럽고 귀엽고 다 한다 정말 ❤️❤️ 이세상 상큼함을 다가져가부렷어 ㅜㅜㅜ 인간 봄이야 아주 언니만 잇으면 날씨가 엄청 추워도 된다구... 건강 잘 챙기그 잇징 언니ㅜㅜㅜ 난 머리가 아직 집게로 집을 정도는 아니지만 그래도 넘 유용허다.. 머리 좀 더 기르구 해봐야겟어,, 저런 머리 어떻게하나 궁금햇는데 이렇게 영상까지 찍어줘서 고맙궁.. 겟레디도 같이 있다니 넘 조왓어 사랑해 히쥬 💕💕😘😘😘❤️",3개
58,구룸찌,집게핀 머리숱 많아서 고정 잘 안 됐었는데 바로 따라해보니 고정 짱 잘 된다 히히 💛,1개
59,유영주,담엔 꾸안꾸메이크업?두 한번보고싶어요,1개
60,보갱,언니.. 숏단발이라 머리는 못묶지만 앞머리로라도 따라해볼게,0개
61,PRECE프레시,하... 정말 너무 예쁘다..... ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ🧡🧡🧡🧡 왼손 검지에 있는 투명 반지 정보도 부탁드려요 🙏🏻💕 희주씨가 하는 건 다 예뻐보여 ㅜㅜㅜ,1개
62,이지수,"언니 오늘 메콥도 넘흐 이뻐요! 곱창이랑 집게삔 잘못하면 촌스러워 보이거나 안어울릴수도 있는데, 언닌 역시 몰해도 블링블링 하네여 ♥︎",0개
63,아쁨,ㅎㅏ.. 어쩔수없이 곱창이랑 집게 사러가야겠눼 또....,3개
64,갱얼쥐,요즘 악어집게가 너무 이뻐보여서 다시 하고다니고 싶었는데 방법을 까먹었찌요ㅠㅠ근데 언니가 딱 올려주셨지롱ㅎㅎ늘 건강조심하셔요!!,1개
65,민정,언니. 자꾸 이런식이면 글로벌천만유튜버밖에 못해. 알았어요????,1개
66,디카프리오왕자님,언니 곱창끈 잘어울리네여 징쨩 ❤️,0개
67,nmm,자기 전에 보는 히주언니 힐링 영상...❤,0개
68,수냥SUNYANG,언니....또 예뻐...?,0개
69,Karenjae18,"너무 이쁘잖아... 여신이야 여신😍😍
언니 지금 머리색이랑 어울리는 메이크업 하고 옷 영상찍어 주세요🙏🦋",0개
70,Stayconfident,눈썹문신 어디서 하셨나요~~???,2개
71,LaurenMendez,You look beautiful without make up on 💙💜😇,0개
72,김예지,맨투맨 어디꺼에요?? 너무예뻐용💕,2개
73,SamDonne,"Your face brings peace and increase my immune system against Corona , hahah 🥰😍",0개
74,왕밤빵,"준비물:얼굴 .....?
이러나 저러나 그냥 뭘 해도 예뻐요....",0개
75,ashley,where's your necklace frommm,0개
76,제인janesfilm,그냥 머리가 희주빨 받았다...💓 내가 하면 그지같을듯...,1개
77,Meryem,"9:58
Şey değil mi bu yaa emekli öğretmen saçı kwpkckeflslfk",1개
78,알바천국,언니는..인간이에요..?언니 피부가 왤캐 좋아요ㅠㅠ언니 피부도 입술도 너무 촉촉말랑한 젤리같아요ㅠㅠ알았다...언니는 젤리요정이에요ㅠㅠㅠㅠ언니는...너무 예뻐요...언니의 모든 메이크업이 넘 좋아용...앓다 죽을 희주언니ㅠㅠ..,0개
79,SerapAlaca,"hi<3 your necklace is very beautiful, what is the brand?",0개
80,어스름새벽,저는 반영구 너무 만족해요!!!! 홍대 자라다 브로우에서 처음 해 봤었는데 너무 너무 만족해서 다음에도 거기서 하려고요!!!,0개
81,김가영,꾸며도 안꾸며도 개예쁨,0개
82,영예,🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍 아우 너무 이뻐요 🤍🤍🤍🤍🤍🤍🤍🤍🤍,1개
83,NH,브러쉬들 정보도 알려주실 수 있나요?ㅠㅠ,0개
84,그럴만도,언니 근데 왜 예전영상들 하나둘 사라질까요?ㅠㅠ 오랜만에 보고싶어서 찾을라하면 없네영,0개
