닉네임,댓글,좋아요수,날짜
이이지훈,재료가 없는게 아니라 파니니 기계가 없지않나 다들,24개,2020. 5. 29.
만사귀찮,드디어 나오네요ㅋㅋ 거대한미식가 이후로 소프 스타일 영상 같습니다,67개,2020. 5. 29.
박규진,형 나 오랜만에 돌아온 구독잔데 못본사이 푸짐해졌네 ㅎㅎ,5개,2020. 5. 29.
DK,5:10 이 아저씨 몇 달 안본사이에 살이 더 찌셨네,4개,2020. 5. 29.
DoBi,4:01  네...? 형이 언제부터 매운걸 잘드셨죠.......?,44개,2020. 5. 29.
juunyang,뭐이렇게 먹다남은게 마너,4개,2020. 5. 29.
ViviannaLee,"진짜 엄청 노력하신거 느껴져요ㅠㅠ 칼 갈고 나왔는데, 화려한 칼이 아니라 친숙한 가정용식칼 같은 친숙한 느낌이여서 너무 좋다....",41개,2020. 5. 29.
라미,빙구로 가기로한거에요?? ㅋㅋㅋㅋ🤣,34개,2020. 5. 29.
이효준,뭐야...영상 분위기 취향 저격 당했어 개쥬아~,31개,2020. 5. 29.
DongWooKim,인트로에 흘러나오는거보고 맛있겠다! 란 생각보다 저거 흘러내린거 눌러붙으면 청소할떄 엄청 짜증나겠다! 라는 생각이 먼저든 나는...설거지에 너무 고통받고 살았나봐.,2개,2020. 5. 29.
박더미,간단한 재료는 있는데요...기계따위가 없어욬ㅋㅋㅋㅋㅋㅋㅋㅠ,3개,2020. 5. 29.
이민우,소프형 올만에 왔는데 조회수 왜이럼?ㅠㅠ,2개,2020. 5. 29.
김진환,근데 소프님 살 많이 찌셨다. 2015년 때 한창 치킨 드실때에 비하면,3개,2020. 5. 29.
늅늅,형은 누구나 아는 맵찔이잖아ㅋㅋㅋ,1개,2020. 5. 29.
TanIris,소프님 매운거 잘드시나보네요 이제ㅋㅋㅋㅋㅋㅋ 영상 잘보고 갑니다~,1개,2020. 5. 29.
송기웅,투썸플레이스 메니저시절 왤케 짧게나와요ㅋㅋㅋㅋㅋ,9개,2020. 5. 29.
CareForU카루,"0:26 1초컷 사진 빠밤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
저 닭가슴살은 촉촉하다고 하셨던 탄두리 닭가슴살 .. 크으 ㅠㅠㅠㅠㅠ",14개,2020. 5. 29.
우리집포차TVHomePochaTV,ㅋㅋㅋ역시 치즈가 옆구리로 튀어나와줘야 기가막히죠~~저도 항상 커피보단 흰우유에 먹는걸 즐깁니다~~ㅎㅎ🥛🥛🥛,10개,2020. 5. 29.
김미혜,4:55 치이즈으으으😆😆😆,0개,2020. 5. 29.
박은성,"소프오빠 요즘 너무 우울해 보여요ㅠ
그래도 항상 힘내시고 재미있게 보고있어요",0개,2020. 5. 29.
이도형,이번거 꿀잼 ㅋㅋㅋㅋㅋㅋㅋ형 근데 얼굴이 더 포동해졌네,0개,2020. 5. 29.
greenwitch,영상 재밌는데 썸네일이 안끌려요 썸네일!!!,0개,2020. 5. 29.
chocooing,"오래된애청자에요 이러한스타일도좋은데
배경이좀더 밝은곳에서 소프님얼굴보면서  하는것도 다시 보고 싶습니다!",0개,2020. 5. 29.
