닉네임,댓글,좋아요수,날짜
ssin씬님,"제품정보 잘못들어간게 있네요~ 수정합니다!!

18:38 [미미앤바비] 쿨한매력 5부 워터레깅스 #XL 12,000원
18:59 [미미앤바비] 모던 스윔 워터 수영복팬츠 #XL 29,800원
19:10 [미미앤바비] 알로하파인 나그랑 루즈래쉬가드 #형광 29,000원
19:29 [미미앤바비] 알로하파인 나그랑 루즈래쉬가드 #형광 29,000원",65개,2020. 5. 29.
JinAh,수영복 리뷰에 광고 들어가서 좋다고 하는 바닐라코 ㄱㅇㄱㅋㅋㅋㅋㅋㅋㄱㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄲㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋ,14개,2020. 5. 29.
장현서,"최고의 수영복, 속옷 유튜바",11개,2020. 5. 29.
이성경,아 진짜 ㅋㅋㅋ 실내자전거 타면서 보다가 라지배신감브라탑 보고 개빵터졌어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자전거에서 떨어질뻔ㅠ,829개,2020. 5. 29.
햇살,말만 라지고 미디엄사이즈 요정사이즈들 파는 나쁜 사람덜ㅜㅜ,663개,2020. 5. 29.
인우,"이거지
이게 수영복리뷰지..",364개,2020. 5. 29.
iech,당연히 수영복 광고일 줄 알았어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 빵터졌넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,388개,2020. 5. 29.
최채연,엉덩이찰싹 때리는거 부터 벌써 웃기네...,500개,2020. 5. 29.
김규희,"뷰티는 덤이고 수영복,속옷이 메인 인것 같아욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌ❤️",305개,2020. 5. 29.
박지연,Tmi이긴한데 제가 씬님과 체형이 비슷해요ㅋㅋㅋㅋ 수영복 2탄 기다렸습니다!!!! 후기보고 득템(?) 해볼께요><,230개,2020. 5. 29.
