,youtube_id,comment,like_num
0,서효민,언니 아이즈원에 유진 커버 메이크업 해주세용 너무 닮았어여,27개
1,구미마이,와.. 진짜 닮아서 전에 닮았다고 해달라고 했었는데 진짜 똑같아요ㅠㅠ 고혹적이고 우아한 느낌도 닮았고 엄청 예뻐요ㅠㅠㅜㅠㅡ 저 메이크업 박제하고싶다ㅠㅠ💕,1개
2,은채,진짜 써니님 연예인 커버 메이크업 실패 하신적이 없어요 대박!,579개
3,정희,"언니 얼굴에 아이즈원 안유진도 있는거같아요,,, 정말 천의 얼굴이신 ㅜㅜㅜ",681개
4,혜진,아이즈원 안유진님도 커버해주세영 써니님과 좀 닮으신고같아요! 이번 커버메이크업도 진짜 최고십니다 😭😭❤️,210개
5,Miguel,"gonna be honest, the first time I saw soojin I immediately thought of you lmao",213개
6,집수니이윤정,"수진메이크업 굳이안해도 그냥닮았는데 제대로 커버하니까 진짜미쳤다ㅠㅠㅠㅠ갓써니,,이번 블랙핑크 멤버중 아무나 메이크업 요청이요❤️❤️",240개
7,박지수,언니 블랙핑크 제니 메이크업도 해주세욯ㅎㅎㅎ,467개
8,리엘,"티비에수진나오면 써니님개속생각났는데 드디어커버영상이!!!!
예전부터 닮았다고생각했는데 진짜완젼똑같아용ㅎㅎ",248개
9,svtyeon,you look like a mix of ahn yujin (izone) and soojin,51개
10,로운,진짜 똑같은데 앞머리없는 수진 메이크업하면 더 똑같을것 같아요 ㅜㅜ 나중에 한번 더 보여주세요 써니님❤️,188개
11,madhu,i LOWKEY THOUGHT THIS WAS THE SEÑORITA M/V,132개
12,MathildeNOBIS,My question here is how can she look like everyone?,65개
13,8133njy,제발 아이즈원 안유진 커버 메이크업 해주세요ㅜㅜㅜ 너무 닮았어요 진짜..!,76개
14,ZhiHuiTV,OMG somehow u look like IZ*ONE Ahn Yujin! Maybe u can try her Violeta cover makeup hehe!,20개
15,a불편하구나,"5:44
순간 제니",14개
16,성동일,써니님 오늘 더빙텐션이 평소보다 높아진거 같아서 넘 귀엽구 상큼하구 좋네유ㅎㅅㅎ,70개
17,맹그리버드,써니님 아이즈원 유진? 커버해도 존똑일거같아용 매력적인 얼굴쓰~~🤘,24개
18,AndreaAmidala,WOOOOW are you Soojin??!!🤭😍😍,57개
19,멍빵,수진... 왜 여기 있는 거야...?,35개
20,리퍼,"언니 애굣살 없는 사람들이 하면 좋을 애굣살 부각 매이크업 ?? 애굣살 많아 보이는 메이크업 해주세여 ,!,!! ❤️❤️ 9:10 ㄹㅇ수진 똑디",22개
21,SweetDreams,"Please remake Lisa's makeup in kill this love , the one with bold eyeliner in the teaser 🌸🌿🍃",10개
22,하울의움직이기싫,헐 드디어 ㅠㅠㅠㅠㅠ 아이들 처음 데뷔했을때부터 수진이랑 너무 닮았다고 생각했는에 역시 믿고보는 써니.. 너무 닮았어.. 너무 예뻐요ㅛ..>>♡♡♡♡,20개
23,YuAViolin,"Soojin makeup tutorial STEP 1: Look exactly like soojin (just jokes, not denying her makeups skills ofc!!)

*and is it just me or she lowkey looks like IZONE Ahn Yujin",1개
24,김구웅,안유진 메이크업 해주세요!! 아이즈원 유진이가 보입니다..,14개
25,nala,as soon as she put the bangs on i saw soojin lol,32개
26,KevinaChristina,I can never fathom how you can look exactly like the kpop idol of the makeup cover you’re doing 😂,5개
27,빠끄빠끄,하관이 진짜 아이즈원 안유진 닮았어요 ㅠㅠㅠ 아이즈원 비올레타나 라비앙로즈 안유진 커버메이크업 해주세요!!,10개
28,artmospherica,"OK WOW first of all, this make up recreate is VERY spot on and you do really look like soojin. second, yOU KNOW ""UWU""?????

edit: ok i just checked out ur twitter and u speak like a stan twt LMAO should have guessed ✊🏻😩",16개
29,L,I'VE BEEN WAITING FOR THISJDJDKDKSKSKJSJSKSKSKSKS,36개
30,비투비하고싶은거다해,10:40 존똑 존예ㅠㅠㅠ,6개
31,지랑이,하..이거 보려고 구독 했습니다ㅠㅠ 해주셔서 너무 감사해요!! 특히 세뇨리따 버전 ...하아ㅠㅠㅠㅠ완존 이뻐요 취향저격,19개
32,은별김,"Can you do Blackpink ""Kill this Love"" makeup with any member?",15개
33,Rosymark,"i said before you look like soojin :) glad you do her makeup because it’s spot on
i want to recommend yujin from iz*one as there’s some resemblance too 😆",9개
34,산와머니,00:09 진짜 제일 수진닮았음.. 썸넬 이거로 하시지 완전 수진인줄..,1개
35,j,omg i was getting soojin vibes from you in other videos!! it's really well done and you look similar,22개
36,치치,5:23 제니인줄.......,3개
37,제니,언니 제발 예쁜척 구간 늘려주세요ㅠㅠㅠㅠㅠ세상 찰떡💕💕,4개
38,예림,헉 언니 너무 기다렸어요ㅠㅠㅠㅠㅜㅜ 전부터 수진님 닮았다고 생각했는데̆̈ 커버 메이크업 해주셔서 감사합니당 🥰❤️❤️❤️❤️,7개
39,리틀쭈꾸미,아이즈원 유진메이크업 해주세여..! 느낌이 넘 닮았어요ㅠㅠ,6개
40,yss,뭐시여 난 썸넬 보고 당연히 수진인 줄 알고 들어왔는데 커버 메컵이였어,5개
41,minzoo민주,악 신청했었는데 이렇게 빨리 될 줄 몰랐어요!너무 예뻐요ㅠㅠㅠ특징도 넘나 잘 잡으셔서ㅓ..,6개
42,LivAxklev,"Blackpink Jennie, Kill this love next?",77개
43,소정박,조이+수진같아ㅠㅠㅠㅠ,1개
44,손유진,"아이즈원 안유진이나 사쿠라, 장원영 중 한명만 꼭 해주세요ㅠㅠㅠㅠㅠ💗💕 느낌이 닮아서 메이크업 잘 나올 것 같아요!!",3개
