,youtube_id,comment,like_num
0,한국스나,오늘도 좋은 소식과 영상 감사합니다 항상 좋은소식 고맙습니다 역시 우키님,4개
1,그래서뭐먹지MinCharles,"영상 잘~~ 봤다고 거짓말 하기엔 너무 길어서 띄엄띄엄 봤습니다 ^^;; 
많은 분들이 영상편집의 끝판왕은 파이널컷이라 하던데... 컴 스스로 조립해서 까지 써봤지만 맥 시리즈는 한번도 사용해본적이 없어서 고민입니다.
우선 맥은 금액이....ㅠㅠ",3개
2,최Choi명훈Myeonghoon,나만 맥북없어ㅓㅓㅓㅓㅓㅓㅓ😭😭 하지만 영상 편집 어떻게 진행되는지 궁금했는데 초보자 버전으로 보니 더 좋네요!!,2개
3,gergvxcafrhteqasdqoeihrbxmakahdbru,"아ㅡㅡ깜짝이야 난또 우형,파판7샀다고",2개
4,YongsuKwon,"형님, 맥북편집에 좋은 팁들이 가득한 영상이라 너무 반가운 영상이네요 ㅎㅎㅎ 감사합니다^^b",2개
5,샤키코리아,와.. 분량이... 영상 촬영 부터 편집 까지 수고 많으셨습니다,2개
6,로케트펀치RocketPunchtv,영상보고 열심히 공부하겠습니다 !!!! 모든걸 다 퍼주는 당신은 대체...,3개
7,엔제리너스,늘 그렇듯이 영상 잘보고 갑니다~따봉 ㅋ,1개
8,즐거운파도Joyfulwaves,이 영상 하나면 파이널컷 완전 정복할수있겠네요!!ㅋㅋ,2개
9,iiijjjzz,"딱 접니다.. ㅠㅠ 감사해요 형!! 저번주 맥북 구매했는데 아무리 파이너컷 영상 찾아봐도 헷갈리고 모르겠더라구요!! 좋은하루 되세요:) 

입문 올려주셨으니... 계속해서 시리즈로 올려주세요 ㅠㅠ",2개
10,맑은산,맥북에어 2020 기본형 사서 파컷으로 간단한 동영상편집 가능할까요?,1개
11,강쌤인도네시아,형님 영상은 색감이 너무 좋은거 같아요,1개
12,강쌤인도네시아,아 부럽!!!!! 맥북.... 전 에어라 파컷이 안돌아가요 ㅠㅠ,1개
13,김태응,기다리던 파이널컷 강의입니다. 감사합니다,2개
14,MomentHp,와 너무 유용한 영상이에요 고맙게보겠슴니다 우키님♡,1개
15,분단극복,알아두면 유익한 세로운 정보 감사드리며 늘 건강하시길...................,1개
16,모데카이공방,저만 싱크 안맞나요? ㅠㅠ,3개
