닉네임,댓글,좋아요수,날짜
최엘프,근데 언니 쿨 계열도 잘 어울리신데요?? ''별로다..'' 이런 느낌이 아니라 ''다 잘 어울리시는데 이게 조금더 잘 어울리실듯 해요~''약간 요런느낌쓰~ 다 잘어울리시는데요?,698개,2020. 4. 25.
정유림,다른 유튜버 분들 퍼스널 컬러는 확실히 워스트 베스트 컬러가 명확한 편인데 라뮤끄님은 그런 경계선이 거의 없는 것 같아요! 굳이 따지자면 블랙?만 라뮤끄님 피부가 밝아서 대비가 심한 느낌이고 나머지는 다 잘 어울리셔서 워스트가 없는 느낌이예요!!,546개,2020. 4. 25.
임가희,쿨톤이 아니실까 생각했는데 갈웜딱 대보는순간 갈웜이구나...했어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 피부가 밝아서  웬만한 색들은 다 무리없이 소화가능하신거같아요ㅠㅠ💕,735개,2020. 4. 25.
완와니,"기본적으로 갈뮽이신데, 회끼돌고 포근한 파스텔톤 컬러들이 다 잘받으시니 여름뮤트 봄라이트까지 커버 치셔서 거의 모든 색이 잘 어울리는거같네요",372개,2020. 4. 25.
꿀탄우유,겨쿨 비비드톤 이런거 말고는 걍 두루두루 다 어울리시는듯..,300개,2020. 4. 25.
다연,상처 안받으실거라면섴ㅎㅋㅎㅋㅋ 굉장히 상처받은 표정.. ㅋㅎㅋㅎㅋㅎㅎㅋㅎㅋㅎㅋㅋㅋㅋㅋㅋ,250개,2020. 4. 25.
나현,"제가 볼 땐 완전 검정빼고는 
다 너무 잘 어울리시는 것 같은데ㅎㅎ
다 잘 어울려서 공감이 안돼요^_^bbb",213개,2020. 4. 25.
zuvul,아 맞아요 가을뮤트 색상 대보신거 보자마자 여태 언니영상들 보면서 손에 꼽는 메이크업이 대부분 가을뮤트 색상들이였던거같아요 신기...,162개,2020. 4. 25.
유미,언니가 몽환 메이크업이 제일 잘 어울리는 이유가 있었네요 넘 예뻐요 ㅠㅠ,158개,2020. 4. 25.
유니카,"하긴 화장기가 하나도 없어야 정확한
진단이 가능하니....",178개,2020. 4. 25.
이효진,ㅎㅎ 뽑아준 색상들이 뮤끄님에게 찰떡이긴한데 취향아닌색인거 표정으로도 알수있음ㅎㅎㅜ 그냥 내만족으로 옷사고입는거져 뭐~ 착붙컬러는 중요한날 같은때 요긴하게 쓰면 되는거구용~,76개,2020. 4. 25.
kakuella,"오늘 영상: "" 으음 음 어어 ~ ""
😂😂",51개,2020. 4. 25.
이하나,"톤 파괴자인 라뮤끄님께서 퍼스널 컬러 진단이라니!😊 라뮤끄님은 확신의 가을 뮤트라 예상했었는데 맞다니 재미있네요. 라뮤끄님의 온화하고 부드러운 이미지가 극대화되는 컬러군이라 생각해요! 영상 재미있었고, 앞으로도 라뮤끄님이 좋아하는 다양한 색조의 메이크업 기대하겠습니다~",87개,2020. 4. 25.
프레임,목소리에 비해 배경음악이 조금 큰거 같아요ㅠㅠㅠ,65개,2020. 4. 25.
SeraPark,"저도 가을 뮤트인데 가을뮤트가 자유롭게 쓸 예쁜색이 진짜 많다구요!!
저랑 같이 진단받은 분들이 저 엄청 부러워했다는",40개,2020. 4. 25.
PierreYves,아니 근데 ㅋㅋㅋㅋ설명들을때 영혼없는 눈과 리액션 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나도 생소한 설명 두다다다닥 들을때 딱 저 표정 저 눈인데 ㅋㅋㅋ,15개,2020. 4. 25.
미얌,안어울린다는 컬러가 왜 내눈엔 다 이쁠까..,36개,2020. 4. 25.
SubinOh,퍼스널 컬러 이겨먹기 컨셉으로 워스트 컬러로만 메이크업해서 라뮤끄님이 아주 그냥 다 이겨먹는거 보고 싶어요!!,7개,2020. 4. 25.
띵기,5:36 와 이렇게 극명하게 얼굴이 퐉 달라지다니,33개,2020. 4. 25.
jdudu,7:52 솔직히 왼쪽도이쁜데...,90개,2020. 4. 25.
최제,봄 웜인 줄 알았는데...!! 그래도 역시 전문가 분이 해 주신 거라 더 잘 어울리시긴 하네욥... 그래 태닝 메이크업이 어울리는건 그래서였어,41개,2020. 4. 25.
,말린메밀꽃 ㅋㅋㅋㅋㅋ쿨톤 섀도우라고 나온건데 어쩐지 웬만한 여름겨울쿨톤분들 안어울린다 그러고 겨쿨인 나도 애매해서 여름뮤트껀가 했더니 ㅋㅋ ㅠㅠㅠㅠㅠ,32개,2020. 4. 25.
SYSHIN,"이 분은 그냥 딱 보자마자 갈뮽 의인화라고 생각했었는데 ㅎㅎㅎ 근데 사실상 이런 금손이신 분들은 메이크업을 할 때 조화롭게 잘 하실 거니까 크게 상관은 없을 듯 ㅎㅎ 걍 딱 봤을 때 와 눈이 편안하고 예쁘다, 아 예쁘네 이런 차이일 뿐",23개,2020. 4. 25.
잉지,진짜 다 잘어울령요 ㅎㅎ그래서 퍼스널컬러 진단 안하신듯 ㅎㅎㅎ 그냥 언니가 하고싶은거 해도  ...,34개,2020. 4. 25.
