닉네임,댓글,좋아요수,날짜
ndolson엔돌슨,"넷기어 공유기 바꾸고 IPTV 설정하는 방법 
 https://ndolson.com/5354

인터넷 설치 랜공사? 설치시 주의와 와이파이 6 성능은? 단점도 있죠. 와이파이6 지원 디바이스만 가능 ^^",1개,2020. 4. 3.
그레이스,헐 가격이..써보고싶네요 ㅋㅋ하핫,0개,2020. 4. 3.
엔제리너스,"공유기도 성능이 좋은게 많네요 ㅜㅜ집엔 기본을 쓰다보니 엄청 답답할때가 많은데 넷기어 공유기랑 기본 공유기랑 비교영상 잘
봤습니다",0개,2020. 4. 3.
씨앗호떡,공유가 스펙 멋지네요 덜덜!!ㅋㅋ,0개,2020. 4. 3.
b,성능은 우수한데 가격이 좀 나가긴하네요 ㅠㅠ 영상잘보고 갑니다,0개,2020. 4. 3.
굽네치킨,와 와이파이 끝판왕 수준이네요>_<,0개,2020. 4. 3.
팝콘티비,크 디자인도 멋진만큼 상능이 나무 우수하네요!^^,0개,2020. 4. 3.
k애플,스팩..에 가격이 후덜덜 멋진 공유기네요,0개,2020. 4. 3.
하루살이,"기본공유기대비 성능이 뛰어나지만 그만큼 가격이 차이가 많이나네요 
그리고 영상을통해 사제공유기 설정등에대해좋은정보 알아갑니다",0개,2020. 4. 3.
이물,사고 싶은데 너무 비싼거 같아요. 혹시 asus랑 넷기어랑 차이가 뭐라고 생각하시나요?,0개,2020. 4. 3.
쥬디스,공유기도 가격이 비싸서 고민을 많이 하게 만드는 ㅡㅜ,0개,2020. 4. 3.
싸마악,안테네 장난아니네욤,0개,2020. 4. 3.
실버스톤,성능 좋으네요~가격도 만만치 않네요 후훗.,0개,2020. 4. 3.
김영태,기존 공유기와 외형부터 다르네요 안테나가 비행기처럼되어 있어 디자인 멋지네요 그만큼 가격도 놀랍습니다,0개,2020. 4. 3.
싸마악,장난없네요 돌슨이형,0개,2020. 4. 3.
