,youtube_id,comment,like_num
0,곽토리kwaktori,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ다 키때문이야 우리 궁둥이 혼내지 마세용🌝🌝,49개
1,먼지님,"긐ㅋㅋㅋㅋ 
원래주인이 입으면 이런느낌입니다의 원래주인버전사진도 있었으면 좋았을거같아욬ㅋㅋㅋㅋ
아 오랜만에 빵터졌네여 재밌어여",37개
2,V세리,언니 다음에는 라뮤끄님 어때욤...? 아님 회사원님...? 아 쨔미님도 재밌을거 같아요ㅋㅋㅋㅋㅋㅋㅋ 다 언니랑 느낌이 확 달라서 ㅣㅋㅋㅋㅋ,34개
3,하란,10:38 모자이크 미쳤낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2개
4,,헐 이거 다른 유튜버분들하고도 시리즈로 만들면 대박날거같아요ㅠㅠㅠㅜ4초봤는데 벌써 재밌네;,12개
5,SunHaePark,"ㅋㅋㅋㅋㅋㅋㅋㅋ 씬님만 손해보는 콘텐츠 맞는듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
곽토리님 마지막에 입은 씬님 옷.. 비싸다는 그 옷 좌표주세요 ㅠㅠ..!! 넘존예",929개
6,로로튜브RoroTube,꽃치마 밑트임이 왜 엉덩이에 있엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 두분이 스타일이 워낙 달라 더 웃긴듯ㅋㅋㅋㅋㅋㅋ,549개
7,JANEL,"언니나지금 7초 봤거든? 근데 진심
후

너무재밌다벌쎀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",404개
8,음음,"11:23 ""성렬이 차를 타""",316개
9,코코,알림이 씬님 패션 스왑 완2 이렇게 옴ㅋㅋㅋㅋ,464개
10,마탱,10:33 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄲㅋㅅㅋㄱㅋㅋㅋㅋㅋㅋㅋ아니 뒤에 핏 왜 그러냐고요 ㅋㅋㅋㅋㄱㅋㄱㅋㄱㅋ 심지어 모자이크는 ㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㄱㅋㄱㅋ아 ㅁㅊ웃다가 죽겠어요ㅠㅠㅠㅠ,240개
11,나현,씬님!!다음 파트너랑 할 때는 파트너가 실제착용했을 때 사진도 넣어주면 더 좋을 것같아요😆 그냥 사견입니둥...,444개
12,지원,12:00 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비명 뭐냐고요ㅋㅋㅋㅋㅋ,295개
13,hieunha,유튜브 쌉고인물들이 다시 만났닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,26개
14,예나,아 어쩌지? 오프닝부터 터지는거 오랜만인데..? ㅋㅋㅋㅋㅋㅋㅋㅋ 아 진짜 어쩌지? 오프닝부터 설레는데?ㅋㅋㅋㅋㅋ아 어쩌지? 행복한데? ㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠ,141개
15,이하늘,씬님 그 잠옷 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저희 집앞 시장에서 파는거랑 똑같아요 ㅋㅋㅋㅋㅋㅋ저도 그거 티랑 바지 버전도 있고 원피스 버전도 있어요 진짜 짱 편해요 👍👍,195개
16,커밋,"씬님 토리님 옷입혀놓으니 뭔가 미국 인형,,, 느낌,,,",51개
17,김예슬,곽토리님 썸네일 착장 완전 찰떡인데,98개
18,앙기요미,와 곽토리님 몸매 에반데 진짜... 날씬한데 골반도 넓고 진짜............대박...,51개
19,지효,둘이 너무 입는스타일 정반대다진짜ㅋㄲㄱㅋㅋㄱㅋㅋㄱㄱㄱ,59개
20,땡삐,ㅋㅋㅋㅋㅋㅋㅋㅋ아10:38ㅋㅋㅋㅋㅋㅋ모자이크 뭐얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무재밌어욬ㅋㅋㅋㅋㅋ두분 너무보기좋아요🥺💕 이제 또 3년뒤 콜라보 기대할게요ㅋㅋㅋㅋㅋㅋ,123개
21,이진,"ㅋㅋㅋㅋㅋ 사실상 곽토리님하고 씬님을 동시에 구독하지 않는 사람을 찾는게 더 힘들듯,,,",64개
22,소나기,"토리님은 아담하고 마르셔서 이쁘시고, 씬님은 키 크시고 글래머셔서 두분 다 각자의 매력으로 너무 아름다우세요ㅠㅠ",46개
23,ssus,아...진짜 개재밌다 뷰투버가 이런게 너무 꿀잼이야 ㅋㅋㅋㅋㅋㅋ 진짜 씬님이 손해보는 느낌적인 느낌 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,31개
24,박수민,진짜 뻥안치고 최근에 본 모든 유튜브중에 젤 웃기다 ㅋㅌㅋㅋㅋㅋㅋㅋ 잠옷 입고 나왓을때가 젤 웃겻음 ㅋㅌㅋㅋㅋ,35개
25,혼자걸어요,"솔직히 처음부터 저 대빵큰 얼굴이랑 연보라 롱후드랑 둘다 왜산건지 모르겠어요 ㅋㅋㅋㅋㅋ
Edit .씬님 근데 마지막에 벨벳티한 핑크니트도 잘어울려용",123개
26,까리한햄,"11:22 말 들어보면 '성렬이(려리님) 차를 타'인데 자막이 '추위를 잘 타' 네요
겉옷을 안 입고 추위타면 안돼요 토리님! 따숩게~~",52개
27,124디비디비딥,밑위가 기냐고 하시는뎈ㅋㅋㅋㅋㅋㅋ포즈가 바로 옆에 추천영상뜨는데 사각팬티리뷰 썸네일이랑 똑같아서 빵터졌넼ㅋㅋㅋㅋㅋㅋㅋ,32개
28,웅앵웅,아 모자이크 너무웃겨ㅠㅠㅠ 펀집 누가하신건지ㅠㅠㅠㅋㅋㅋㅋㄱㅋㅋㅋㄱㅋㄱㄱ,40개
29,민찡,"10:56 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ경계가 필요한 환상 바디 ㅠㅠ 넘웃겨,,미쳐,,",76개
30,YUN쏘오오옥,"5:10 
출근룩ㅋㅋㅋ 입고 서로 웃는거 너무 웃곀ㅋㅋㅋ 
서로 어색해서 웃는데 너무 귀여우셔 둘다 ㅋㅋㅋㅋ

인견과 마 ㅋㅋㅋ 언니 되게 ㅋㅋㅋ 친숙한 소재 좋아하시네요 ㅋㅋㅋ
10:26 아니 언닠ㅋㅋ 엉덩ㅋㅋㅋㅋㅋ 아이 귀여웤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",29개
