,youtube_id,comment,like_num
0,areumsongee아름송이,"오늘 정신이 없어서 영상올라간것도 깜빡🤭🤭🤭
즐감해요오🍒🍒🍒🍒",196개
1,,"本当にメイクうまい、、
毎回がらっとイメージがかわる、",240개
2,,まじ年齢詐欺やん。すごいよ。可愛すぎる,173개
3,온유,롬앤이 제품이 다양하진 않지만 기능을 제대로 하는 제품이 많아서 인기가 갑자기 올라간듯..,72개
4,,この方の顔になってメイクして可愛くなりたい。。。。。。🥺🥺,19개
5,momotako,"クリオ、ロムエン…
需要をわかってくれてる😢😢
幸せです！",70개
6,,いつも可愛いけど今回のメイク似合っててもんんんんんのすごく可愛いです！！！好き！！！,78개
7,,"めっちゃ可愛いな~
1週間コーデとか見てみたいな♡",27개
8,서영,아싸 아침에 화장할때 볼영상 추가됐당😍 아름송이님 겟레디 항상 길이(?)가 길어서 좋아요ㅠㅠㅜㅜ 저 화장하는데 1시간 반정도 걸리는데 아름송이님 영상 재생목록에 해놓고 연속으로 틀면서 해용 ㅋㅋㅋㅋㅋ아 그리구 길이도 길이인데 배경음악?도 없어서 깔끔하니 아침에 화장하면서 보기 진짜 딱조아용 ㅠㅠㅠㅜㅜㅜ개인적으로 아침엔 조곤조곤?조용조용?하게 말하는걸 좋아해서 ㅎㅎㅎ,11개
9,Moon,ほんとに可愛い大好き❤️🍒🍒🍒🍒🍒🍒🍒🍒🍒🍒🍒🍒🍒🍒🍒🍒🍒🍒,43개
10,이소민,13:22 아 표현력 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠ 빵터졌네요.. 오래된 소고기 색 말고 예쁜 소고기 색이요 ❤❤❤,66개
11,이영주,0:37 언닠ㅋㅋㅋㅋㅋㅋ 손은 오른쪽에 짠 하고 있는데 왜 브랜드는 왼쪽에 뜨게 했어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,68개
12,jiffys7,Soooo cutenesses💜💜.,23개
13,,"かわいいー！！！いつ見ても可愛い！！
くちびる最高に素敵🙌🙌🙌🙌
アルムソンイちゃんはピンク、チェリー系がすごい似合いますね😍😍😍",6개
14,김아리사,めためたかわいすぎて泣ける！！！！！,36개
15,,すごいこのメイク好き､､紹介されたもの全部買っちゃいそう笑,15개
16,나오nao,ほんとうに可愛すぎる(*´꒳`*),38개
17,소피,0:37 언니 반대방향이에요ㅠㅠㅠ,12개
18,,マジで美女😍唇の形羨ましい🍒,9개
19,,絶対整形してこの顔になって見せる…！！,7개
20,,あなたが使ってるもの全部欲しくなってしまう😭！,11개
21,민지쿠MinJiKu,제가 아름송이님 따라서 산 립들이 최애립조합 예전 영상부터 보고 산게 너무 많아요 ㅠㅠ 진심!!!! 누구 영상 보고 산 적이 없는데 아름송이님이 소개하는 립들은 진짜 제취향이 많아요🙃 오늘 틴트도 살거같네여....샤넬영상도기대할게요!!!😍,50개
22,chr,唇の形が可愛すぎる～！本当に理想！,3개
23,,いつもかわいい🥺💞,23개
24,aim,ロムアンド今好きで集めてたから嬉しい😍,18개
25,지민씨의입술,桃のお姫様って感じ…可愛い,4개
26,Moe,innisfree縛りもして欲しいです🥺❤️,10개
27,Dee,The foundation makes your skin look like a ghost 👻 :( way too light and it doesn’t match your skin tone.,3개
28,RIKOROKU,私もこんなチェリーっぽいメイクしてみよ！🍒💜,5개
29,서녕seonyeong,눈썹 진짜 깔끔하당,14개
30,,ほんとに可愛いなぁァ🥺💓,1개
31,hwa,"顔が可愛い感じの方にはってソンイちゃんこそって感じ…！🍒🍒
どのブランドのコスメも使いこなすソンイちゃん尊敬です✨",10개
32,ZillaBuendia,I also have juicy tint in jujube and glasting tint in vintange ocean. I love them. Loving this make up tutorial and rom&nd product ❤️,1개
33,미유미유,かわいすぎる…💝,4개
34,최채연,오메....키치한거 너무 찰떡인데ㅜㅜㅜㅜㅜ,16개
35,,メガネ似合うね！,4개
36,,언니 안경쓴것도 ♡♡♡,7개
37,,"めちゃくちゃ可愛い！
さっそく真似します🍒🍒🍒",24개
38,사쿠라Seventeen,お姫さまみたい♡♡,10개
39,다현,유일하게 끝까지 보는 송이언니 메이크업 영상🙌,47개
40,Haruharu,"韓国語だらけ…w
日本人の方〜！！！",79개
41,patisr,That glossy lip look is soo cute!! Love from the Philippines 💓 keep safe! ✨✨,30개
42,kjmSUHO,"rom＆ndとっても気になってたのでいい参考になりました✨
いつもソンイさん可愛すぎます😍",7개
43,no,"リップめっちゃかわいい❤️
このメイク好き！！！",3개
44,,可愛すぎます💖😭💖😭,3개
45,B,저는 일본인.일본에서 이거 애니메이션.한국어 공부 중.일본 인상이 알고 싶다.알려 주세요.,2개
46,,アイシャドウめっちゃ可愛い！,1개
47,귤탱,무슨 진짜 이쁘다.. 진짜 너무너무 예쁘다ㅜㅜㅜㅠ,6개
48,,"化粧映えする本当に
うらやましいキレイな顔♥

フィグフィグはアタシも愛用中。

ブルベに似合う色だと思う(*^^*)
ヨーグルトのニオイ？
アタシはイチゴみたいな甘い香りが
するな～と気にいってますが（笑",48개
49,,"rom&ndは私も本当に大好きなコスメだから
縛りメイク嬉しい😂💕",3개
50,ss,今回のメイクも可愛い～❤️❤️,1개
51,,可愛すぎる。。お口が可愛い、,1개
52,Rinka,ほんとに可愛い🥺🥺,1개
53,다흰,롬앤 이엇자나!!! 오늘도 예쁜 언니ㅠㅠ 잘보구 가여,6개
54,,"いつも観てます💕
本当に可愛い！憧れです✨",4개
55,반짝반짝빛나는뚜호,아…진짜 예뽀…🥺💝,5개
56,,この人コーラルカラーめっちゃくちゃ似合う！！！羨ましい〜〜〜,3개
57,도유정,"13:21 ㅋㅋㅋㅋㅋ오래된 소고기 색깔 ㅠㅠㅠㅋㅋ 솔직한게 매력있는 송이언니,,, 이래서 좋아해요!😉💓",9개
58,,なーんで可愛いの？笑笑(ˊᗜˋ*)♡,9개
