닉네임,댓글,좋아요수,날짜
나름다름DareumNareumtwins,"#머리길이가달라서대타안되겠네요...
#정보는 여기에..

쿠션 10% 할인 + 틴트37%할인  
https://bre.is/ZMW8hVhR
5.7일 23:59까지 10일간 할인됩니다!

내일 스타일쉐어 오후8시에 놀러오시면 나름다름쌍둥이와
소통하실수 있어요~! 
나름이와 저 둘이서만 진행하기때문에, 잼라이브랑 다르게
이번에는 댓글도 읽어줄수 있고 소통이 편할거에요♥


 https://bit.ly/nareumIG 너만 없어 나름이 맨투맨",185개,2020. 4. 28.
NhungLe,"Chúc ai đọc và Like
1. ăn được ngủ được là tiên 
không ăn không ngủ mất tiền đâm lo
2:học giỏi nhiều người yêu thương 
3:Gđ hạnh phúc bình an và gặp nhiều may mắn 
Em đang đi XKLĐ xa nhà hiện tại phải cách li ở nhà nên em làm video cho bố mẹ em xem đỡ nhớ con 
Mong anh chị ủng hộ chúc anh chị có buổi tối vui vẻ 💖💖💖💖💖

Còn Tuổi Thơ Của Em Là Ngày Nào Cũng Ngồi Trước Điện Thoại Đợi Thông Báo Là Bay Vào Ngay Để Xem Video Của chị Quỳnh  ❣️❣️❣️..,,,",14개,2020. 4. 28.
TryingtoFood,"im so early i dont know what to comment









nice video i guess",11개,2020. 4. 28.
YamiCrus,Nareum's skin is so bright and plumpy,5개,2020. 4. 28.
유빈,나름님이랑 다름님 퍼스널컬러 진단 받는 컨텐츠 찍어주세요!둘이 미묘하게 톤이 다른 것 같은데 쌍둥이셔서 더 궁금해요!,153개,2020. 4. 28.
ChalistaVeli,Where is the subtittle? :(,5개,2020. 4. 28.
EricaRana,English subtitle😭😩❤️,7개,2020. 4. 28.
L4,"처음 인트로에서 안녕하세요 다름입니다. 할 때 소름...  체널이름 다,나름 tv로 바꿔야하는 거 아님?",141개,2020. 4. 28.
firlynoviona,Next time use the Indonesian subtitle Nareum~><❤️❤️!!!,26개,2020. 4. 28.
LisaAmriMubarokah,Please add Indonesian subtitle ☺,82개,2020. 4. 28.
SintaWidya,Subtitle Indonesia please ❤️,11개,2020. 4. 28.
iminhere,Subtitle where are you?!!!!😭😭😭,2개,2020. 4. 28.
GusTini,Subtitle😭😭😭,3개,2020. 4. 28.
ASMR우석,이번 썸네일 오른쪽 밑에 사진은 진짜 누가 누군지 모르겠다,56개,2020. 4. 28.
이유빈,좋은제품들 일 것 같아요👍 특히 틴트가 많이 탐나요😻 언니들은 어떻게 화장하던 예뻐요😘😘❤ 아침에 피부에 자극을 많이 안주려고 물세수 하는데 자는동안 먼지가 쌓여서 폼클렌징해주는 것도 좋(?)대요!,5개,2020. 4. 28.
MOZHDEHASMR,"Baby, how sweet it is to explain how to make up
💖💖💖💖💖💖
👌👌👌👌👌👌👌
💓💓💓💓💓💓💓",1개,2020. 4. 28.
