,youtube_id,comment,like_num
0,씨디맨,댓글은 씨디맨을 춤추게 합니다. (만든다고 애썼습니다. ㅠㅠ),3개
1,식은널보내,ㅋㅋㅋㅋ다봤당ㅋㅋㅋ재밌었당ㅋㅋ월패드더 고장나는 경우가 있군,0개
2,kkk,"영상 감사히 잘보고 있습니다♡
저두 전압 측정기 하나 구매해야겠어요!!",0개
3,쁘띠에마망,"높은 전압이 나올대 막아주는 기능 없나여?  퓨즈 같은 기능요 
이런 불량으로 본제품에도 무리가면 말도 안되는데 ㅠㅠ",0개
4,요지경,신박하네요. 시디맨님 덕분에 사람 안불러도 돼~,0개
5,Kanny,저도 어댑터 지금까지 고장 3번 겪어봤는데 찔러보니 전부 과전압이었던 기억이 나네요;;;,0개
6,월리,어댑터가 기기를 망가뜨리기도 하는군요....처음 알았습니다,0개
7,세다리TV,유튜버들의 유튜버 시디맨님 유튜브에서 항상 배워갑니다. 이번편은 정말 도움이 많이 되었습니다. 감사합니다.,0개
8,김갓삿갓삿,좋은정보 감사합니다. 어댑터 별생각 없이 사용했는데 이참에 한번 점검해서 혹여나 모를 더큰 손해를 방지해야겠네요,0개
9,김태우,제가 봤던 고장난 어댑터들은 보통 저전압이 뜨거나 아예 0V가 뜨는 경우가 대다수였는데 더 높은 전압이 나오는 경우가 있군요. 다음에는 정전압 어댑터와 일반 어댑터의 차이도 알려주셨으면 합니다.,0개
10,sohninjae,잘보고 가요. 근데 3.5A면 전류량때문에 회로가 나가버리진 않나요?,0개
11,dennisoh,"오늘 딱 이영상이 나오네요,,,,궁금한게 있는데 집에 삼성모니터 아답터분실했는데 뒷면 스펙을보니 DC12V 3A입니다.
그래서 집에 굴러다니는 삼성아답터를 보니 DC14V 4.5A 입니다. 다행이 잭크기는 동일하게 맞네요.터질까봐 전원은 안넣었네요.사용가능 한가요??",0개
