닉네임,댓글,좋아요수,날짜
김동민,"나는 아직 무면ㅎ....





면허가 있어야 한다고 해도 어차피
중고딩 대부분 무면허로 탈껄...
(나는 아님ㅋㅋㅋ안 타면 그만이지)",6개,2020. 6. 2.
,누구보다빠르게,5개,2020. 6. 2.
다올,"영상미 직이네요ㅋ
뭘해도 멋진 혁키님 
전동퀵보드 요즘대세인거같아요
멋지다 ♡",4개,2020. 6. 2.
죽지아나,나노휠 듀얼퓨리 제품 리뷰해주세요!!,4개,2020. 6. 2.
김형진,"1. 졸귀 혁키횽 키 몸무게 좀 알려주세요.
2. 인트로에 탔던 장소가 어디에요?",3개,2020. 6. 2.
HotPlace,"인트로,,,, 인트로가 없어!!!!",3개,2020. 6. 2.
S효돌,영상미 보소,4개,2020. 6. 2.
괴짜TV,샷 다양한 클래스 후덜덜....저는 이번에 전동 스케이트보드 샀어요...ㄷㄷㄷ 재밌는데 죽기 딱...좋...,2개,2020. 6. 2.
홍성엄,저거 고등학생들도 많이타던데 ㄹㅇ면허없이도 거매가능한거같더라,2개,2020. 6. 2.
준헌이,보통 이륜차들은 오른쪽이 스로틀인데 아쉽네요...,2개,2020. 6. 2.
배고파,가격이  착하네,2개,2020. 6. 2.
두니야마음에,새로 알게된 법률부분까지..  역시 혁키님! :D,2개,2020. 6. 2.
KenKANG,가죽자켓 잘어울리신다...멋있어요,2개,2020. 6. 2.
하늘,잘생긴 혁키님 제발 하트 주세여,3개,2020. 6. 2.
호사남,부럽...전동 보드나 킥보드 사고 싶은데 무상증정이라니👍🏼👍🏼👍🏼,2개,2020. 6. 2.
yeoeun,앞으로 자이로드론 탈 때 편하겠구만,2개,2020. 6. 2.
황승연,선댓글좋아요 후감상 !!,2개,2020. 6. 2.
HayleyAn,"크루즈컨트롤 너무 좋네요!!! 
풋브레이크를 저렇게 사용하는군요 ㅎㅎ
우리나라 법률이 조금 까다롭네요 ㅠㅠ",0개,2020. 6. 2.
서창진,저기 대구 강정본가용??,2개,2020. 6. 2.
안녕그리워,이런리뷰 너무 좋아요. ㅎ,2개,2020. 6. 2.
영하,오늘은 지적인 이미지네용 ~^ ^,1개,2020. 6. 2.
진영,강정보인가요?? 영상퀄 미쳤누,2개,2020. 6. 2.
