닉네임,댓글,좋아요수,날짜
로즈하ROSEHA,"⭐️instagram @xoxohaji⭐️
영상 업로드에 대한 정보나 저의 일상등은 인스타그램으로 더욱 빠르게 받아보실 수 있어용😍
안녕하세요, 여러분~! 오늘은 오랜만에 별 거 없는 일상 브이로그 영상을 가져왔어요,,허허❤️
생일선물 언박싱이랑 하울 등등이 포함되어서 오늘도 역시나 하이텐션 주의!👀 입니다ㅋㅋㅋ
그럼 영상 재밌게 봐주시길 바라요 >^<
(다음주에는 말 많은 겟레디윗미 영상 올릴게욥! 기다려주세요~🌝💕💕)",437개,2020. 5. 23.
헤이즐Heizle,내시키💙💙💙💙💙💙💙💙,1개,2020. 5. 23.
BlueEye,영상이 이렇게 길다니... 아껴두고 아껴두고 보고 다시보고 다시볼꺼에요!!! 언니의 평범한 일상도 너무너무 궁금해요🥺 요리를 하시는것도 보고싶어요ㅜㅜ🥰사랑해요❤️❤️,345개,2020. 5. 23.
하프,언니는 왜 계속 이뻐???? 너무 여신이잖아 로즈마리 맘을 홀렸어!! 나는 죽기 전까지 로즈마리야!!💖,21개,2020. 5. 23.
김소현,어쩜 언니 같이 아기자기하고 이뿐것들 잘 찾아서 잘 사시는지 ㅠㅠ 하울 넘 조아여 시간 가는 줄 모르고 보게됨 ㅠㅠ,5개,2020. 5. 23.
Germanharibo,로즈하님🌹🤍❤️ 구독한 이후로 처음 댓글 다는데 오늘 영상은 증말 취저탕탕이라 댓글을 안 남길수가 없었네여ㅠㅠㅠㅠㅠㅠ 이런 아기자기한 당장이라도 뽐뿌오는 제품들 하울과 중간중간 브이로그까지 정말x999 잘 봤어요 :) 앞으로도 이런 영상 계속 올려주세욤 응원합니당!!👏🏻👏🏻👏🏻👏🏻👏🏻💖,8개,2020. 5. 23.
MeetDK,헉 목동 교보라니ㅜㅜ저희 집 앞이라 진짜 자주 가는데 왜 언니 한번도 못 뵌 거죠ㅜㅜㅜ다음에 꼭 한번 만나 뵐 수 있었으면 좋겠어용❤️❤️❤️,24개,2020. 5. 23.
수갱,즈하님 168cm 케이스라는 사이트에 하트 모양 스마일 그립톡도 있고 하트 모양 안에 스마일 꽃 그립톡도 있어요! 즈하언니가 좋아하실 거 같아서 댓글 남겨요 💕 보고 좋아하셨으면 좋겠어요❣❣오늘도 좋은 영상 감사합니다 건강하세요➰🌹,115개,2020. 5. 23.
김지수,"23:43 부분에 흥얼거리시는거 혹시 국민,,,체조,,노래인가요?🤔,,, 아무 생각없이 보다가 이게 뭐였지 한참 생각했어요 ㅋㅋㅋㅋ",68개,2020. 5. 23.
smile,몽글몽글하신모습 진쫘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ양이 말을하는것같아욬ㅋㅋㅋㅋㅋㅋ,60개,2020. 5. 23.
