,youtube_id,comment,like_num
0,다또아Daddoa,"Instagram: daddoa

여러분 인스타도 매니 놀러와주세요
라이브 방송 자주 해요!! ❤️🔥❤️🔥
그럼 오늘도 좋은 하루 되길 🥰",13개
1,사랑,언니 확실히 전보다 되게 많이 밝아진거 같아요 ㅋㅋ!! 날씬하고 돈많도 그런 언니도 좋지만 그냥 지금 이대로의 언니도 좋으니까 오래 봤으면 좋겠어요💘,18개
2,홀리holy,마 내가 바로 다또아다 자신있나,19개
3,한츄,"진심으로 예전보다도 예뻐보여요...
당당함이 만들어주는 효과일까요ㅎㅎㅎ❤️",344개
4,해솔,언니 인간미 철철..... 사람이 추락했다가 올라서면 많은 것을 얻고 돌아온다던데 그말이 사실이었군뇨..  표정에서부터 전과 다른 것이 느껴져요. 진짜 밝은 모습으로 돌아와줘서 너무 고마워요❤ 언니의 행보를 응원할게요!,508개
5,김인혜,세상에 너무 쌍콤하다ㅠㅠㅠ 언니 진짜 이런 밝은 모습 너무너무 그리웠어요ㅠㅠ 스스로 벽을 허물고 나와주셔서 너무 감사하고 다시 돌아와주셔서 너무너무 감사해요ㅠㅠ 앞으로도 좋은 영상 많이 많이 올려주세요 사랑해요❣️❣️,160개
6,이뎡이,"솔직하게 난 다또아채널  메이크업영상보러오는게아니라 다또아님을 보러온다 이유는 내가 내손으로 메이크업을 안하니깐 근대 자주 잠수타고 점점 옛날 모습이 없어지고 어두워지는것 같아서 그냥 옛날영상만 찾아봤는데 오늘  올라온  영상은  마냥  귀여웠다
밝아진모습 보기  좋았구 자기자신을 가리지않고 보여주는 모습과 꾸밈없어보이는 유쾌함도 보기 좋았다
이젠 이런 솔직한 모습으로 다또아님이 올리고 싶은 영상을 올려 주셨으면 좋겠다",59개
7,보라,"비포 애프터사진을 굳이 그렇게 넣지 않는게 좋은것같아요!:) 수많은 미디어속에서 말하는 '화장을 통해 완벽하게 달라진 나'가 제가 여성으로 살면서 저를 가장 옥죄고 힘들게했던 요소들이었던 것 같아요. 저도 한때  다또아님처럼 살찌고 화장안한 얼굴, 이쁘지 않은 나는 내가 아니라고 저자신을  부정했었어요. 하지만
지금은 책을 많이 보고 배우면서 그것또한 나자신이며 여성들은 굳이 이뻐야할 책임도 의무도 없다는것을 깨닫고 저자신을 온전히 이해하고 사랑하게 되었어요.요즘에는 민낯으로 밖에도 자주 나가게 되고 화장 안한 저의 얼굴에 익숙해지려고 많이 노력하고 있어요. 옛날의 저보다 지금의 제가 훨씬 당당하고 사랑스럽다는것을 자주 느낍니다.
 다또아님이 원하는일을 행복하게 즐기는 모습을 보니 너무 기뻐요!!
지금처럼 다또아님이 주체적이고 당당한 여성으로 살아갔으면 좋겠습니다.무슨일이 있더라도 항상 당신을 응원하고 사랑합니다♡♡♡♡",306개
8,ChristinaThearas,"Im glad that you finally found yourself again. Im really happy that you're back, brighter.. Unnie, we love you!!",11개
9,젠젠,영상속의 감정표현이 전보다 더 다양해지고 밝아지신것 같아서 보기도 너무너무 좋네요 좋아요!,23개
