닉네임,댓글,좋아요수,날짜
UNDERkg,"- 안드로이드 10 쓰시는 분들 모두 조심하세요!!
특정 배경화면 설정 시 기기가 뻗어버려서, 운이 좋으면 안전 모드 나쁘면 초기화해야 해결된다고 합니다.
갤럭시, LG, 픽셀 할 것 없이 문제가 발생한다는데, 제 픽셀에서는 안 그러는 것 보니 기기마다도 또 다른가봐요.
들리는 얘기로는 해당 파일의 색영역 프로파일이 구글 Skia로 설정되어 있는데, 이걸 안드로이드가 해석하다가 뻗는 것 같다네요.
(참고로 색영역 프로파일이 뭔지에 대한 내용은 요쪽으로 http://youtu.be/MaVWqTezTaI )
윈도우 10이 뻗는 떡볶이 사진도 있다고 하니, 그것도 저장하지 않도록 주의!!",348개,2020. 6. 1.
TimCook,HA HA!!,494개,2020. 6. 1.
장태혁,"제 친구 누가 배경으로 예쁘다고 보내줘서 했다가 먹통되서 초기화할뻔했다네욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
안전모드해서 끝났다니다행",432개,2020. 6. 1.
BearGryllsz,호기심에 해보고 당황해서 들고올 사람들때문에 A/S센터 직원분들의 절규소리가 들린다..,212개,2020. 6. 1.
밥담,영상으로는 만족감이 안들어서 바로 동생폰으로 해볼게요,1개,2020. 6. 1.
이권일,그걸 굳이 Z플립으로...ㅋㅋㅋㅋ,272개,2020. 6. 1.
신정임,"1:24 아이ㄱ
1:32 어이구야
2:00 어아이구
2:02 어이구?
2:10 어이구홓홓로ㅗㅎ
2:16 아이구
2:22 아이고...
2:35 아이구!",163개,2020. 6. 1.
MUY,노트5 s펜 역삽입 사태 시즌2ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,23개,2020. 6. 1.
이혁,내폰을 맨날 만지는 여동생의 휴대폰에 몰래......ㅋㅋㅋㅋㅋㅋㅋㅋ 생각만 해도 휴대폰이 넘 줄쌍하네요,73개,2020. 6. 1.
댁은누구Su,"두목님 질문있어요!

만약 안드로이드9에서 10으로 업데이트 하는데 9에서 미리 이 배경화면을 적용해놓으면 어떻게 되나요?",29개,2020. 6. 1.
