,youtube_id,comment,like_num
0,삶은계란,5:35 영어로는 자몽음료라고 적혀있으면서 밑에 감기약 맛 나는 맛없는 음료ㅋㅋㅋㅋㅋㅋㅋ,328개
1,꿀키honeykki,"얼마전 구독자 200만을 돌파했어요

올해에는 제가 하고싶었던, 배우고 싶었던 일들을 배우느라 유투브 업로드가 뜸했는데도 불구하고
200만이라는 큰 숫자가 되었어요. 항상 감사하고, 고맙습니다.

올해 얼마 남지 않았지만, 구독자분들 모두 따뜻하고 행복한 연말되시길 바랄게요.
------
얼마전 친구들과 함께 해산물 파티를 했어요!
간단하지만 폼나는 요리들로 함께해요~!

I had a seafood party with my friends a couple days ago!
Enjoy with me my holiday dinner with these simple yet festive dishes!
If you like it, please click 'Like' and Subscribe. @t",397개
2,MoMo,You are a master chef if I tried to do this you would see my face on the news for burning down 6 houses.,82개
3,박수희,완전 초창기에 콘치즈밥 보면서 맛있겠다 생각한게 엊그제같은데 200 만이라니 너무 축하드려요 꿀키넴💕,100개
4,AnnieLee,wow whoever gets that octopus leg is the winner,12개
5,안뇨뇨,"나 : 와 샴페인인가? 맛있어 보인다 
영어자막 : grapefruit drink
한글자막 : 감기약맛나는 맛없는 음료
영어자막 : grapefruit....
한글자막 :",20개
6,JongminKim,가리비 토마토 스튜에 가리비 다먹고 남은 소스에 파스타 해먹어도 맛나겠어요,29개
7,HyewonJeong,꿀키님 블로그 하실 때 드립에 반해서 자주 보던게 엊그제 같은데 벌써 몇 년이 지났는지...! 무언가 하나를 꾸준히 열심히 하신다는게 대단한 것 같아요! 200만 구독자 진심으로 축하드리구 앞으로도 맛있는 요리들 부탁드려요 :D 행복하세요!,44개
8,SJP,Grapefruit drink- 감기약맛 나는 맛없는 음료ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,18개
9,NickColgate,Wonder what makes that chicken stock cute 2:02 =p,22개
10,따라쿡ddaracook,4:05  문어다리만 구워먹어도 맛있겠어요 🤤,8개
11,지야TV,꿀키님 영상은 달꼼한 꿀맛+따뜻한 우유맛이에요,4개
12,ChristinePark,감기약맛ㅋㅋㅋㅋㅋ 역시 솔직한 맛에보는 꿀키!,3개
13,진진,"꿀언니 요리용 화이트와인 추천해주실 수 있나요???? 봉골레 너무 좋아하는데 화이트와인 어떤걸 써야 맛있을까요???

영상은 진짜 언제나 대박입니다👍🏻👍🏻",12개
14,쪼꼬미,문어 팬에 올릴 때 펑펑 튀기는거 보고 아찔했네욬ㅋㅋㅋㅋ 저였으면 멀찌감치 도망감,4개
15,hyunjoojeon,"몇년째 꿀키님 동영상을 보고있지만 단 한번도 요리를 따라해본 적은 없음....
(2백만 축하드려요!)",3개
16,윤풀,예쁜 글씨에 그렇지 못한 맛의 음료...ㅋㅋㅋㅋㅋㅋㅋㅋ감기약 으으..,3개
17,박혜령,"우와아아앙 선댓글!!!!

ㅡㅡㅡㅡ
감상중 ㅠㅠ 꿀키님 새해에도 대성해서 구독자 300만 찍으시고 적게 일하고 많이 버세요...!!! 땅콩이도 건강해...!!!",13개
18,LADYULIA,Its raining here now in Jakarta and watching this make me wanna eat right nooow,3개
19,mashedpotato,2:02 영어자막 큐트한 치킨스톡ㅋㅋㅋㅋㅋㅋㅋ 우리집껀 안귀여운데...흑,3개
20,Hyuni현이,꿀키님 치즈밥이랑 옛날 쫄면 영상 보고 구독했는데 벌써 200만이라니ㅠㅠ축하해요!!! 꿀키하우스 채널도 잘 보고 있어요! 손목 조심하시구 미리 메리 크리스마스💟,1개
21,귤귤,꿀키님..제가 청소년일 때부터 너무너무 좋아했었는데 이렇게 오래도록 꿀키님의 컨텐츠를 볼 수 있어서 정말 행복합니다!ㅠㅠ 200만 구독자 정말 축하드려요~🕺🏻✨,2개
22,Ender,I wanted to come and wish you a happy new year! I’ve  loved cooking and eating while watching your videos this year I always look forward to seeing them 💜💜💜,1개
23,은지,감기약맛나는 맛없는음료 ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개
24,정다영,저 항상 꿀키님 영상 보면서 힐링해요ㅠㅠ,0개
25,Flowercocco,"저는 오늘 해물탕을 해먹었는데!!ㅎㅎ 꿀키님, 이번 한해 요리로 함께 있어주셔서 감사했어요. 앞으로도, 2020년도에도 잘 부탁드려요. 해피 윈터, 해피 크리스마스, 해피 2020년🎂🎂",1개
