,youtube_id,comment,like_num
0,SomiFit,"안녕하세요! 여러분 소미핏 미서원입니다.
복싱카디오 영상 다시 수정해서 올려요! 다음동작 미리보기 추가하고 영어 보이스오버 한 거 너저분해서 제거했어요 ㅋㅋ 
펀치할때 주먹쥐고 진짜 펀치하듯 해주세요. 🤣👊😆👊 아자자",34개
1,얼마나조은지,와....18분이라고 해서 얕봤다가 한세트하고 엄청 지침...다하니 땀이 주르륵륵 납니다!!,10개
2,생강차,두 번째 세트 킥할 때 느므느므느므 힘들어여....ㅋㅋㅋ땀 흠뻑...감사해요 내일 또 하러 올 수 있을까요..올게요!!,1개
3,GorgoK,7분인데 벌써..죽을것 같다...,1개
4,스티치,오늘부터 할 것 ㅋ,6개
5,RosaJun,dying but anyway finished... paused three times while it's still playing tho ... anyway thanks for video .... (still dying but thanks),6개
6,김예은,이건 일주일에 세번은 해줘야 제맛!!!!!!!👍🏻 짧은시간에 전신운동효과로 찐!!!!,5개
7,김또또,이거 할 때마다 눈물 나는 건 왜 일까^_ㅠ.....ㅎㅋㅋㅋㅋㅋㅋㅋ,1개
8,왕감쟈,소미님 카디오중에 제일 최고힘들어여...😂😂 땀이 진짜 주르륵 흘러요 ㅋㅋㅋ 덕분에 스트레스도 풀리구 넘나 감사해용😍,1개
9,슘슈미,와.. 쉽게 봤다가 하고 뻗었어욬ㅋㅋ큐ㅠㅠㅠ 땀이 줄줄 흘러요😂,0개
10,sweety080,와 진짜 대박이예요! 스쿼트 제대로 못 따라했지만 2세트 다 하니 땀 뻘뻘 나네요~ 늘 감사합니다!!!,1개
11,희연,마침 찌뿌둥했어요!!!! 버닝하기🔥🔥저 복싱하시어요 너무 좋아요ㅠㅠㅠㅠ 이거하면 안쓰던 근육도 쓰는지 팔근육 뻐근해요🤗,0개
12,happiness,"와 단기간 체지방 감량 15분, 11분 루틴 영상 두개 해보고 새로운거 해보고 싶어서 해봤는데 땀이 주륵주륵이네요 ㅎㅎ 오전에 복싱으로 했으니 저녁엔 15분 유산소로 달리겠습니다!! 소미님 영상 보면서 열심히 잘 따라하고 있습니다! 감사해요! 홧팅홧팅",0개
13,이형경,와우... 제일 재미있는 홈트였어요 내일도 올게요 ❤,0개
14,윤서의하루,메일 도움되는 영상 감사하니다😚,0개
15,꼬부기,수정한 영상이 확실히 보기 편한 것 같아요! 그런 의미로다가 오늘 마무리 운동은 복싱카디오로😋,1개
16,JungHong,요즘 자주 자주 올려주셔서 너무 좋아요.아침부터 땀땀 뻘뻘..감사합니다!!,0개
17,빨강머리앤,"음...이건 했었던 그것!
같은 영상인거 같은 그건 뭘까요??",0개
18,JH,"마지막으로 뛰세요 하실때 울뻔;;
아 이거 눈물 아니에요 땀 입니다  •́ ‿ ,•̀",1개
19,조혜원,아 사라진줄알고 심쿵햇네여..열심히할게용😍,0개
20,jinseo,너무 길면 지루해서 안하게되는데 이 영상은 길지도 짧지도 않고 적정시간에 동작들도 다양하고 길지 않아 덜 지루하고 재밌어서 운동할 때마다 고정 루틴이 되었어요. 감사합니다💖,0개
21,이leelee,복싱 아쥬 좋아용!!!,0개
22,김예원,...죄송해여...2세트 마운틴때 포기해버렸어요....포기는 김장할때만 하는건데.....내일은 꼭...마지막까지 할게요...,0개
23,graceChoi,저도 두세트째에 스쿼트는 못했어요~ 하다보면 할수 있겠죠? 전신 스트레칭 마무리하는데도 여전히 땀이..,0개
24,JinKim,"15분유산소운동을 이걸로 하루운동끝냈습다 한한시간 이상운동효과네요
복싱 넘좋아요 스트레스 확~~풀렸어요
감사합니다 계속할게요",1개
25,mingmingHong,우와우 이 운동 추가해야겠다~ 재미있겠당~,0개
26,MIJANG,이거 진짜 진짜 좋아요 근력운동 전에 요가매트 위에서 하는데 땀 주륵주륵 !,0개
27,hanaJang,이거 찐 인정! 고강도 전신 근육 운동도 처음에 2세트하고도 이렇게 힘들진 않았는데...이거 한세트 하고 머리에서 노란별이...,0개
28,,전에보다  건강해  보이세요,1개
29,김형숙,"35 분 쭈욱 하다가  살짝 지침이와서   새로운거 찾다  헤매다  시간 낭비하고 결국 다시왔어요
어제  복싱 카디오 첨 시작했는데   
놀라워요  허벅지안쪽 혈관뭉침이 있어  순환 문제로 다리가 엄청붓고 아팠는데
오늘 붓기 쫘악  빠지고  넘시원해서   엄청  기분좋아라하고있는데    ㅋㅋ
수정본이  올라왔네요~^^
이운동 쵝오 !
35전신이랑  번갈아가면서  할거예요
다시   시작!     아자!",2개
30,리미니밍,35분전신과 복싱 정말 힘들어요 할때마다 힘들어서 그만두고싶은데 뛰세요 무거우다리를 겨우움직이네요 늘 좋은영상 감사드려요,0개
31,jisukKim,"방금했는데  마운틴클라이머 할때
허리가 아파서 쉬면서 했네요.땀이 뚝뚝뚝  떨어져요 좋은영상 만들어주셔서 감사해요~~^^",0개
32,국자,가쥬아~!~!~!~!~!~!~!,0개
33,김이야,언니...저 이거 하려고 하는데 비공개라고 떠서 식겁했잖아요ㅠㅜ수정본 올라와서 그랬군요ㅠ 다행입니다,0개
34,카페다방,미서원 누나 꾸준함이 진짜 대단해요!!,1개
35,알통달통TV운동하는여자들,복싱 조오타!!❤❤,4개
36,sunggyusim,"유산소운동인가요?
근육운동인가요?",0개
37,Mihx,와 두세트 아직은 다 못하겠다  한세트하고 내일 다시 해봐야지...이걸 마스크 끼고 하시다니 대딘해요😂👍,0개
38,,안녕하세요 이거 집에서 자주 하고있는데 와이드스쿼트 할때마다 무릎에서 뚝 소리가 나고 운동 다 끝나면 오른쪽 골반에 통증이 있어요ㅜㅜ 자세가 잘못되서 그런걸까요..? ㅜㅜㅜ 운동 전 스트레칭도 해줬는데😭😭,0개
39,MiseonCho,"사랑해요... 이렇게 땀흘리며 운동해본적 오랜만이에요 증말. 이거하고 어제먹은붓기 쫙빠졌어요ㅠㅠ❤️ 마스크끼고 운동하시느라 힘드실텐데 늘 좋은영상 감사해여. 진짜 모든 스트레칭 , 운동 자극 제대로 오는 소미핏👍🏼👍🏼",0개
40,여름,미서원님 드디어 제가 딱 좋아하는 유산소 운동을 찾았어요 ㅠㅠㅠ 복싱 잽부터 마운틴클라이머까지 완벽 ... 단시간내 땀 뻘뻘나고 팔 다리 복부 다 쓰는 것 같아서 너무 좋네요!!! 헬스장 갈 시간 없을때 집에서 이거 해야겠어요 좋은 영상 너무 감사합니다 ❤️,2개
