닉네임,댓글,좋아요수,날짜
헤이즐Heizle,오늘도 제 영상을 보러와준 헤이즐넛 여러분💙💙 은 내일 행복한 일이 생길꺼에용🎠🔮🎉,355개,2020. 4. 25.
로즈즐넛,여왕님이 바쁘게 일하다가 잠시 쉬고싶어서 자연 속에있는 별궁에서 혼자서 조용히 취미생활을 즐기는 것 같다,70개,2020. 4. 25.
윤총총chongchong,3:45 ㅋㅋㅋㅋ여기 그짤 생각나요 삼시세끼에서 유해진이 강아지뭐하는지 불안할때 이름부르면서 안돼!!!이런다곹ㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,20개,2020. 4. 25.
yoonna,저는 항상 꽃이든 나무든 식물을 기르면 오래가지못하던데 ㅠㅠㅜㅠ그나저나 피부 진짜 레전드...🌟어떻게 뾰루지 하나없이 깨끗하나요 증말ㅠㅜㅠㅠ,67개,2020. 4. 25.
k,댕댕이 갑자기 안보이면 불안한거ㅋㅋㅋㅋㅋ 핵공감ㅋㅋㅋㅋㅋ,23개,2020. 4. 25.
헤이즐Heizle,English subtitles are complete!👍😍❤️,77개,2020. 4. 25.
후르쯔테일FRUITTAIL,진짜....제 로망...테라스 꾸미기.. 그냥 정원이 잇음좋겟타는...ㅠ.ㅠ. 게다가 담쟁이 덩큘..ㅠㅠ 정원 벽의 끝판왕...👑❤❤ 진짜 완전 힐링이에여..ㅠ 너무 이뿌게 잘꾸미셨네욥..!!♡♡ 다음 영상두 기대할께요!!!,39개,2020. 4. 25.
청아,3:52  잘 가~~~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3개,2020. 4. 25.
Heming,나의 꿈 = 테라스 있는 옥상을 헤이즈님처럼 꽃과 식물과 나무로 예쁘게 꾸미고 행복한 공주님같이 살기!🙈,27개,2020. 4. 25.
현아,진짜 언니 영상은 왠지 모르게 힐링이 되는 것 같아요 ㅜ 언니 뜬금 없지만 진짜인가 사랑해요 ㅜㅜ 많이 챙겨보고 있어요 !! 헤이즐님 화이팅 !!정원 넘 이뻐요 ㅜㅜ 저도 크면 똑 저렇게 정원 만들어서 꾸미고 싶네요 ㅎㅎ,4개,2020. 4. 25.
조윤빈,헤이즐님은 하울이나 flex 하는 영상도 좋지만 이런 평화로운(?) 일상의 브이로그가 더 좋은것 같아요🙂,35개,2020. 4. 25.
까꿍,언니 담쟁이넝쿨 다는거 멋있다.. 뚝닥뚝달 손재주👏👏,21개,2020. 4. 25.
김지원,"저 레몬 이탈리아 쏘렌토 갔을때 봤었어요,,ㅋㅋㅋ 자몽인줄알았는데 엄청 큰 레몬이였어요ㅋㅋㅋㅋㅋ",14개,2020. 4. 25.
심심,무언가를 꾸미고 쇼핑하고 내가 행복해 하는걸 하는게 삶의 낡인것 같아용!! 항상 좋은 힐링 영상 감사해용😍😍,35개,2020. 4. 25.
socha소차,진짜 언니는 뭘해도 잘하고 이뿌고 진짜 언니 볻받구 싶어용❤️🧡💛💚💜,4개,2020. 4. 25.
서연마리,언니 이런 잔잔한 영상도 진짜 너무 좋아요 힐링된다 하 따랑해요 😭💛💛,7개,2020. 4. 25.
1학년7반13번유수아,아 언니 썸네일 무슨일이야 너무 귀엽잖아요ㅜㅜ 그리고 원래도 이뻤지만 요즘 더 영상들의 분위기가 너모 옙버영♡ 힐링 그자체..☆,4개,2020. 4. 25.
서유진,여름 밤에 저 지붕에 누워서 별 구경하면 세상 행복할 것 같네요ㅠㅠ,3개,2020. 4. 25.
은주,갓헤이즐😊😊😊😊💜💜💜💜,2개,2020. 4. 25.
채은,"조금 늦었지만 오늘도 목소리 너무 취저입니다❤🙊
이런 브이로그 너무 너무 좋다구요오오😍❤👍🏻
사랑합니당 !😘〰️",4개,2020. 4. 25.
SeaWoo,언니 자체가 힐링이야..❤️❤️,10개,2020. 4. 25.
규민,오늘도 너무 이뻐요 ㅠㅠ ❤️❤️,4개,2020. 4. 25.
멜로디,오늘 언니 티비에서 플립광고 봤는데 너무 예뻐서 소리쳤어요😭😭😭,2개,2020. 4. 25.
까꿍,개때끼 ㅋㅋㅋㅋㅋ 로또 진짜 귀엽다ㅠㅠㅠ,3개,2020. 4. 25.
호다다다다다,담쟁이 덩굴 단 모습 기대하고 있었는데 예쁘네요ㅠㅠ짱🔥👍 집에 식물이 많으니까 확실히 싱그러워보이고 좋아요!! 일일이 관리하기 힘드실텐데 엄청 부지런하신가봐요☺️,2개,2020. 4. 25.
주은Jueun,영상보면서 제 로망이 떠올랐어요☺️열심히 일해 누구보다 더 멋진 커리어우먼이되어서 내가   하고싶은일을 하면서 소중한사람과 함께 살아가는게 제 로망인데 이즐님영상을 보면서 다시한번더 행복한 제 로망을 꿈꿀수있어서 좋았어요! 😊정말 고마워요!😊그리고 저도 요즘 해리포터에 빠져서 다시 영화로 정주행하고있어요!집에만 있더니 너무 심심하더라구요🥰마지막으로 모든분들 이즐님도 항상 즐거운날만 가득했으면 좋겠어요!😚,18개,2020. 4. 25.
LL,cnp 진짜좋은데!!!! 진짜진짜 평생템인데ㅠㅠ 언니랑 통했어❤,3개,2020. 4. 25.
민,오늘도 너무 예쁘네영😍 못하는게 진짜 모야ㅠㅠㅠㅜ,3개,2020. 4. 25.
CarrieSkyies,loveeee how you decorate everything!!!💜💜😭,1개,2020. 4. 25.
솔솔,"테라스 꾸미기 제 로망,,, 언니 영상보면서 대여만족해야겠어여ㅎㅎㅎ❤️",4개,2020. 4. 25.
햇반의러브아이즈,언니 영상 이쁘게 잘 볼께요!! 오늘도 수고하셨어요!!,4개,2020. 4. 25.
두두,흡...행복해보여ㅠㅠ 역시 고생 끝에 낙이 온다고 언니의 그 모든 고민들이 언니를 다시 더! 행복하게 해준거 같아요😽 너무 다행이고 부러워요 언니 영상 보고 있으면 행복해져요 고마워요 언니💓👩‍🎨💓,2개,2020. 4. 25.
말하는껌,"헐 레몬나무✨🍋
저는 나중에 제마당이 생기면 꼭 레몬이랑 무화과랑 토마토같이 먹을수 있는 녀석들을 잔뜩잔뜩 키울거에요😚",2개,2020. 4. 25.
호야야양,로또는 진짜 복받은거야 어뜨케 한 평생 헤이즐 언니를 보겠어 로또는 진짜진짜 복받은거야,4개,2020. 4. 25.
앙ANG,이언니 얼굴이 얼마나 쪼매난거야ㅠㅜㅠ 마스크가 남아돌아도 너무남아돌자나ㅠㅜㅠ 이런 힐링 컨텐츠 너무 좋아요ㅠㅜ 시간가는줄 모르고 봐요😍😍,7개,2020. 4. 25.
민서minseo,"빨리왔다용,, 보고만 있어도 힐링되는 언니영상..💙언니두 낼 행복한일이 생길꺼에요,,🥰🔮",3개,2020. 4. 25.
ejBaby,진짜 이런집에서 살면 진짜 좋을것같아요ㅎㅎㅎㅎ부럽네요♡,2개,2020. 4. 25.
arim아리미,제꿈이 집 테라스에서 그림을그리면서 힐링을 하는건데 헤이즐님 영상을보면서 정말 대리만족 엄청 되네요😭다시한번 저의 목표가 생기게됬어요..! 요즘 이런 일상영상 너무너무 잘 보는중이에요 좋은 영상 감사합니다❤️,3개,2020. 4. 25.
효민,내일 친구 2개월만에 만나기로 했는데 언니가 댓글로 내일 행복한 일있을거라 해서 기분이 좋네요!!,10개,2020. 4. 25.
이채림,테라스 정원이야 정말~~~ 책읽는거 들으니깡 해설부분은 차분하게 너무 잘읽어서 책읽는 영상해두 되갰어여~~ 요즘 전 피부가 엉망이거든요.. 뾰루지가 올라와요.. 저도 언니처럼 피부 깨끗해지고 싶네요... 😭,9개,2020. 4. 25.
수주현,뭐야 맨날 예뻐 맨날 세상 혼자 사는 사람같아요 ㅜㅜ,2개,2020. 4. 25.
루다,헤이즐님 ❤️❤️ 진짜 너무 사랑해요 ㅜㅜㅜㅜ 완전 와 그냥 감탄 밖에 안나올정도로 예쁘세요 ㅜㅜ 생얼이든 화장한 얼굴이든 ㅜㅜ ❤️❤️❤️❤️❤️❤️제 롤모델은 헤이즐님입니㉰!!!!!,2개,2020. 4. 25.
이정아,진짜 그림 그리다가 저렇게 풍경 보면 속 답답했던 것들도 좀 진정되고 마음도 편해질 것 같아요ㅎㅎㅎ 저도 그런 공간이 있었으면ㅠㅠ 그런 느낌들이 언니 그림에서도 묻어나는 것 같아효ㅎㅎㅎ🥰 그 감성들이 묻어나는 전시회도 꼭 보고싶어용 엉엉ㅠ,10개,2020. 4. 25.
공재경,어제 일찍 자서 이제야 본다 엉엉 ㅜㅜ 아침에 일어나자마자 보는게 정말 선물같아요 ㅠㅠ 💜💜,3개,2020. 4. 25.
안되,와... 언니 피부가.... 무슨일이죠 ???? 진짜 너무너무 좋아보여요ㅜㅜ 그리고 식물을 직접 키우시는거 너무 멋져요..  또 향기도 난다니.. 저도 직접 맡아보고 싶네요 ...ㅋㅋ 언젠간 향도 동영상보면서 느낄수있는 날이 오겠죠 ???ㅋㅋㅋㅋㅋㅋㅋ 암튼 오늘도 잘 보고 가용!!,2개,2020. 4. 25.
,언니ㅠㅠㅠ 행복한일은 현재진행형이에요ㅠ 언니영상보니까 너무 행복해요 내일도 있을거라니 사랑해욥❤ 저두 꽃꽃이 배워보고 싶어요! 테라스 꾸미는것두 보면 너무 예쁠것 같아요!!,3개,2020. 4. 25.
버블다미,선댓 후 감상이용,3개,2020. 4. 25.
지연jiyeon,언니영상을 보면 항상 즐겁고 힐링되요❤️,5개,2020. 4. 25.
김예령,ㅠㅠㅠㅠㅠㅠ 요즘 언니 영상 보는 거 너무너무 힐링 되고 좋아요❤️❤️ 제가 그림이나 꾸미는 거에 소질이 없어서 그런지 언니 영상 보면서 대리만족 최곱니당🥳🥳 항상 언니가 즐거운 일 많이많이 해주세요❤️ 언니가 좋아하는 일 하면서 행복해하는 모습이 너무너무 예뻐요ㅠㅠ😘 싸랑합니닷!,2개,2020. 4. 25.
토리tori,"저도 이즐님이랑 비슷한 옥상이 있는데 양재꽃시장에 양귀비 너무너무 이뻐요 ㅠㅠㅠㅠ 찔레 너무 이쁘답니다
.... ㅠㅠㅠ 양재꽃시장 추천드려욥 !",1개,2020. 4. 25.
병따개,수수한 헤이즐언니 넘나 이쁜것,4개,2020. 4. 25.
PO뭉게WER,"꺄아아아아아 이즐언니 영상이다ㅠㅠㅠㅠㅠㅠㅠ짱 행복한 주말이에요❤️ 진짜 테라스에서 그림그리기,,, 제 꿈이에요! 오늘도 영상 잘볼게요💕",2개,2020. 4. 25.
덩실덩실,헐 완전 빨리왔다.. 오늘도 선댓후감상😊,2개,2020. 4. 25.
nakyungkim,요즘 헤이즐언니 집에서 취미생활하시면서 편안해보이고 훨씬더 행복해보여용👍🏻♥️♥️,5개,2020. 4. 25.
꿀꿈곰돌이,하고 싶은 좋아하는 일을 하면서 성공한다는 건 어떤 느낌일까..ㅠㅠ 헤이즐님 진짜 제 워너비..,1개,2020. 4. 25.
