닉네임,댓글,좋아요수,날짜
흑자헬스SurplusHealth,"[아이언맥스 보충제] http://www.ironmaxx.co.kr/ 
할인코드 'Black'
 
[미트리 닭가슴살]  https://metree.co.kr/index/index.php?sponsor=100103454
추천 코드:100103454 
 
운동 전 부스터 음료 [고릴라밤]  movemore.co.kr
할인코드 : surplus",90개,2020. 6. 1.
바키격투맨,"솔직히 국위선양도 없음. 리우올림픽 금메달 개수 기억하는 사람? 메달리스트 당장 떠오름? 
국위선양이라면  다른나라 메달리스트 중 아는사람 몇명이나 있음? 
솔까 국뽕도 그냥 국내용 국뽕임",19개,2020. 6. 1.
김동훈,국뽕팔이가 지금도 통하는 한국. 건강한 비판조차 용납을 할 수 없는 게 안타깝네요. 흑자형 일침 졸잼 이런거 좋아,527개,2020. 6. 1.
JinwooKim,"재밌는 영상도 좋지만, 이런 영상이 정말 진국이다.
어릴때부터 운동을 좋아해서 체고 체대, 혹은 체육계열 학과를 추천받은 적이 종종 있었는데, 나는 가지 못했다.
너무 무서웠기 때문. 
초딩때 처음 출전한 태권도 대회에서, 어떤 코치가 12~13살 남짓 되어보이는 어린선수에게 싸대기 풀스윙으로 때리는 걸 봤다.
그 어린애가 맞은 이유는 경기에서 져서... 
당시에는 지면 맞고, 성과가 부진하면 맞고 아무튼 비인간적인 대접이 당연했다.
내가 대학에 입학했을때도 그러한 분위기는 쉽게 바뀌질 않더라. 
내가 다니던 지방대의 체육학과는 1학년 학기초 자퇴율이 높았다.
자퇴율이 높으면 그걸 학과내에서 부끄러워해야하는데, 오히려 자퇴한 학생들을 멘탈이 약하다며 비난하더라.
도저히 정상이 아니라는 생각이 들었다. 동시에 내가 체육계열을 선택하지 않았음에 안도했다.
모든 운동이 소수의 엘리트 위주로 돌아간다. 
엘리트 체육은 소수만이 누릴 수 있는 특권이자, 인자강이 아니면 도태될 수 밖에 없는 잔인한 시스템이다.
올림픽에서 많은 금메달을 획득한들, 그것이 수많은 운동인들의 절망과 고통으로 이루어진 것이라면 
마냥 좋게만 볼 수는 없을 것 같다.
성과위주의 엘리트 스포츠에서 결과만 잘나오면 용서받는다는 분위기는 스포츠 시장을 망친다.
문제를 일으킨 야구선수가 '야구로 보답하겠다'는 말을 한 적이 있다.
문제를 일으킨 가수가 '좋은 노래로 보답하겠다' 는 말을 했는데, 그것과 겹쳐보이더라.
야구건, 노래건 자신의 일이기에 당연히 해야하는 부분인데, 성과만 내면 잘못이 묻히니까 저런 말을 하는거겠지.
내 자식이 인성이 어찌되건, 성적만 잘나오면 되고, 명문대만 가면되고, 대기업만 가면 된다는 잘못된 부모의 시각으로
예체능인들을 바라보고 있었던 건 아닌가 싶다.
소수만이 인정받고 다수는 당연히 패배자의 길을 걷게 만드는 시스템이 과연 옳은 길인가? 하는 문제를
흑자님이 잘 지적해줬다고 생각한다.


예전에 허영만 작가님의 '꼴'에서 냉철한 인간의 상? 아무튼 그런 관상을 설명하는 에피소드가 생각난다.
활 잘 쏘는 캐릭터가 나왔는데, 실력은 좋으나 관상학적으로 정이 많고 냉정함이 부족해 사람을 못죽이는 그런 관상이었다.
그래서 전쟁에서 공을 세울수 없어 좌절하는 모습으로 그려졌다.
활을 잘 쏘더라도 냉혹함이 부족한 자는 전쟁에서 사람을 죽일 수 없다. 
이런 자는 아무리 활을 잘 쏴도 실력을 발휘하기 힘들다~ 뭐 이런식의 설명이 있었다.
'그래 뭐 당연하지~전쟁에 써먹지 못하는 활솜씨가 무슨 소용이 있겠어.' 생각하며 스크롤을 내렸는데
댓글창에 신박한 글이 있었다.
 '굳이 전쟁에서 공을 세워야하나? 저 활솜씨를 잘 살려서 일반 사병들의 활쏘기 교관이 되면 되지않나?'
활쏘기 교관이 되어 수십만 대군의 활솜씨가 향상되면, 저사람이 혼자 적군을 처지하는 것보다
몇배는 더 공을 세우는게 아닐까?' 
이 댓글을 읽은 많은 이들이 현명한 답에 감탄했다.
한사람 한사람의 특별함이 경시되고, 한가지 길에 맞추지 못하는 사람이 전부 패배자가 된다면
우리는 너무 잔인한 사회를 살아가고 있는게 아닐까.",351개,2020. 6. 1.
DataBase,흠 심도 높은 주제네요 사실 제가 미국 유학하면서 가장 부러웠고 실제로 많이 이득을 보았던 점이 미국은 초등학교부터 대학교까지 학교스포츠팀과 설비가 잘 구비되어있고 운동활동을 하는 것을 굉장히 너무너무 장려한다는점이죠.,409개,2020. 6. 1.
마자신있나,쇠막대기 3개나 박아서 철봉이나 좀 많이 만들어주지 뭔이상한 스트래칭기계나 ㅈㄴ많고 빡친다,105개,2020. 6. 1.
시계랑신발,일본만해도 공립 초등학교에도 수영장이 있습니다. 어릴 때 부터 수영 연습을 시킵니다. 테니스 코트도 있구요. 말씀대로 태릉에서 운동해서 금메달 따서 국위 선양 하는 시대는 지났다고 생각합니다.,337개,2020. 6. 1.
파토난코치,이 형 맞는말 참 잘해,209개,2020. 6. 1.
Siri,"진짜 동감합니다. 생활체육 좀 보편화시키고 엘리트 체육 좀 안 했으면 좋겠어요. 진짜 살 만큼 살게 됐는데, 국민 복지차원에서도 생활체육 활성화는 필수지 않나 싶습니다.",235개,2020. 6. 1.
뭐지,"맨날 하던 생각들임 진짜...
메달리스트들의 노력은 정말 존경스럽지만 엘리트체육의 관점에서 실패한 선수들은 과연 더 많은 노력을 한 사람은 없었을까?
재능이 있고 노력을 했음에도 폭언과 폭행을 견디지 못해 그만두거나 과도한 운동으로 부상 당해 포기할수 밖에 없던 선수들의 인생은 누가 책임 져줄까?",28개,2020. 6. 1.
