닉네임,댓글,좋아요수,날짜
ChichiMaya,"my favourite part is

""i'm full""

then continues to eat....

if that isn't me then idk what is.......",14개,2020. 5. 29.
XiaoMei,Most anticipated part “It’s almost done” and the tta ta ta ta,41개,2020. 5. 29.
권민혜,"한국어찾습니다 잃어버린 한국어.....왜 떡볶인데 영어밖에 없나효ㅠㅠ

암튼 계란떡볶이라니ㅋㅋㅋㅋ듣도보도 못한 조합이라 으잉? 하면서 들어왓는데 마싯을꺼같아여ㅠ 지금 새벽2시......",529개,2020. 5. 29.
청이,아니 어떻게 한국인댓글 찾기가 이렇게 힘들죠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ밑으로 한참 내렷네,274개,2020. 5. 29.
신지민,2:19 ngl I thought she was going to eat a whole stick of butter,55개,2020. 5. 29.
mishere,"When I saw him put the onions on the pan I said: “Don’t tell me I have to caramelize the onions, ugh..”",6개,2020. 5. 29.
1995jimin13park,"0:28 second in to the video: ""it's almost done """,28개,2020. 5. 29.
Smeyye,"In my country, we say for rice cake 
‘Pirinç Keki’ 😂",7개,2020. 5. 29.
오오이,항상 음식만들고 다먹고 후식은 뭘 먹나 끝까지 봐야되는 영상ㅋㅋㅋㅋㅋㅋ,153개,2020. 5. 29.
SprinkleNeko,I thought the ice cream was a cube of butter at first and got so concerned 😂 love this idea btw!,491개,2020. 5. 29.
기웅하우스,요리분량은 1분이고 나머지는 먹는거랑 후식임ㅋㅋㅋㅋㅋㅋㅋ 근데 진짜 겨우 1분만에 다 알아듣게 설명하는 것도 대단함,59개,2020. 5. 29.
FrannyBetti,You should make a cookbook and the title could be “Its Almost Done” ...I’d buy it!,64개,2020. 5. 29.
이별,"아니 더보기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 담백한 계란이 나를 감싸네 다들 깡 들으시러 가시죠 1일 3
깡",92개,2020. 5. 29.
prashanthichowdary,"From the beginning I was waiting for grand entrance of Main ingredient of every dish..... 
It's our Spring Onion",6개,2020. 5. 29.
TangoMango,I thought it was a block of butter at the end 😱; my jaw almost dropped 😂,68개,2020. 5. 29.
JesselynMarie,“This isn’t an icecream mukbang” 😂😂😂 took too long to eat! I agree! 😂,101개,2020. 5. 29.
ojashwikhatiwada,WHEN U TRY TO SKIP FEW SECONDS BUT IT SAYS its almost done AND U REPEAT THAT PART TO SEE IF U SKIPPED SO MUCH,1개,2020. 5. 29.
,계란떡볶이??????  진짜 태어나서 첨봄ㅋㅋ 부드러운맛일듯하네요ㅋㅋ,9개,2020. 5. 29.
sujubigbangbtsseventeenexosnsdblackpinktwice,"old way : ddu ddu ddu ddu
new way : tta ta ta ta ta ta
.
the most anticipating part beside ""it almost done"" 😝",478개,2020. 5. 29.
끔삧,후식 드실 때 아이스크림인데 버턴줄 알고 깜짝놀람 ㅋㅋㅋㅋㅋ,12개,2020. 5. 29.
Jaikaal,Это действительно хорошо :D,6개,2020. 5. 29.
AmeldaF,"Does second step

He/she: ""its almost done""",1개,2020. 5. 29.
rawchicken,"My favourite part is when he/she struggles with eating dessert. 
That's me trying to copy dessert but fail",3개,2020. 5. 29.
SheebaDjf,Everything is done within 2 min and my favourite part is “the little green onion”,14개,2020. 5. 29.
