,youtube_id,comment,like_num
0,UselessWifi,"Spam in Australia: gross tinned meat, probably only eaten while camping.
Spam in other countries: used creatively to make delicious dishes.",902개
1,anye76,No clue why spam has a bad reputation. I grew up eating it. Always enjoyed it. I think I'll make this real soon. Looks good.,214개
2,JesusChrist,I've never wanted to eat spam more than at this current moment.,516개
3,WackoTheSamurai,This makes me want to use chopsticks every time I cook,210개
4,ShaiBungcag,watching this at almost 2am in the middle of home quarantine 😭✋,311개
5,Prince0so,"이 채널이 좋은 이유
1. 압도적으로 많은 1인분의 양. 솔직히 이정도는 되어야 1인분이다ㅇㅈ
2. 후식도 쫌스럽게 하나만 먹는 게 아니라 기본 두 개부터 시작ㅋㅋㅋㅋ",33개
6,이수진,맨날 이제 시작했는데 다 된거나 다름없뎈ㅋㅋㅋ개웃곀ㅋㅋㅋ,137개
7,JudyTregarthen,Now that's a meal for everyone that is going through the hard ship due to the Coronavirus.,175개
8,시후,"0:27 왼손은 왜 같이 움직여요 ㅋㅋㅋㅋㅋㅋ
2:00 파를 놓을때마다 경건해지는 오른손 ㅋㄱㅋㄱㅋ",142개
9,,2:00 뭔데ㅋㅋㅋㅋ대파 왜 그렇게 두는뎈ㅋㅋㅋㅋㅋㅋ,261개
10,lutoh,"""What dishes do you prepare with spam?""
Me: what is spam?",241개
11,UwU,"I’ve cooked this twice for my sister and my mother and they said it was delicious, But I haven’t tasted it yet Because I’m on a diet😭😂",68개
12,정두부,와 진짜 스팸마요 안좋아하는데 이건 진짜... 찐이다 엄청 맛있어요... 양파대신 백종원 양파볶음 넣어먹었는데 혁명임,80개
13,김이슬,"00:06 대파는? 이란 생각이 바로 들어야
진정한 한 끼 구독자라고 할 수 있지.",20개
14,NamPhnginh,"My vietnamese translation literally made spam into “thư rác” (junk mail). So he just has rice with junk mail, egg and onion! Great!",45개
15,shauni,I was more intrigued with that pan... like how the eggs didn't stick at all 😲,37개
16,,"lmao, the translation of the title is so literal, says a bowl of rice with spam mail on top of it, am like what.....",32개
17,AnNguynPhanThin,2:00 your hand is very cuteee,2개
18,Kierankun,"NEW CONTROVERSY:
IS IT CHOP CHOP CHOP OR CHUP CHUP CHUP",727개
19,PatriciaMoeSiuFung,"WHENEVER WATCHING UR"" COOKING MAKE ME HAPPY TO COOK..WHY? BCS, IT IS SIMPLE, EASY WAY TO COOK BUT YUMMY
CIAOOO :-) :-)",1개
20,오레오,"하루한끼 계량법

소금: 조금 00:31
설탕: 약간

다 알죠?^^",27개
21,SeanShimamoto,"Um, this is pretty much a typical breakfast in Hawai’i. This morning I made 6 servings of it for my breakfast for the week...spam, eggs, and rice. Yum!",21개
22,KhoriahIndrihutami,i love how you cook EVERYTHING with chopsticks!,12개
23,Angel,"you cannot even imagine the smile on my face when you took out the green onion :) when i saw it i thought ""ah, i feel complete""",535개
24,ThotPatrol,"10/10 
I really liked your chopsticks because they reminded me mallets, also another reason for the 10/10 is cause you deserve it :D,  btw it looked yummy",2개
25,mrcharles,Cooked this for lunch and it came out amazing! My wife and kids loved it!,1개
