닉네임,댓글,좋아요수,날짜
조효진HYOJIN,"비 선배님의 깡춤 보고,, 구취하신 구독자님들,,, 돌아와주세요,,,, 제가 잘못했어요,,,,,,",22개,2020. 4. 2.
탕탕타라탕탕탕,아 이 영상이 전설의 비즈니스 장착한 상체와 그렇지 못한 하체 조합의 그 영상인가요? 점찍은거 신의 한수... 너무 매력적이여유,891개,2020. 4. 2.
강쩐,"0:54 “색조를 얹을 부분에 파우더를... (후두둑) 
어잇... 어ㅎㅋ 우리 파우더 분들이ㅎ 탈ㅡ출을 하셨네요ㅎ? 하핫ㅎ”",298개,2020. 4. 2.
김수경,00:54 겁나 므찌게 찍엇는데 개그 못잃어....ㅋㅋㅋㅋㅋㅋㅋㅋ,155개,2020. 4. 2.
MabooN,"Since I like more natural, fresh and muted tones, this makeup look is really up my alley! 🌸🌸",2개,2020. 4. 2.
MichaelScofield,"효진 슨배릠 요즘 업로드가 많아서 좋아요 ,,,,. 할 거 없는 지박령에게 이런 재미를 선사해주시다니,,,🥺🥺💜💜💜💜💜",170개,2020. 4. 2.
딴딴한딴뻬이,"효진쓰효진쓰 영상에 bgm 저작권 안걸리냐며,,, 이번 영상 대박이라며,,,",96개,2020. 4. 2.
뽜이어119,아니 무슨일이예여오토토오토토토토•_• 영상을 거의 하루에 한개씩 보고 있는 나는 황홀합니다 진짜루💖 오늘도 효진님은 영롱합니다🤩,8개,2020. 4. 2.
SeraphinaLam,The face you made when you spilled the powder is so cute.,1개,2020. 4. 2.
PinkAmy핑크에이미,4:03 아 우리언니 얼굴 내 세상 구한다..,102개,2020. 4. 2.
윤세연,저는 집에 있으면 있을수록 부피가 늘어나는중인데 어떻게 언니는 그대로에요...? 역시 세상은 불공평해,125개,2020. 4. 2.
최유정,0:54 보고있다가 갑지기 개웃었음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,59개,2020. 4. 2.
서연,이건또 무슨 컨셉이야 언니 대환영이야💕,49개,2020. 4. 2.
RominaElorrieta,"Love the makeup look, but the music is so annoying though...",16개,2020. 4. 2.
유눈나YUNUNNA,4:04 진짜 연예인이 따로 없으신데...,52개,2020. 4. 2.
김혜민,"와 프로페셔널 효진쓰,, 한번 더 반하고 갑니다♥️
전 깡춤까지 사랑해야....🌷",5개,2020. 4. 2.
깡나,"구취했던 분들 다시 돌아오세여ㅠㅠㅠㅠ경상도 화장쟁이 여기있서여!!!!!! 그리고 난 화장쟁이 효진언니도 좋지만 깡 추는 효진언니도 너무 좋아,,,,내 웃음지뢰🙆‍♀️💛",61개,2020. 4. 2.
매력경이,"이번 영상 찐이다...🤭 
누가 화보영상 촬영찍으랬어요 ???
영상이 다했다 !! 생각하면 얼굴이 다했고 !! 얼굴화장진짜 쩐다 하면 음악이 또 꿈틀꿈틀사람 춤추게 만드네...걍 조효진 너가 짱이다❤️ 이러니 여자도 반하지",26개,2020. 4. 2.
유봄이,노래 제목 뭐예욤? 뮤직비디오 보는거 같아욤!!,65개,2020. 4. 2.
725luv,진짜 정신놓고봤다 이 퀄리티뭐냐면서 박수다박수,25개,2020. 4. 2.
블핑럽,0:54 눈 땡글.. 언니 귀여워.. 그리구 아까워..ㅠ,34개,2020. 4. 2.
희동,"와... 또 레전드 영상 뽑으셨다👏🏽 전체화면을 안할수가 없는 영상이네 !!!!!
완전 미국뷰티유튜브나 인스타뷰티 보는 줄 알았어요 이번 편집도 멋지고 화장도 찰떡이고 레쟌도르다 징챠...👍 근데 찍으면서 얼마나 떠들고 싶었을까 울 효진쓰 ......🥰 여튼 영상 완전 멋있어유ㅠㅠㅠ♥️♥️",23개,2020. 4. 2.
룰루호호,효진언니 메이크업할때 낀 링 귀걸이 정보좀 알려주세요!!,14개,2020. 4. 2.
나들이,"언니 메이크업 진짜 너무 찰떡ㅠㅠㅠ
근데 노래 센스 뭔가요,,, 퇴근길에 버스에서 춤출뻔했잖아요,,♡
 그런의미에서 노래 정보 주시면 사랑하겠습니당...♡",5개,2020. 4. 2.
담요,썸넬 모죠...??? ㅠㅠㅠ  ㅠㅠㅠ내서탈..💕💕 0:55 ㅠㅠㅋㅋㅋㅋㅋㅋㅋ 너무 웃겨ㅠㅠㅠ 오늘 컨쉡 오금이지리네요...,14개,2020. 4. 2.
쓱,0:56 흐릿함속 나와 같은 표정ㅋㅋㅋㅋㅋㅋㅋㅋ 언니 바지는 당연 잠옷이죠?😖,21개,2020. 4. 2.
조혜수,0:54 아ㅠㅠㅠ 너무 아깝다ㅠㅠ,14개,2020. 4. 2.
힝힝,진짜 메이크업하면 딴사람... 메이크업마다 딴사람ㅋㅋㅋ 저 애기 키우느라 화장 끊게되었는데 보게되요 하고싶다 화장,1개,2020. 4. 2.
Jr,"언니 인스타 사진이 생각나네여,, 도대체 이 언니 구취를 왜하는거야 하루라도 안보면 미칠것같은데",17개,2020. 4. 2.
옐이,1:20 순간 내 눈을 의심했담서 ~,12개,2020. 4. 2.
우림,난 이런 화면 크기가 제일 좋아 진짜...... 보기도 편하고,1개,2020. 4. 2.
이주,0:55 완전많이 흘렸ㄷr... 맴찢ㅠㅜ,10개,2020. 4. 2.
멍빵,와 이게 무ㅝ야 역대급 존잘 영상... 혼자 예뿌고 잘생기고 다 하시네요... 욕심좽이ㅠ,12개,2020. 4. 2.
수빈,누드립 너무 좋아하는데 겨울딥톤이라 언니화장보면서 대리만족하고있어요ㅠㅠㅠㅠㅠㅠ 내가 바르면 항상 환자룩...🤦🏻‍♀️,24개,2020. 4. 2.
이얍,0:57 ㅋ ㅋㅋㅋㅋ ㅋㅋ ㅋ ㅋ ㅋ ㅋ,3개,2020. 4. 2.
YOONGICHIYESBECAUSEHEISCUTE,"I may have cried when you spilled the powder :""""""""))))",31개,2020. 4. 2.
므씨따,헐 언니 이렇게 세로로 볼 수 있는 메이크업 영상 너무 좋은거 같아요!!!,4개,2020. 4. 2.
눈꽃,0:54 ㅋㅋㅋㅋㅋ언니표정 😍 너무 아까버😂,1개,2020. 4. 2.
윤솜이,ㅋㅋㅋㅋㅋㅋ세상 까리한 표정과 제스처 그렇지못한 큐티한 잠옷과 헤어롤ㅋㅋㅋㅋㅋㅋㅋ커엽ㅋㅋㄱ,0개,2020. 4. 2.
알라미,MAC에 틴트 있다는걸 이영상보고 처음안 1인...,1개,2020. 4. 2.
유서,"언니는 무슨 안어울리는 메이크업이 없어요??????? 
렌즈도 다 잘어울리고,, 뷰티유튜바를 하기 위해 태어나신듯,,♡나중
나중에 꼭 예쁜 렌즈리뷰 같은거 해주세요 !!! 
렌즈에 관심이 많은데 막 렌즈리뷰 하는 그런건 퀄리티가 좋은것들이 별로 없더라구요 
언니 사랑해용 ♡ ♡ ♡ ♡ ♡ ♡",6개,2020. 4. 2.
Phyllisxoxo,Your brows transformation 😍,1개,2020. 4. 2.
요정연준,"언늬 요즘 1일1영상 무슨 일⁉️⁉️⁉️⁉️
이렇게 자꾸 영상 올려주시면 좋아할줄 알아요⁉️⁉️⁉️  정답 입니다🙆‍♀️🙆‍♀️🙆‍♀️
너무 좋아요❤❤❤❤ 4:19 예쁨 대폭팔🌋🌋🌋",24개,2020. 4. 2.
GY가영,와 썸네일 보고 너무 예뻐서 들어왔네요ㅜㅜ 진짜 화장 진짜 잘하시고 너무 예뻐요ㅜㅜㅜㅜ,1개,2020. 4. 2.
PitchayaChin,I love this look <3,0개,2020. 4. 2.
다빈,효진님 4:04 에 나비 필터 뭔가요? ㅠㅠㅠㅠ넘 예뻐용,8개,2020. 4. 2.
Christianblack,"언니 립정보 좀 더주세요,, 나만 못찾나유 ㅠㅠㅠㅠㅠㅠ",1개,2020. 4. 2.
0423,언니 썸네일 현아인줄 알았어요 ㅠㅠㅠ 너무 예뻐 ㅠㅠㅠㅠㅠ,2개,2020. 4. 2.
17055,노래제목 Rihanna- where have you been 입니다❣️,2개,2020. 4. 2.
바라기해,와 너무 예뻐 진짜,2개,2020. 4. 2.
DT,와 썸넬 현아인줄..,2개,2020. 4. 2.
LiasyaHazey,the shortest video of hyojin ever made 😂,0개,2020. 4. 2.
세상의모든취미세모취,"알람 울리자마자 바로 달려왔습니다!!!
선댓 후 집중해서 볼게용 :)",1개,2020. 4. 2.
BANGTANI,"4:06
이 상태로 고대~로 화보촬영 갑시다",0개,2020. 4. 2.
박소연,썸네일 진심 레전드ㅠㅠ❤❤❤❤❤❤❤❤,1개,2020. 4. 2.
JeonghanSide,Darker eyebrows really give a whole new vibe,0개,2020. 4. 2.
teey,"0:54 언니의 놀란 표정도 뽀인뚜지만 밑에 존재감 뽑내고 있는 네일이 너무 예쁩미다,, 정보가 궁금합니다..",0개,2020. 4. 2.
혜진,0:54 킬포,1개,2020. 4. 2.
MeganL,Can't sleep so I'm binge watching all your videos! 😍,0개,2020. 4. 2.
