,youtube_id,comment,like_num
0,오늘도밥TodaysMeal,"진짜 백종원처럼 자기가 모델인 기업 이렇게까지 홍보해주는 모델은 없을듯..ㅋㅋ
광고주가 백종원을 좋아합니다.",12개
1,누구게,"준비물
백종원도시락, 식용유 (×)
백종원, 도시락, 식용유 (o)",12개
2,소이라떼바닐라2펌프,씨유는 편스토랑보다 백종원한테 투자 더하는게 나을듯..,994개
3,취뤼히,저럴라면 왜 도시락 사먹냐 하시는 분들 계시는데 사서 저렇게 요리하란 게 아니라 계속 같은 도시락만 먹다가 질릴 수도 있으니 요로케 드셔보란 취지아닌감 ㅋㅋㅋ,737개
4,오얼사랑열매혜성,"그냥 본인 얼굴과 이름만 넣은게
아니라 실제로 참여했고 나아가
소비자가 활용할수 있게끔...
대단하다 진정성이 안느껴질수가 없다",571개
5,군시생라라LALA,백종원 선생님이 대한민국 사람이라서 넘나 좋다🌸,668개
6,아멘,"준비물 : 백종원 도시락, 식용유",544개
7,김양미,"백종원씨가 진짜 인기 있는 이유를 다시한번 느끼고 갑니다. 대중친화적이예요. 오늘 컨텐츠 good!!!
집에서 도시락 먹을때 유용하게 써먹을께요. 
다시 볶아먹을  생각을 왜 못했을까요?",360개
8,DrDotoriTV,"백종원씨 채널을 보는 이유
1. 짧은 시간에 요리
2. 요리하기 쉽다
3. 재료 구하기 쉽다 
4. 군더더기 없이 요점만 말한다
5. 맛있다",136개
9,최민수,전국 편의점 도시락 매출 올라가는 소리가 들린다,449개
10,싱싱한양고기,'도시락은 바쁠때 간단하게 먹기위해서 먹는건데 굳이 저렇게까지 왜해?'같은 류의 말을 하실분들은 5:41 여기서부터 보는게 나을것같네요. 좀 끝까지 보고말하세요.,133개
11,민중기,역시 기안.84형은 틀리지 않았다. Ꮚ˘̴͈́ꈊ˘̴͈̀Ꮚ,17개
12,힣히,백종원님 혹시 BHC 치즈볼 한번만 맛보시고 똑같이 만드는법 알려주시면 안될까요???ㅠㅠㅠㅠㅠ 백종원님이라면 가능하실것 같아서...❤️,88개
13,푸리룬,진짜 백쌤이랑 편집자분 진짜 내스타일이다ㅋㅋㅋㅋ백쌤도 재밌지만 편집이 너무 웃곀ㅋ,113개
14,지찬TV,오오옷 편의점 도시락을 다시 부어서 후라이팬에 볶을 생각은 못해봤었는데...이거다 😳👍👍,114개
15,슈크림,저게 골목식당 빌런들이 만든 음식보다 맛있어보인다,21개
16,카마또,기안84 재평가...,8개
17,윤이,"CU 관계자 분들 : [흐뭇]
종원이형 너무 좋아요 ^^",130개
18,김욱현,"CU 도시락에 QR코드 단 다음에 이 영상 달아야겠는데..
CU 홍보팀 보고있나?",168개
19,가을하늘,"도시락 밥은 고슬고슬~
볶기에 진짜 좋은 것 같아요
진밥을 거의 본적 없는듯
다이어트 중인데 넘나리 배고픈것🤤",7개
20,마지자머,4:15 왜 기싸움을 하는거야ㅋㅋㅋㅋㅋㅋㅋ,68개
21,뇽뇽,ㅠㅠㅠ 선생님 편의점 도시락이 어떻게 냉장고에 남아있을 수 있죠... ㅋㅋㅋㅋ,109개
22,박현민,왜 이생각을 못했지; 편의점 도시락 낼 사서 해봐야겠다ㅋㅋ,54개
23,StoneMoon,진짜 자기가 좋아하는걸 해야 이렇게 성공합니다,37개
24,김재필,0:01 깨알 hi ㅋㅋㅋㅋㅋㅋ,33개
25,손세영,"이상 : 저렇게 먹으면 요리하는 사람같고 재밌을듯

현실 : 아 설거지하기 귀찮네 그냥 먹어야겠다",50개
26,김자숙,시청률의 제왕  백.종.원♥️   유튜브도 제왕이시는 백쌤~~~~👍🏻 편의점 음식도 업그레이드 시키는 능력 갑~~~~~~~~^^,4개
27,UDear,"확실한 건
편의점에서 도시락 고를 때
백종원 얼굴 있으면
일단 믿음이 감..",36개
28,누구냐넌,4:15 ㅋㅋㅋㅋㅋㅋ,35개
29,wsc,CU알바할때 폐기된 도시락 집에 들고가서 다 볶아먹고 그랬었는데 ㅎㅎ,79개
30,버기의게임방송뚜,4:14 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋ,4개
31,겜만,팀장님 이걸 오늘 점심먹기 전에 올려줬으면 좋았을텐데 으헠ㅎㅇㅎㅋㅇㅎ,32개
32,ORDA오르다,백종원씨유 ㅋㅋㅋ 😘,7개
33,masanglee,씨유로 가보겠습니다,20개
34,겸비,안그래도 맛남의 광장 재방 보면서 너무 재밌게보고있는데 ㅋㅋㅋㅋ 빨리 왔어요!! 백종원님 너무 멋있으시고 진짜 마음씨도 너무 좋으시고 걍 항상 감사해여 ㅎㅎ 프로그램들 넘 쟈밌고 유익하게 보고있아용 ♡,66개
35,이스비,시청자 특집으로 나오셔서 편스토랑으로 이걸 내 보내시면 100% 당선됩니다.,36개
36,victorialee,"미안한 말이지만 미치게 짭니다
너무~~~ 짜서 물 계속 마심 ㅠㅠ",16개
37,아빠랑채널,정말 그럴싸한 요리가됐네요 딸아이하고 한번 같이 만들어봐야겠네요^^,41개
38,신보람,대학생때 씨유 편의점 알바 오래했는데 백종원님 도시락은 항상 재고가 안남아서 맛보기 힘들었어요ㅠㅠ,78개
39,아기리트리버의코미디쇼PuppyComedyShow,"우리집 요리는 다 백종원님 요리비법으로해요😍
오늘저녁 편의점도시락 감니다🤩🤩
우리나라에 맛있는 요리법 전파해줘서 고마워유😘😘😘",34개
40,ellyshin,끊임없는 새로운 아이디어 주셔서 너무 감사해요. 음식과 사람을 생각하시는 백선생님 항상 감사하고 잘 보고 있습니다. 👍👍,8개
41,XYZX,근데 편의점도시락은 CU가 젤 맛없던데...GS > 세븐일레븐 > CU,2개
42,매일배고파,진짜 존경합니다ㅜㅜ,3개
43,5분탕탕5mintangtang,"개오바 ㅠㅠㅠㅠㅠㅠ백종원쌤이 하니까 왜 광고인데 반감안들고 어제 알새우칩도 그렇고 ...도시락도 걍 볶은건데 씨유가서 사먹고 싶냐,,,,,,............아웃곀ㅋㅋㅋㅋㅋㅋㅋ",32개
44,골목대장최퉁퉁,당신은 요리할때 빛나는 남자🤭,38개
45,최경현,4:13 너무 귀여우세요ㅋㅋㅋㅋㅋㅋㅋ,6개
46,강지훈,"1:54 백대표님이 말하셔서 이거 더 이상 못 써 먹겠네여...
이제 다 알어..",3개
47,CooperSheldon,4:15 ㅋㅋ진짜 너무귀엽넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개
48,면박사,아 오늘 라면 먹으려고 했는데 볶음밥 먹어야겠다,27개
49,,4:15 너무 귀여우셔 ㅎㅎ,2개
50,RMzoe,نورت يالحبييب🌚💔💜💜💜,2개
